orbit,weight,global_packings,anchored_packings,both_orientations,reflection_fixed,status
763,1938161,20460,10230,0,0,unresolved
764,1938108,7796,3898,0,0,unresolved
765,1938097,9684,4877,70,6,unresolved
766,1938051,8038,4019,0,0,unresolved
767,1937955,1508,754,0,0,unresolved
768,1937917,16448,8224,0,0,unresolved
769,1937826,25242,12621,0,0,unresolved
770,1937817,7640,3820,0,0,unresolved
771,1937809,5066,2533,0,0,unresolved
772,1937807,9923,5016,109,7,unresolved
773,1937771,1642,821,0,0,unresolved
774,1937725,9122,4561,0,0,unresolved
775,1937707,17720,8860,0,0,unresolved
776,1937684,2608,1304,0,0,unresolved
777,1937682,21503,10936,369,15,unresolved
778,1937617,4528,2264,0,0,unresolved
779,1937616,6736,3368,0,0,unresolved
780,1937607,3482,1741,0,0,unresolved
781,1937541,13420,6710,0,0,unresolved
782,1937516,13683,6903,123,3,unresolved
783,1937457,12970,6575,180,4,unresolved
784,1937438,14549,7312,75,5,unresolved
785,1937403,17202,8601,0,0,unresolved
786,1937369,6778,3389,0,0,unresolved
787,1937364,6370,3185,0,0,unresolved
788,1937346,6168,3084,0,0,unresolved
789,1937329,5415,2735,55,1,unresolved
790,1937267,9945,4989,33,3,unresolved
791,1937219,7564,3782,0,0,unresolved
792,1937189,5464,2732,0,0,unresolved
793,1937186,16876,8438,0,0,unresolved
794,1937168,6582,3291,0,0,unresolved
795,1936936,4712,2356,0,0,unresolved
796,1936928,8170,4085,0,0,unresolved
797,1936910,3403,1707,11,1,unresolved
798,1936873,1946,973,0,0,unresolved
799,1936864,5860,2930,0,0,unresolved
800,1936772,8144,4072,0,0,unresolved
801,1936756,9584,4837,90,4,unresolved
802,1936701,4808,2404,0,0,unresolved
803,1936675,13528,6840,152,8,unresolved
804,1936611,3308,1654,0,0,unresolved
805,1936592,4064,2032,0,0,unresolved
806,1936584,2228,1114,0,0,unresolved
807,1936571,11086,5543,0,0,unresolved
808,1936543,8012,4006,0,0,unresolved
809,1936498,2439,1221,3,1,unresolved
810,1936484,4198,2099,0,0,unresolved
811,1936395,5243,2636,29,1,unresolved
812,1936387,1791,899,7,1,unresolved
813,1936381,4002,2001,0,0,unresolved
814,1936258,11764,5882,0,0,unresolved
815,1936229,4360,2180,0,0,unresolved
816,1936210,2692,1346,0,0,unresolved
817,1936196,8913,4504,95,5,unresolved
818,1936172,2576,1288,0,0,unresolved
819,1936091,1496,748,0,0,unresolved
820,1936055,1914,957,0,0,unresolved
821,1936053,8287,4172,57,5,unresolved
822,1936047,3042,1521,0,0,unresolved
823,1936026,8746,4373,0,0,unresolved
824,1936015,6818,3409,0,0,unresolved
825,1936015,4404,2202,0,0,unresolved
826,1935988,4396,2198,0,0,unresolved
827,1935910,8767,4434,101,3,unresolved
828,1935889,6260,3130,0,0,unresolved
829,1935818,8332,4195,58,2,unresolved
830,1935813,3699,1856,13,1,unresolved
831,1935807,4328,2171,14,0,unresolved
832,1935784,2972,1486,0,0,unresolved
833,1935732,2140,1070,0,0,unresolved
834,1935696,14038,7019,0,0,unresolved
835,1935609,5740,2870,0,0,unresolved
836,1935585,5174,2600,26,0,unresolved
837,1935584,3294,1647,0,0,unresolved
838,1935483,6054,3027,0,0,unresolved
839,1935477,14594,7346,98,4,unresolved
840,1935469,5106,2553,0,0,unresolved
841,1935413,2145,1081,17,1,unresolved
842,1935310,9274,4656,38,2,unresolved
843,1935294,3468,1741,14,0,unresolved
844,1935281,14508,7254,0,0,unresolved
845,1935240,7658,3829,0,0,unresolved
846,1935193,7738,3869,0,0,unresolved
847,1935176,2668,1334,0,0,unresolved
848,1935141,3836,1918,0,0,unresolved
849,1935136,3914,1957,0,0,unresolved
850,1935113,1900,950,0,0,unresolved
