kind	index	score	phases
cube	170	312	2200210211111101211120200101120002210120000100110120010210112100000222121010
cube	171	252	0010210211111101211120200101120002210120000100110120010210112100000222121010
cube	172	219	1010210211111101211120200101120002210120000100110120010210112100000222121010
cube	173	237	2010210211111101211120200101120002210120000100110120010210112100000222121010
cube	174	246	0110210211111101211120200101120002210120000100110120010210112100000222121010
cube	175	219	1110210211111101211120200101120002210120000100110120010210112100000222121010
cube	176	243	2110210211111101211120200101120002210120000100110120010210112100000222121010
cube	177	273	0210210211111101211120200101120002210120000100110120010210112100000222121010
cube	178	249	1210210211111101211120200101120002210120000100110120010210112100000222121010
cube	179	258	2210210211111101211120200101120002210120000100110120010210112100000222121010
cube	180	261	0020210211111101211120200101120002210120000100110120010210112100000222121010
cube	181	243	1020210211111101211120200101120002210120000100110120010210112100000222121010
cube	182	261	2020210211111101211120200101120002210120000100110120010210112100000222121010
cube	183	252	0120210211111101211120200101120002210120000100110120010210112100000222121010
cube	184	234	1120210211111101211120200101120002210120000100110120010210112100000222121010
cube	185	258	2120210211111101211120200101120002210120000100110120010210112100000222121010
cube	186	258	0220210211111101211120200101120002210120000100110120010210112100000222121010
cube	187	243	1220210211111101211120200101120002210120000100110120010210112100000222121010
cube	188	258	2220210211111101211120200101120002210120000100110120010210112100000222121010
cube	189	279	0001210211111101211120200101120002210120000100110120010210112100000222121010
cube	190	270	1001210211111101211120200101120002210120000100110120010210112100000222121010
cube	191	294	2001210211111101211120200101120002210120000100110120010210112100000222121010
cube	192	285	0101210211111101211120200101120002210120000100110120010210112100000222121010
cube	193	273	1101210211111101211120200101120002210120000100110120010210112100000222121010
cube	194	309	2101210211111101211120200101120002210120000100110120010210112100000222121010
cube	195	297	0201210211111101211120200101120002210120000100110120010210112100000222121010
cube	196	297	1201210211111101211120200101120002210120000100110120010210112100000222121010
cube	197	321	2201210211111101211120200101120002210120000100110120010210112100000222121010
cube	198	267	0011210211111101211120200101120002210120000100110120010210112100000222121010
cube	199	252	1011210211111101211120200101120002210120000100110120010210112100000222121010
cube	200	270	2011210211111101211120200101120002210120000100110120010210112100000222121010
cube	201	249	0111210211111101211120200101120002210120000100110120010210112100000222121010
cube	202	234	1111210211111101211120200101120002210120000100110120010210112100000222121010
cube	203	261	2111210211111101211120200101120002210120000100110120010210112100000222121010
cube	204	285	0211210211111101211120200101120002210120000100110120010210112100000222121010
cube	205	279	1211210211111101211120200101120002210120000100110120010210112100000222121010
cube	206	291	2211210211111101211120200101120002210120000100110120010210112100000222121010
cube	207	276	0021210211111101211120200101120002210120000100110120010210112100000222121010
cube	208	273	1021210211111101211120200101120002210120000100110120010210112100000222121010
cube	209	294	2021210211111101211120200101120002210120000100110120010210112100000222121010
cube	210	258	0121210211111101211120200101120002210120000100110120010210112100000222121010
cube	211	249	1121210211111101211120200101120002210120000100110120010210112100000222121010
cube	212	279	2121210211111101211120200101120002210120000100110120010210112100000222121010
cube	213	270	0221210211111101211120200101120002210120000100110120010210112100000222121010
cube	214	270	1221210211111101211120200101120002210120000100110120010210112100000222121010
cube	215	291	2221210211111101211120200101120002210120000100110120010210112100000222121010
cube	216	252	0002210211111101211120200101120002210120000100110120010210112100000222121010
cube	217	228	1002210211111101211120200101120002210120000100110120010210112100000222121010
cube	218	264	2002210211111101211120200101120002210120000100110120010210112100000222121010
cube	219	264	0102210211111101211120200101120002210120000100110120010210112100000222121010
cube	220	243	1102210211111101211120200101120002210120000100110120010210112100000222121010
cube	221	291	2102210211111101211120200101120002210120000100110120010210112100000222121010
cube	222	279	0202210211111101211120200101120002210120000100110120010210112100000222121010
cube	223	264	1202210211111101211120200101120002210120000100110120010210112100000222121010
cube	224	300	2202210211111101211120200101120002210120000100110120010210112100000222121010
cube	225	216	0012210211111101211120200101120002210120000100110120010210112100000222121010
cube	226	192	1012210211111101211120200101120002210120000100110120010210112100000222121010
cube	227	219	2012210211111101211120200101120002210120000100110120010210112100000222121010
cube	228	204	0112210211111101211120200101120002210120000100110120010210112100000222121010
cube	229	186	1112210211111101211120200101120002210120000100110120010210112100000222121010
cube	230	222	2112210211111101211120200101120002210120000100110120010210112100000222121010
cube	231	243	0212210211111101211120200101120002210120000100110120010210112100000222121010
cube	232	228	1212210211111101211120200101120002210120000100110120010210112100000222121010
cube	233	249	2212210211111101211120200101120002210120000100110120010210112100000222121010
cube	234	252	0022210211111101211120200101120002210120000100110120010210112100000222121010
cube	235	240	1022210211111101211120200101120002210120000100110120010210112100000222121010
cube	236	264	2022210211111101211120200101120002210120000100110120010210112100000222121010
cube	237	237	0122210211111101211120200101120002210120000100110120010210112100000222121010
cube	238	225	1122210211111101211120200101120002210120000100110120010210112100000222121010
cube	239	258	2122210211111101211120200101120002210120000100110120010210112100000222121010
cube	240	255	0222210211111101211120200101120002210120000100110120010210112100000222121010
cube	241	246	1222210211111101211120200101120002210120000100110120010210112100000222121010
cube	242	270	2222210211111101211120200101120002210120000100110120010210112100000222121010
walk	0	207	1112210211111201211120200101120002210120000100110120010210112100000222121010
walk	1	237	1112210211111201211120200101120002210120000100100120010210112100000222121010
walk	2	270	1112210211111201211120200101120002210120000100100120010210112100000212121010
walk	3	324	1112210211111201211120200101120002210120000100100120010210110100000212121010
walk	4	324	1112210211111201211120200101120002210120000100100120010210110100000202121010
walk	5	354	1112210211111201211120200101120002200120000100100120010210110100000202121010
walk	6	417	1112210211111201211120200101120002200120000110100120010210110100000202121010
walk	7	447	1112210211111201211120200101110002200120000110100120010210110100000202121010
walk	8	489	1112210211111201211120200101110002200120000110100120010210110100000202221010
walk	9	453	1112210211111201211120200201110002200120000110100120010210110100000202221010
walk	10	489	1112210211111201211120200201110002200120020110100120010210110100000202221010
walk	11	480	1112010211111201211120200201110002200120020110100120010210110100000202221010
walk	12	471	1112010211111201211120220201110002200120020110100120010210110100000202221010
walk	13	480	1112010211111201211120220201110002200110020110100120010210110100000202221010
walk	14	486	1112010211111201211120220201110002200110020110120120010210110100000202221010
walk	15	522	1112010211111201211120220201110002200110020110120120010212110100000202221010
walk	16	522	1112010211111201211120220201110002200110020110100120010212110100000202221010
walk	17	528	1112010211111201211120220201110002200110220110100120010212110100000202221010
walk	18	534	1112010211111201211120220201110002200110221110100120010212110100000202221010
walk	19	531	1112011211111201211120220201110002200110221110100120010212110100000202221010
walk	20	498	1112011211111201211120220201110002200110221110100120010212112100000202221010
walk	21	477	1112011211111201211120220201110002200110221110100120010212112100000202121010
walk	22	522	1112011211111201210120220201110002200110221110100120010212112100000202121010
walk	23	522	1112011211111201210120220201110002210110221110100120010212112100000202121010
walk	24	573	1112011211111201210122220201110002210110221110100120010212112100000202121010
walk	25	585	1112011211111201210122220201110002210010221110100120010212112100000202121010
walk	26	633	1112011211111201210122220201110002210010221110100120010012112100000202121010
walk	27	666	1112011211111201210122220201110000210010221110100120010012112100000202121010
walk	28	717	1112011211111201210122220201010000210010221110100120010012112100000202121010
walk	29	735	1112011211111201210122220200010000210010221110100120010012112100000202121010
walk	30	750	1112011211111201210122220200010000210010221110100120010012112100000202121012
walk	31	714	1112011211111201210122220220010000210010221110100120010012112100000202121012
walk	32	690	1112011211111201210222220220010000210010221110100120010012112100000202121012
walk	33	675	1112011212111201210222220220010000210010221110100120010012112100000202121012
walk	34	708	1112011212111201210222220220010000110010221110100120010012112100000202121012
walk	35	738	1112011212111201210222220220010000120010221110100120010012112100000202121012
walk	36	723	1112011212111201210222220220010000120020221110100120010012112100000202121012
walk	37	729	1112011212111201210222220220010000120020221110100110010012112100000202121012
walk	38	693	1112001212111201210222220220010000120020221110100110010012112100000202121012
walk	39	717	1112001212111201210222220220010000120020221110100110010012112100000202121011
walk	40	714	1112001212111201210222220220010000120020221110100112010012112100000202121011
walk	41	717	1112001212111201210222220222010000120020221110100112010012112100000202121011
walk	42	705	1112001212111221210222220222010000120020221110100112010012112100000202121011
walk	43	723	1112001212111221210222220222010000120020211110100112010012112100000202121011
walk	44	735	1112001212111221210222220222010000120220211110100112010012112100000202121011
walk	45	744	1112001212111221210220220222010000120220211110100112010012112100000202121011
walk	46	777	0112001212111221210220220222010000120220211110100112010012112100000202121011
walk	47	843	0112001212111221210220220222010000120220211110100112010002112100000202121011
walk	48	828	0112001212111221210220220222010000120220211110100112010002112102000202121011
walk	49	834	0112001212111221210220220222010000121220211110100112010002112102000202121011
walk	50	834	0112011212111221210220220222010000121220211110100112010002112102000202121011
walk	51	771	0112011212111221210220220222010200121220211110100112010002112102000202121011
walk	52	741	0112011212111221210220220222010200121220211100100112010002112102000202121011
walk	53	762	0112011212111222210220220222010200121220211100100112010002112102000202121011
walk	54	753	0112011212111222210220220222010200121220211100100112010002112102100202121011
walk	55	753	0112011212111222210220220222010200121220211100100112010002112102102202121011
walk	56	771	0110011212111222210220220222010200121220211100100112010002112102102202121011
walk	57	822	0110011212111222200220220222010200121220211100100112010002112102102202121011
walk	58	864	0110011212111202200220220222010200121220211100100112010002112102102202121011
walk	59	807	0110011212111202202220220222010200121220211100100112010002112102102202121011
walk	60	834	0110011212111202202220220222010200121220011100100112010002112102102202121011
walk	61	825	0110011212111202202220120222010200121220011100100112010002112102102202121011
walk	62	753	0110011212111202202220120222010200121220011100100112010002112102102201121011
walk	63	732	0110011212111202202220120222010200121200011100100112010002112102102201121011
walk	64	723	0100011212111202202220120222010200121200011100100112010002112102102201121011
walk	65	723	0100011212111202202220120222010200121210011100100112010002112102102201121011
walk	66	747	0100011212111202202220110222010200121210011100100112010002112102102201121011
walk	67	753	0100011212111202202220111222010200121210011100100112010002112102102201121011
walk	68	768	0100011212111202202222111222010200121210011100100112010002112102102201121011
walk	69	744	0100211212111202202222111222010200121210011100100112010002112102102201121011
walk	70	771	0100211212111202202222111222010200121210011100100112010002112102102200121011
walk	71	762	0100211212111202202222111222010200121210011100100112010002112102102200021011
walk	72	783	0100201212111202202222111222010200121210011100100112010002112102102200021011
walk	73	789	0100201212111202202222111222010200121210011100100112010002112102122200021011
walk	74	786	0100201212111202202222111222010200121210011100100112010102112102122200021011
walk	75	789	0100201212111202202222111222010200121210011100100112010102112102122201021011
walk	76	762	0100201212112202202222111222010200121210011100100112010102112102122201021011
walk	77	726	0100201212112202102222111222010200121210011100100112010102112102122201021011
walk	78	738	0200201212112202102222111222010200121210011100100112010102112102122201021011
walk	79	717	0200201212112202102222111222010200121210011100100112010102112102122201021021
walk	80	717	0200201212112202102222211222010200121210011100100112010102112102122201021021
walk	81	729	0200201212112202102222011222010200121210011100100112010102112102122201021021
walk	82	675	0200201212112202102222011222010200121210011100100112010102112100122201021021
walk	83	672	0220201212112202102222011222010200121210011100100112010102112100122201021021
walk	84	666	0220201212111202102222011222010200121210011100100112010102112100122201021021
walk	85	702	0220201212111202002222011222010200121210011100100112010102112100122201021021
walk	86	684	0220201212111202002222011222010200121210001100100112010102112100122201021021
walk	87	699	0220201212011202002222011222010200121210001100100112010102112100122201021021
walk	88	711	0220201212011202002222011222010200121210001100000112010102112100122201021021
walk	89	690	0220201212011202002122011222010200121210001100000112010102112100122201021021
walk	90	729	0220201212011202001122011222010200121210001100000112010102112100122201021021
walk	91	693	0220101212011202001122011222010200121210001100000112010102112100122201021021
walk	92	705	0220101212011202001122011222010100121210001100000112010102112100122201021021
walk	93	723	0220101212011202001122011222010100121210021100000112010102112100122201021021
walk	94	741	0220101212011202001122011222010100121210021100000112010100112100122201021021
walk	95	768	0220101212011202001122011222010100121210021100000112010100112100122101021021
walk	96	786	0220101212011202001122011222010100121210021100000112010100112100122101021020
walk	97	807	0220101212011202001122011222010100121210021100000112010100112102122101021020
walk	98	789	0220101212011202001122011222010100121210021110000112010100112102122101021020
walk	99	798	0220101212012202001122011222010100121210021110000112010100112102122101021020
walk	100	843	0222101212012202001122011222010100121210021110000112010100112102122101021020
walk	101	804	0222101212012202001122011222020100121210021110000112010100112102122101021020
walk	102	756	0222101212012202001122011222020100121210021110000112110100112102122101021020
walk	103	771	0222101212012202001122011222020100121210121110000112110100112102122101021020
walk	104	774	0222101212012202001122011222020100121210121110000112112100112102122101021020
walk	105	735	0222101212012202001122011222020100121010121110000112112100112102122101021020
walk	106	717	0222101212012202001122011222020100121010121110000112112100112102122102021020
walk	107	741	0222101212012202001122011222020100121010121110000112112100112100122102021020
walk	108	684	0222101212012202001122011212020100121010121110000112112100112100122102021020
walk	109	681	0222101212012202001122011212020100121010121110000112112100112100122102022020
walk	110	627	0222101212012202001122011212020100121010121110000112112100112000122102022020
walk	111	630	0222101212012202001122011212020100121010121110000112112100112000122102222020
walk	112	624	0222101212012202001122011212020100121010121110000112112100112000122102222120
walk	113	639	0222101212112202001122011212020100121010121110000112112100112000122102222120
walk	114	636	0222101212112202001122011212020200121010121110000112112100112000122102222120
walk	115	630	0220101212112202001122011212020200121010121110000112112100112000122102222120
walk	116	663	0220101212112202001122010212020200121010121110000112112100112000122102222120
walk	117	633	0220101212112202001122010212020202121010121110000112112100112000122102222120
walk	118	651	0220101212112202001122010012020202121010121110000112112100112000122102222120
walk	119	633	0220101222112202001122010012020202121010121110000112112100112000122102222120
walk	120	684	0221101222112202001122010012020202121010121110000112112100112000122102222120
walk	121	693	0221101222112202001122010012020202121011121110000112112100112000122102222120
walk	122	711	0221101222112202001122010012020202121011101110000112112100112000122102222120
walk	123	726	0021101222112202001122010012020202121011101110000112112100112000122102222120
walk	124	714	0021101222112202001122010012020202121011101110000112112100112000122112222120
walk	125	690	0021101212112202001122010012020202121011101110000112112100112000122112222120
walk	126	684	0021101212112202001122010012020202121011101110002112112100112000122112222120
walk	127	663	0021101212112202001122010012020202121011121110002112112100112000122112222120
walk	128	624	0020101212112202001122010012020202121011121110002112112100112000122112222120
walk	129	624	0020101212112202001122010012020202121011121110002112012100112000122112222120
walk	130	624	0020101212112202001122010112020202121011121110002112012100112000122112222120
walk	131	642	0020101212112202001122010112220202121011121110002112012100112000122112222120
walk	132	597	0020101212112202001122000112220202121011121110002112012100112000122112222120
walk	133	606	0020101212112202001122000112220202121011121110002112012100112000122112022120
walk	134	639	0020101212112202001122000112220002121011121110002112012100112000122112022120
walk	135	648	0020101212112202001122000112220002121011121110002112012100112000122112022122
walk	136	687	0020101212112202001122000112220002111011121110002112012100112000122112022122
walk	137	690	0020101212112202001122000112220002111011121110002112012100112000122112022112
walk	138	735	0020101212112202000122000112220002111011121110002112012100112000122112022112
walk	139	750	2020101212112202000122000112220002111011121110002112012100112000122112022112
walk	140	726	2020101212112202000122000112220002111011121110002012012100112000122112022112
walk	141	717	2020101212112202000122000112220002111011121110002022012100112000122112022112
walk	142	702	2020101212112202000122000112220002111011121110002022012102112000122112022112
walk	143	675	2021101212112202000122000112220002111011121110002022012102112000122112022112
walk	144	669	2021101212110202000122000112220002111011121110002022012102112000122112022112
walk	145	648	2021101012110202000122000112220002111011121110002022012102112000122112022112
walk	146	630	2021101012110202000122000112220002111011121110002022012102112000122112222112
walk	147	627	2021101012110202000122000112220002111011121110002022212102112000122112222112
walk	148	654	2021101012110202000122000112220002111011121110002022212102111000122112222112
walk	149	648	2021101012112202000122000112220002111011121110002022212102111000122112222112
walk	150	699	2021101012112202000122000112200002111011121110002022212102111000122112222112
walk	151	720	2021101012112202000122000112200002111011121110002022212102111000122102222112
walk	152	747	2021101012112202000022000112200002111011121110002022212102111000122102222112
walk	153	765	2021101012112202000022000112200002111011121110002022212102111100122102222112
walk	154	768	2021101012112202000022000112200002111011221110002022212102111100122102222112
walk	155	792	2021101012112202000022000112200002111011221110002022212102111102122102222112
walk	156	816	2021101012112202000022000112200002111011221110002022212102111102122102122112
walk	157	762	2021101012112202000022000102200002111011221110002022212102111102122102122112
walk	158	765	2021101012112202000022000102220002111011221110002022212102111102122102122112
walk	159	753	2021101012122202000022000102220002111011221110002022212102111102122102122112
walk	160	846	2021101022122202000022000102220002111011221110002022212102111102122102122112
walk	161	801	2021101022122201000022000102220002111011221110002022212102111102122102122112
walk	162	786	2021101022122201000022000102220002111021221110002022212102111102122102122112
walk	163	846	2021101022122201000022000102220002111021221110002022212102111101122102122112
walk	164	813	2021101022122201000022000102220002111021221110002022212102111101121102122112
walk	165	846	2021101022122201000022001102220002111021221110002022212102111101121102122112
walk	166	792	2021101022122201000022001102220002111021221110002022212102111100121102122112
