index	toggles	switches	descending	neutral	minimum_q	minimum_multiplicity	best_edges
32	14	50697	0	0	20	1	22-23,24-25,22-25,23-24
33	13	50687	0	0	22	2	7-8,32-33,7-33,8-32
34	14	50670	0	0	22	3	5-6,32-33,5-32,6-33
35	13	50681	0	0	22	1	9-10,26-27,9-26,10-27
36	14	50668	0	0	22	2	9-10,26-27,9-26,10-27
37	14	50702	0	0	20	1	22-23,24-25,22-25,23-24
38	14	50671	0	0	22	4	7-8,32-33,7-33,8-32
39	13	50739	0	0	19	1	23-24,25-26,23-26,24-25
40	14	50684	0	0	20	1	24-25,41-42,24-41,25-42
41	15	50642	0	0	19	1	7-8,33-34,7-33,8-34
42	14	50687	0	0	19	1	6-7,24-25,6-25,7-24
43	14	50688	0	0	20	4	6-7,30-31,6-30,7-31
44	14	50691	0	0	18	1	6-7,30-31,6-30,7-31
45	15	50675	0	0	19	1	6-7,24-25,6-25,7-24
46	15	50675	0	0	20	4	6-7,30-31,6-30,7-31
47	14	50685	0	0	18	1	24-25,41-42,24-41,25-42
48	15	50641	0	0	21	3	4-5,6-7,4-7,5-6
49	13	50705	0	0	20	4	0-17,16-42,0-42,16-17
50	14	50688	0	0	20	3	4-5,6-7,4-7,5-6
51	14	50656	0	0	18	1	6-7,30-31,6-30,7-31
52	15	50624	0	0	20	1	0-17,16-42,0-42,16-17
53	14	50688	0	0	20	1	7-8,34-35,7-34,8-35
54	14	50688	0	0	20	4	4-5,6-7,4-7,5-6
55	15	50642	0	0	21	2	6-7,32-33,6-32,7-33
56	14	50672	0	0	22	3	9-10,26-27,9-26,10-27
57	14	50667	0	0	22	2	9-10,26-27,9-26,10-27
58	15	50655	0	0	22	3	9-10,26-27,9-26,10-27
59	14	50697	0	0	20	1	6-7,24-25,6-25,7-24
60	14	50688	0	0	20	4	0-17,16-42,0-42,16-17
61	15	50674	0	0	20	2	8-9,25-26,8-25,9-26
62	14	50665	0	0	22	2	10-11,27-28,10-27,11-28
63	14	50694	0	0	19	1	8-9,25-26,8-25,9-26
64	14	50671	0	0	21	3	5-6,24-25,5-24,6-25
65	13	50700	0	0	20	1	5-6,22-23,5-22,6-23
66	14	50684	0	0	20	1	5-6,22-23,5-22,6-23
67	14	50685	0	0	18	1	5-6,22-23,5-22,6-23
68	14	50656	0	0	19	1	13-14,39-40,13-39,14-40
69	15	50642	0	0	19	1	13-14,39-40,13-39,14-40
70	15	50641	0	0	21	3	0-40,41-42,0-42,40-41
71	15	50641	0	0	19	1	13-14,39-40,13-39,14-40
72	14	50667	0	0	22	3	20-21,22-23,20-23,21-22
73	14	50697	0	0	20	1	22-23,40-41,22-41,23-40
74	14	50694	0	0	19	1	22-23,39-40,22-39,23-40
75	14	50637	0	0	22	2	5-6,30-31,5-31,6-30
76	15	50621	0	0	21	1	5-6,30-31,5-31,6-30
77	13	50681	0	0	22	1	20-21,37-38,20-37,21-38
78	14	50667	0	0	22	2	8-9,35-36,8-35,9-36
79	14	50665	0	0	22	2	8-9,35-36,8-35,9-36
80	15	50621	0	0	21	1	0-17,16-42,0-42,16-17
81	16	50591	0	0	21	1	0-17,16-42,0-42,16-17
82	15	50624	0	0	21	1	14-15,16-17,14-17,15-16
83	14	50637	0	0	22	2	0-17,18-42,0-42,17-18
84	15	50623	0	0	22	3	0-17,18-42,0-42,17-18
