parent	radius	flips	target_kind	target_index
67	1	13,16	base	75
67	1	17,32	base	97
67	1	23,34	base	180
67	1	36,39	base	109
67	1	35,41	base	66
67	1	39,41	base	69
68	1	1,5	base	141
68	1	13,15	base	59
68	1	23,25	base	69
68	1	24,33	base	154
68	1	16,36	base	106
68	1	25,37	base	66
68	1	37,38	base	71
68	4	18,19;0,23;28,33;21,39	base	187
69	1	1,5	base	88
69	1	13,16	base	65
69	1	23,32	base	185
69	1	17,33	base	107
69	1	35,37	base	67
69	1	36,37	base	68
69	1	35,38	base	72
70	1	1,5	base	87
70	1	13,15	base	53
70	1	24,33	base	155
70	1	16,35	base	110
70	1	28,37	base	66
70	1	23,38	base	109
70	1	37,38	base	71
70	4	18,19;0,23;27,33;21,39	base	167
71	1	1,5	base	136
71	1	13,15	base	57
71	1	20,26	base	70
71	1	24,26	base	72
71	1	20,30	base	68
71	1	25,35	base	113
71	1	16,37	base	111
71	4	18,19;0,24;29,35;22,39	base	118
72	1	1,5	base	137
72	1	13,15	base	56
72	1	20,28	base	69
72	1	24,33	base	182
72	1	16,35	base	112
72	1	20,38	base	109
72	1	37,38	base	71
73	1	0,2	base	108
73	1	5,6	base	121
73	1	23,32	base	74
73	1	22,34	base	83
73	1	36,37	base	76
73	1	32,41	base	54
73	1	35,41	base	52
74	1	0,2	base	97
74	1	5,6	base	42
74	1	22,32	base	84
74	1	34,36	base	75
74	1	35,37	base	73
74	1	33,41	base	62
74	1	37,41	base	64
75	1	0,2	base	67
75	1	5,6	base	43
75	1	20,32	base	74
75	1	23,34	base	82
75	1	36,37	base	76
75	1	35,41	base	63
75	1	37,41	base	65
76	1	0,2	base	109
76	1	5,6	base	217
76	1	20,33	base	73
76	1	24,34	base	75
76	1	22,36	base	81
76	1	34,41	base	56
76	1	37,41	base	53
77	1	2,3	base	92
77	1	16,17	base	3
77	1	20,22	base	86
77	1	21,23	base	86
77	1	22,23	base	78
77	1	24,25	base	126
78	1	2,3	base	95
78	1	16,17	base	4
78	1	22,23	base	127
78	1	20,34	base	85
78	1	21,35	base	85
78	1	34,35	base	77
79	1	2,3	base	93
79	1	16,17	base	5
79	1	20,21	base	128
79	1	32,34	base	86
79	1	33,35	base	86
79	1	34,35	base	80
79	4	3,8;0,24;18,33;37,38	base	158
79	4	2,9;1,25;19,32;36,39	base	158
80	1	2,3	base	94
80	1	16,17	base	6
80	1	20,21	base	129
80	1	32,38	base	85
80	1	33,39	base	85
80	1	38,39	base	79
80	4	3,8;0,24;18,33;35,36	base	159
80	4	2,9;1,25;19,32;34,37	base	159
81	1	0,2	base	99
81	1	3,6	base	219
81	1	7,19	base	76
81	1	27,31	base	82
81	1	22,33	base	83
81	1	31,41	base	226
81	1	37,41	base	124
81	4	7,14;5,26;29,34;18,41	base	317
82	1	0,2	base	180
82	1	3,6	base	120
82	1	7,19	base	75
82	1	22,31	base	84
82	1	36,37	base	81
82	1	35,41	base	125
82	1	37,41	base	122
82	4	7,14;5,26;28,32;18,41	base	316
83	1	0,2	base	98
83	1	3,6	base	218
83	1	7,19	base	73
83	1	26,31	base	84
83	1	36,37	base	81
83	1	31,41	base	220
83	1	35,41	base	224
83	4	7,15;5,25;28,32;18,41	base	284
84	1	0,2	base	179
84	1	3,6	base	119
84	1	7,19	base	74
84	1	34,36	base	82
84	1	35,37	base	83
84	1	33,41	base	228
84	1	37,41	base	222
84	4	7,15;5,25;27,30;18,41	base	283
85	1	2,3	base	89
85	1	13,14	base	22
