record	roots	branches_unsat	base_clauses	source_clauses	source_reported_proof_bytes
261	43	903	233411	251514	1143763
262	43	903	233284	251387	1132673
263	43	903	233839	251942	1190684
264	43	903	233499	251602	1174101
265	43	903	233329	251432	1064255
266	43	903	233582	251685	1218140
267	43	903	233615	251718	1102122
268	43	903	233862	251965	1198469
269	43	903	233924	252027	1215055
270	43	903	232755	250858	1116123
271	43	903	233973	252076	1155767
272	43	903	233520	251623	1233750
273	43	903	233690	251793	1151410
274	43	903	233197	251300	1099775
275	43	903	233682	251785	1134096
276	43	903	233196	251299	1034453
277	43	903	233143	251246	1126134
278	43	903	233272	251375	1134506
279	43	903	233474	251577	1136550
280	43	903	233306	251409	1117201
281	43	903	233559	251662	1200054
282	43	903	233722	251825	1108955
283	43	903	233065	251168	1051899
284	43	903	233452	251555	1040526
285	43	903	234198	252301	1168720
286	43	903	233651	251754	1132153
287	43	903	233478	251581	1084407
288	43	903	233546	251649	1104630
289	43	903	233097	251200	1192335
290	43	903	233931	252034	1167202
291	43	903	233320	251423	1089325
292	43	903	233702	251805	1062796
293	43	903	233071	251174	1093848
294	43	903	233316	251419	1082486
295	43	903	233469	251572	1157796
296	43	903	233808	251911	1154406
297	43	903	233373	251476	1153093
298	43	903	233737	251840	1165577
299	43	903	232997	251100	1014260
300	43	903	233442	251545	1119950
301	43	903	233464	251567	1092740
302	43	903	233836	251939	1110952
303	43	903	233271	251374	1270933
304	43	903	234021	252124	1232661
305	43	903	233033	251136	1051819
306	43	903	233554	251657	1216741
307	43	903	233103	251206	1128369
308	43	903	233695	251798	1181037
309	43	903	233448	251551	1175917
310	43	903	233657	251760	1108580
311	43	903	233672	251775	1147267
312	43	903	233431	251534	1165430
313	43	903	233232	251335	1173124
314	43	903	232699	250802	1140353
315	43	903	233479	251582	1122921
316	43	903	233298	251401	1234504
317	43	903	233446	251549	1116974
318	43	903	233508	251611	1111286
319	43	903	233230	251333	1060836
320	43	903	233479	251582	1103462
321	43	903	233232	251335	1133716
322	43	903	233275	251378	1029919
323	43	903	233378	251481	1070361
324	43	903	234051	252154	1273446
325	43	903	233650	251753	1235734
326	43	903	233453	251556	1090323
327	43	903	233868	251971	1161977
328	43	903	233681	251784	1146197
329	43	903	233605	251708	1223853
330	43	903	233237	251340	1069143
331	43	903	233949	252052	1262396
332	43	903	233455	251558	1124972
333	43	903	232797	250900	1061502
334	43	903	233513	251616	1120883
335	43	903	233619	251722	1126802
336	43	903	233571	251674	1106068
337	43	903	233137	251240	1066264
338	43	903	233294	251397	1011250
339	43	903	233801	251904	1231910
340	43	903	232987	251090	1135336
341	43	903	233347	251450	1095260
342	43	903	233570	251673	1164769
343	43	903	233690	251793	1138503
344	43	903	233825	251928	1178563
345	43	903	233275	251378	1057893
346	43	903	233586	251689	1307667
347	43	903	234040	252143	1167367
348	43	903	233956	252059	1185945
349	43	903	232997	251100	1028418
350	43	903	233328	251431	1124623
351	43	903	233949	252052	1200649
352	43	903	234137	252240	1162011
353	43	903	233781	251884	1160026
354	43	903	233411	251514	1071032
355	43	903	233703	251806	1133857
356	43	903	233610	251713	1114761
357	43	903	233140	251243	1104669
358	43	903	233676	251779	1257483
359	43	903	233977	252080	1215882
360	43	903	233489	251592	1097532
361	43	903	233837	251940	1110541
362	43	903	233498	251601	1188884
363	43	903	234124	252227	1128848
364	43	903	233402	251505	1107189
365	43	903	233608	251711	1227681
366	43	903	233805	251908	1100676
367	43	903	234058	252161	1166119
368	43	903	233949	252052	1144898
369	43	903	233666	251769	1089774
370	43	903	233344	251447	1126963
371	43	903	233595	251698	1121914
372	43	903	233568	251671	1117455
373	43	903	233470	251573	1171642
374	43	903	233244	251347	1066803
375	43	903	233813	251916	1195677
376	43	903	233784	251887	1133850
377	43	903	233690	251793	1117239
378	43	903	233514	251617	1157960
379	43	903	233598	251701	1116500
380	43	903	233714	251817	1307333
381	43	903	233537	251640	1152108
382	43	903	233518	251621	1148634
383	43	903	233742	251845	1196138
384	43	903	233679	251782	1138349
385	43	903	233152	251255	1148531
386	43	903	233655	251758	1045266
387	43	903	233122	251225	1073183
388	43	903	233292	251395	1055957
389	43	903	233778	251881	1117319
390	43	903	233349	251452	1119431
391	43	903	233887	251990	1163546
392	43	903	233545	251648	1172462
393	43	903	233352	251455	1110781
394	43	903	233337	251440	1160853
395	43	903	233033	251136	1014704
396	43	903	233367	251470	1098505
397	43	903	233469	251572	1149199
398	43	903	233513	251616	1122956
399	43	903	233503	251606	1100700
400	43	903	233578	251681	1147373
401	43	903	233710	251813	1238046
402	43	903	233571	251674	1139271
403	43	903	233598	251701	1072942
404	43	903	233879	251982	1282937
405	43	903	233680	251783	1189538
406	43	903	233552	251655	1150597
407	43	903	233551	251654	1107782
408	43	903	234137	252240	1335742
409	43	903	233396	251499	1019717
410	43	903	233919	252022	1128975
411	43	903	233263	251366	1064413
412	43	903	233250	251353	1063500
413	43	903	233458	251561	1123283
414	43	903	233528	251631	1112163
415	43	903	233843	251946	1212525
416	43	903	233810	251913	1184562
417	43	903	233436	251539	1066773
418	43	903	233367	251470	1158807
419	43	903	233011	251114	1090826
420	43	903	233162	251265	1113311
421	43	903	233413	251516	1088893
422	43	903	233559	251662	1149837
423	43	903	233651	251754	1132958
424	43	903	233806	251909	1243013
425	43	903	233363	251466	1108386
426	43	903	233519	251622	1211493
427	43	903	233186	251289	1153874
428	43	903	233525	251628	1133594
429	43	903	233972	252075	1257201
430	43	903	233724	251827	1088042
431	43	903	233979	252082	1318680
432	43	903	233421	251524	1128252
433	43	903	233808	251911	1165132
434	43	903	233572	251675	1121832
435	43	903	233278	251381	1116053
436	43	903	233439	251542	1152500
437	43	903	233554	251657	1054591
438	43	903	233562	251665	1158165
439	43	903	232699	250802	1126309
440	43	903	233843	251946	1135803
441	43	903	233185	251288	1119760
442	43	903	233581	251684	1118891
443	43	903	233274	251377	1102990
444	43	903	233539	251642	1166984
445	43	903	233285	251388	1146176
446	43	903	233344	251447	1200437
447	43	903	233569	251672	1196913
448	43	903	233433	251536	1113813
449	43	903	233441	251544	1113485
450	43	903	233364	251467	1148735
451	43	903	233234	251337	1104662
452	43	903	233672	251775	1169161
453	43	903	233630	251733	1059051
454	43	903	233682	251785	1126087
455	43	903	233294	251397	1103396
456	43	903	233744	251847	1132948
457	43	903	233720	251823	1104876
458	43	903	233079	251182	1078880
459	43	903	233504	251607	1122347
460	43	903	233457	251560	1176497
461	43	903	233427	251530	1103632
462	43	903	233486	251589	1048896
463	43	903	232691	250794	1060461
464	43	903	233707	251810	1086894
465	43	903	233755	251858	1123301
466	43	903	233812	251915	1048899
467	43	903	233474	251577	1155418
468	43	903	233198	251301	1080496
469	43	903	233423	251526	1158380
470	43	903	233285	251388	1207825
471	43	903	233610	251713	1175819
472	43	903	233700	251803	1173679
473	43	903	233476	251579	1213011
474	43	903	233801	251904	1203593
475	43	903	233533	251636	1107695
476	43	903	233551	251654	1180350
477	43	903	233257	251360	1191872
478	43	903	233583	251686	1179578
479	43	903	233808	251911	1101282
480	43	903	233758	251861	1128489
481	43	903	233637	251740	1086217
482	43	903	233850	251953	1108139
483	43	903	233979	252082	1338375
484	43	903	233474	251577	1144544
485	43	903	233348	251451	1066963
486	43	903	233612	251715	1285020
487	43	903	233604	251707	1167231
488	43	903	232955	251058	1111704
489	43	903	233526	251629	1130101
490	43	903	233679	251782	1250318
491	43	903	233198	251301	1176660
492	43	903	233460	251563	1055279
493	43	903	233458	251561	1080636
494	43	903	233016	251119	1181035
495	43	903	233890	251993	1173113
496	43	903	233523	251626	1080928
497	43	903	233785	251888	1200647
498	43	903	233269	251372	1161849
499	43	903	233487	251590	1132592
500	43	903	233352	251455	1101005
501	43	903	233437	251540	1212831
502	43	903	233310	251413	1147289
503	43	903	233563	251666	1072514
504	43	903	233279	251382	1127636
505	43	903	233861	251964	1160017
506	43	903	233847	251950	1200636
507	43	903	233599	251702	1119934
508	43	903	233697	251800	1164004
509	43	903	233861	251964	1139519
510	43	903	233337	251440	1181080
511	43	903	233611	251714	1145098
512	43	903	233330	251433	1085582
513	43	903	233595	251698	1103769
514	43	903	233301	251404	1116354
515	43	903	233785	251888	1136172
516	43	903	232996	251099	1115358
517	43	903	233539	251642	1065724
518	43	903	233353	251456	1252194
519	43	903	233345	251448	1072256
520	43	903	233655	251758	1054365
521	43	903	233368	251471	1134241
522	43	903	233675	251778	1120838
523	43	903	233634	251737	1126602
524	43	903	233785	251888	1073467
525	43	903	233631	251734	1200825
526	43	903	233678	251781	1158176
527	43	903	233777	251880	1180811
528	43	903	233160	251263	1039763
529	43	903	233550	251653	1098422
530	43	903	233121	251224	1061238
531	43	903	233568	251671	1145344
532	43	903	233931	252034	1239587
533	43	903	233337	251440	1152155
534	43	903	233887	251990	1147996
535	43	903	233152	251255	1123848
536	43	903	233560	251663	1112170
537	43	903	233738	251841	1205158
538	43	903	233785	251888	1187214
539	43	903	233910	252013	1173693
540	43	903	233230	251333	1084353
541	43	903	233583	251686	1105492
542	43	903	233614	251717	1156146
543	43	903	232910	251013	1009146
544	43	903	233435	251538	1076945
545	43	903	233846	251949	1139620
546	43	903	233314	251417	1091029
547	43	903	233508	251611	1105748
548	43	903	233554	251657	1094289
549	43	903	233755	251858	1077462
550	43	903	233426	251529	1196573
551	43	903	233680	251783	1096748
552	43	903	233330	251433	1149823
553	43	903	233828	251931	1236969
554	43	903	233421	251524	1153409
555	43	903	233723	251826	1180460
556	43	903	233261	251364	1084909
