orbit,packings,calls,queries,options,leaves,found
102,1769,4192,4059,654,0,0
103,841,2146,2097,464,0,0
104,654,1627,1607,319,0,0
105,1814,4017,3524,389,0,0
106,762,1936,1926,412,0,0
107,465,1228,1222,298,0,0
108,2034,4570,4092,502,0,0
109,367,1001,1001,267,0,0
110,2161,4866,4456,544,0,0
111,519,1218,1196,180,0,0
112,653,1565,1525,259,0,0
113,670,1604,1576,264,0,0
114,935,2305,2226,435,0,0
115,97,266,266,72,0,0
116,438,1068,1057,192,0,0
117,1174,2699,2520,351,0,0
118,290,724,712,144,0,0
119,474,1128,1110,180,0,0
120,390,959,955,179,0,0
121,1215,2701,2481,271,0,0
122,1277,3206,3142,652,0,0
123,830,1954,1865,294,0,0
124,411,1029,1014,207,0,0
125,1236,2817,2650,345,0,0
126,488,1205,1196,229,0,0
127,90,243,243,63,0,0
128,635,1538,1506,268,0,0
129,1347,3045,2773,351,0,0
130,200,516,516,116,0,0
131,117,313,313,79,0,0
132,68,185,185,49,0,0
133,781,1839,1755,277,0,0
134,223,560,554,114,0,0
135,219,501,493,63,0,0
136,400,953,933,153,0,0
137,389,896,835,118,0,0
138,893,2022,1934,236,0,0
139,405,968,932,158,0,0
140,774,1732,1612,184,0,0
141,1890,4209,3840,429,0,0
142,2063,4624,4253,498,0,0
143,301,769,756,167,0,0
144,485,1131,1085,161,0,0
145,917,2061,1928,227,0,0
146,641,1531,1504,249,0,0
147,216,530,514,98,0,0
148,395,981,971,191,0,0
149,1195,2730,2566,340,0,0
150,659,1424,1304,106,0,0
151,1619,3581,3213,343,0,0
152,489,1128,1099,150,0,0
153,534,1199,1102,131,0,0
154,451,1019,988,117,0,0
155,508,1158,1126,142,0,0
156,977,2187,2022,233,0,0
157,552,1259,1176,155,0,0
158,1034,2234,1969,166,0,0
159,60,135,133,15,0,0
160,1265,2834,2582,304,0,0
161,1036,2245,1930,173,0,0
162,392,851,761,67,0,0
163,505,1151,1077,141,0,0
164,422,993,948,149,0,0
165,308,692,658,76,0,0
166,53,117,117,11,0,0
167,500,1110,1031,110,0,0
168,401,909,858,107,0,0
169,895,1948,1748,158,0,0
170,498,1142,1098,146,0,0
171,532,1154,1086,90,0,0
172,494,1163,1098,175,0,0
173,677,1466,1252,112,0,0
174,631,1428,1280,166,0,0
175,114,276,276,48,0,0
176,942,1995,1706,111,0,0
177,448,1015,943,119,0,0
178,389,879,848,101,0,0
179,91,210,208,28,0,0
180,448,983,933,87,0,0
181,162,385,381,61,0,0
182,450,987,927,87,0,0
183,202,455,429,51,0,0
184,493,1046,988,60,0,0
185,249,565,548,67,0,0
186,24,68,66,20,0,0
187,141,331,329,49,0,0
188,274,605,570,57,0,0
189,420,930,864,90,0,0
190,567,1296,1211,162,0,0
191,297,705,691,111,0,0
192,1131,2451,2094,189,0,0
193,309,687,623,69,0,0
194,326,732,704,80,0,0
195,97,229,225,35,0,0
196,337,741,676,67,0,0
197,199,445,435,47,0,0
198,264,578,537,50,0,0
199,144,329,323,41,0,0
200,355,794,749,84,0,0
201,146,342,332,50,0,0
202,51,108,106,6,0,0
203,572,1223,1062,79,0,0
204,148,333,321,37,0,0
205,354,769,691,61,0,0
206,22,53,53,9,0,0
207,217,489,479,55,0,0
208,416,888,812,56,0,0
209,85,203,199,33,0,0
210,65,170,170,40,0,0
211,249,561,533,63,0,0
212,125,295,291,45,0,0
213,90,202,195,22,0,0
214,341,723,644,41,0,0
215,59,136,136,18,0,0
216,819,1717,1304,79,0,0
217,92,211,200,27,0,0
218,249,543,503,45,0,0
219,199,430,408,32,0,0
220,13,28,28,2,0,0
221,675,1511,1354,161,0,0
222,1199,2542,2026,144,0,0
223,1119,2351,1855,113,0,0
224,112,260,250,36,0,0
225,425,917,781,67,0,0
226,236,527,474,55,0,0
227,207,446,420,32,0,0
228,455,1023,922,113,0,0
229,384,820,729,52,0,0
230,708,1585,1416,169,0,0
231,177,391,363,37,0,0
232,127,303,301,49,0,0
233,26,64,64,12,0,0
234,200,436,416,36,0,0
235,600,1287,1107,87,0,0
236,179,399,352,41,0,0
237,19,39,39,1,0,0
238,277,581,519,27,0,0
239,564,1178,909,50,0,0
240,149,326,316,28,0,0
241,392,830,705,46,0,0
242,190,409,393,29,0,0
243,923,1951,1562,105,0,0
244,717,1494,1109,60,0,0
245,736,1563,1227,91,0,0
246,56,140,140,28,0,0
247,206,464,421,52,0,0
248,14,44,44,16,0,0
249,128,273,263,17,0,0
250,487,1035,858,61,0,0
251,538,1134,892,58,0,0
252,207,432,396,18,0,0
253,247,528,464,34,0,0
254,108,233,197,17,0,0
255,268,580,499,44,0,0
256,182,389,348,25,0,0
257,19,44,42,6,0,0
258,106,221,198,9,0,0
259,29,63,61,5,0,0
260,74,163,155,15,0,0
261,424,885,695,37,0,0
262,25,53,53,3,0,0
263,373,804,695,58,0,0
264,57,123,117,9,0,0
265,105,227,216,17,0,0
266,91,195,178,13,0,0
267,187,399,363,25,0,0
268,68,155,149,19,0,0
269,282,587,539,23,0,0
270,4,8,8,0,0,0
271,44,95,91,7,0,0
272,32,65,61,1,0,0
273,242,524,427,40,0,0
274,15,34,34,4,0,0
275,35,72,66,2,0,0
276,203,429,379,23,0,0
277,218,452,362,16,0,0
278,69,148,137,10,0,0
279,53,112,106,6,0,0
280,122,266,250,22,0,0
281,12,26,20,2,0,0
282,9,20,20,2,0,0
283,34,75,71,7,0,0
284,328,684,566,28,0,0
285,542,1146,936,62,0,0
286,72,145,133,1,0,0
287,30,70,66,10,0,0
288,176,372,327,20,0,0
289,110,231,221,11,0,0
290,373,776,586,30,0,0
291,39,83,79,5,0,0
292,161,338,278,16,0,0
293,35,70,61,0,0,0
294,53,116,106,10,0,0
295,77,172,158,18,0,0
296,43,96,96,10,0,0
297,204,437,389,29,0,0
298,143,303,263,17,0,0
299,147,309,247,15,0,0
300,89,189,172,11,0,0
301,106,226,195,14,0,0
302,10,20,20,0,0,0
303,21,47,45,5,0,0
304,24,51,47,3,0,0
305,42,93,89,9,0,0
306,407,837,631,23,0,0
307,258,537,447,21,0,0
308,97,207,187,13,0,0
309,17,34,34,0,0,0
310,78,159,151,3,0,0
311,37,76,74,2,0,0
312,163,343,290,17,0,0
313,32,64,58,0,0,0
314,97,197,142,3,0,0
315,4,8,8,0,0,0
316,1,2,2,0,0,0
317,102,219,174,15,0,0
318,25,52,52,2,0,0
319,83,172,141,6,0,0
320,305,628,444,18,0,0
321,18,36,30,0,0,0
322,51,105,87,3,0,0
323,11,22,20,0,0,0
324,0,0,0,0,0,0
325,72,149,129,5,0,0
326,43,89,79,3,0,0
327,42,85,58,1,0,0
328,116,240,197,8,0,0
329,59,124,106,6,0,0
330,98,206,163,10,0,0
331,0,0,0,0,0,0
332,3,8,8,2,0,0
333,105,216,188,6,0,0
334,21,47,43,5,0,0
335,46,97,83,5,0,0
336,96,197,147,5,0,0
337,23,46,46,0,0,0
338,145,296,199,6,0,0
339,7,14,12,0,0,0
340,3,6,4,0,0,0
341,134,279,210,11,0,0
342,81,165,153,3,0,0
343,38,80,71,4,0,0
344,38,84,81,8,0,0
345,79,168,139,10,0,0
346,291,611,449,29,0,0
347,45,101,87,11,0,0
348,1,2,2,0,0,0
349,2,4,4,0,0,0
350,57,121,97,7,0,0
351,72,149,103,5,0,0
352,40,83,71,3,0,0
353,126,260,182,8,0,0
354,191,394,314,12,0,0
355,22,44,38,0,0,0
356,0,0,0,0,0,0
357,166,337,204,5,0,0
358,21,56,52,14,0,0
359,120,240,178,0,0,0
360,19,39,32,1,0,0
361,29,60,54,2,0,0
362,15,32,27,2,0,0
363,176,358,234,6,0,0
364,93,191,157,5,0,0
365,38,78,54,2,0,0
366,265,540,348,10,0,0
367,146,298,211,6,0,0
368,43,88,73,2,0,0
369,15,30,27,0,0,0
370,67,135,96,1,0,0
371,3,6,6,0,0,0
372,4,10,10,2,0,0
373,35,75,54,5,0,0
374,44,89,59,1,0,0
375,0,0,0,0,0,0
376,59,120,94,2,0,0
377,96,199,145,7,0,0
378,11,22,18,0,0,0
379,4,8,6,0,0,0
380,105,216,162,6,0,0
381,155,313,188,3,0,0
382,8,20,20,4,0,0
383,57,114,76,0,0,0
384,39,78,63,0,0,0
385,72,150,98,6,0,0
386,34,72,64,4,0,0
387,3,6,6,0,0,0
388,58,118,104,2,0,0
389,6,12,12,0,0,0
390,25,56,43,6,0,0
391,9,18,18,0,0,0
392,7,14,14,0,0,0
393,94,198,126,10,0,0
394,0,0,0,0,0,0
395,9,19,17,1,0,0
396,88,179,141,3,0,0
397,7,14,12,0,0,0
398,10,20,14,0,0,0
399,134,274,188,6,0,0
400,99,202,149,4,0,0
401,212,431,211,7,0,0
402,30,62,52,2,0,0
403,115,239,163,9,0,0
404,21,50,42,8,0,0
405,41,84,59,2,0,0
406,37,76,62,2,0,0
407,40,80,62,0,0,0
408,9,18,14,0,0,0
409,2,6,6,2,0,0
410,145,295,149,5,0,0
411,0,0,0,0,0,0
412,0,0,0,0,0,0
413,103,220,146,14,0,0
414,51,102,74,0,0,0
415,2,4,4,0,0,0
416,113,228,146,2,0,0
417,5,10,6,0,0,0
418,19,38,30,0,0,0
419,45,94,68,4,0,0
420,5,10,10,0,0,0
421,0,0,0,0,0,0
422,118,240,115,4,0,0
423,30,62,46,2,0,0
424,2,4,3,0,0,0
425,55,117,90,7,0,0
426,10,20,12,0,0,0
427,0,0,0,0,0,0
428,6,12,12,0,0,0
429,3,6,6,0,0,0
430,36,76,52,4,0,0
431,1,2,2,0,0,0
432,112,228,116,4,0,0
433,126,256,160,4,0,0
434,14,28,22,0,0,0
435,23,46,38,0,0,0
436,0,0,0,0,0,0
437,6,12,6,0,0,0
438,169,343,136,5,0,0
439,36,72,43,0,0,0
440,5,10,2,0,0,0
441,96,198,133,6,0,0
442,5,10,4,0,0,0
443,10,20,16,0,0,0
444,2,6,6,2,0,0
445,23,46,28,0,0,0
446,5,10,10,0,0,0
447,0,0,0,0,0,0
448,23,48,35,2,0,0
449,42,86,56,2,0,0
450,80,162,74,2,0,0
451,28,56,24,0,0,0
452,19,38,30,0,0,0
453,3,6,4,0,0,0
454,5,10,6,0,0,0
455,6,12,6,0,0,0
456,5,10,9,0,0,0
457,10,20,9,0,0,0
458,0,0,0,0,0,0
459,12,24,16,0,0,0
460,19,39,22,1,0,0
461,5,10,8,0,0,0
462,2,4,4,0,0,0
463,0,0,0,0,0,0
464,7,14,12,0,0,0
465,3,6,4,0,0,0
466,13,26,14,0,0,0
467,6,12,8,0,0,0
468,27,54,27,0,0,0
469,26,52,31,0,0,0
470,31,62,36,0,0,0
471,5,10,6,0,0,0
472,27,56,39,2,0,0
473,2,4,2,0,0,0
474,0,0,0,0,0,0
475,1,2,2,0,0,0
476,30,60,46,0,0,0
477,5,12,12,2,0,0
478,0,0,0,0,0,0
479,3,6,6,0,0,0
480,11,22,14,0,0,0
481,1,2,2,0,0,0
482,45,92,53,2,0,0
483,2,4,2,0,0,0
484,2,4,2,0,0,0
485,4,8,5,0,0,0
486,0,0,0,0,0,0
487,5,10,8,0,0,0
488,2,4,4,0,0,0
489,3,6,2,0,0,0
490,51,102,66,0,0,0
491,6,14,12,2,0,0
492,15,30,22,0,0,0
493,5,10,8,0,0,0
494,26,54,29,2,0,0
495,1,2,0,0,0,0
496,33,66,46,0,0,0
497,0,0,0,0,0,0
498,108,216,58,0,0,0
499,8,16,10,0,0,0
500,10,24,22,4,0,0
501,24,48,14,0,0,0
502,0,0,0,0,0,0
503,8,16,8,0,0,0
504,18,36,23,0,0,0
505,52,106,52,2,0,0
506,4,8,8,0,0,0
507,30,60,37,0,0,0
508,8,16,10,0,0,0
509,90,184,109,4,0,0
510,22,46,23,2,0,0
511,12,24,12,0,0,0
512,0,0,0,0,0,0
513,0,0,0,0,0,0
514,15,30,14,0,0,0
515,21,44,26,2,0,0
516,2,4,4,0,0,0
517,16,34,19,2,0,0
518,60,120,46,0,0,0
519,15,32,23,2,0,0
520,3,6,6,0,0,0
521,6,12,10,0,0,0
522,20,40,34,0,0,0
523,58,121,62,5,0,0
524,5,10,6,0,0,0
525,41,83,44,1,0,0
526,0,0,0,0,0,0
527,20,42,21,2,0,0
528,45,90,42,0,0,0
529,2,4,0,0,0,0
530,7,14,11,0,0,0
531,0,0,0,0,0,0
532,1,2,2,0,0,0
533,9,18,7,0,0,0
534,46,94,49,2,0,0
535,6,12,8,0,0,0
536,64,128,47,0,0,0
537,1,2,2,0,0,0
538,1,2,0,0,0,0
539,3,6,3,0,0,0
540,9,18,13,0,0,0
541,6,12,8,0,0,0
542,7,14,8,0,0,0
543,0,0,0,0,0,0
544,0,0,0,0,0,0
545,5,10,6,0,0,0
546,4,8,6,0,0,0
547,2,4,4,0,0,0
548,13,26,12,0,0,0
549,2,4,2,0,0,0
550,8,16,9,0,0,0
551,16,32,12,0,0,0
552,1,2,0,0,0,0
553,2,4,2,0,0,0
554,3,6,4,0,0,0
555,33,68,20,2,0,0
556,54,108,34,0,0,0
557,10,20,7,0,0,0
558,14,28,10,0,0,0
559,8,16,8,0,0,0
560,5,10,5,0,0,0
561,37,74,18,0,0,0
562,3,6,6,0,0,0
563,65,130,46,0,0,0
564,1,2,2,0,0,0
565,0,0,0,0,0,0
566,4,8,4,0,0,0
567,4,8,4,0,0,0
568,2,4,2,0,0,0
569,1,2,2,0,0,0
570,12,24,16,0,0,0
571,24,48,16,0,0,0
572,4,8,6,0,0,0
573,43,86,41,0,0,0
574,7,14,10,0,0,0
575,133,266,68,0,0,0
576,19,40,14,2,0,0
577,2,4,4,0,0,0
578,1,2,0,0,0,0
579,7,14,8,0,0,0
580,18,36,14,0,0,0
581,3,6,4,0,0,0
582,0,0,0,0,0,0
583,9,18,10,0,0,0
584,1,2,0,0,0,0
585,4,8,2,0,0,0
586,7,14,9,0,0,0
587,1,2,0,0,0,0
588,0,0,0,0,0,0
589,21,42,23,0,0,0
590,4,8,4,0,0,0
591,2,4,2,0,0,0
592,6,14,6,2,0,0
593,2,4,2,0,0,0
594,6,12,8,0,0,0
595,2,4,4,0,0,0
596,2,4,2,0,0,0
597,18,36,18,0,0,0
598,20,42,12,2,0,0
599,3,6,0,0,0,0
600,5,10,4,0,0,0
601,8,16,6,0,0,0
602,34,68,16,0,0,0
603,1,2,0,0,0,0
604,13,26,8,0,0,0
605,1,2,0,0,0,0
606,0,0,0,0,0,0
607,6,14,4,2,0,0
608,6,12,4,0,0,0
609,4,8,0,0,0,0
610,78,156,30,0,0,0
611,9,18,8,0,0,0
612,1,2,0,0,0,0
613,0,0,0,0,0,0
614,82,164,19,0,0,0
615,6,12,2,0,0,0
616,4,8,2,0,0,0
617,0,0,0,0,0,0
618,1,2,0,0,0,0
619,0,0,0,0,0,0
620,3,6,0,0,0,0
621,4,8,2,0,0,0
622,14,28,6,0,0,0
623,23,46,10,0,0,0
624,0,0,0,0,0,0
625,1,2,0,0,0,0
626,3,6,4,0,0,0
627,1,2,2,0,0,0
628,15,30,10,0,0,0
629,0,0,0,0,0,0
630,2,4,2,0,0,0
631,4,8,5,0,0,0
632,7,14,4,0,0,0
633,12,24,14,0,0,0
634,13,26,0,0,0,0
635,14,28,4,0,0,0
636,0,0,0,0,0,0
637,4,8,2,0,0,0
638,23,46,8,0,0,0
639,2,4,1,0,0,0
640,0,0,0,0,0,0
641,0,0,0,0,0,0
642,1,2,0,0,0,0
643,0,0,0,0,0,0
644,56,114,18,2,0,0
645,0,0,0,0,0,0
646,75,150,10,0,0,0
647,0,0,0,0,0,0
648,4,10,8,2,0,0
649,0,0,0,0,0,0
650,2,4,0,0,0,0
651,1,2,0,0,0,0
652,1,2,0,0,0,0
653,7,14,2,0,0,0
654,2,4,0,0,0,0
655,0,0,0,0,0,0
656,4,8,2,0,0,0
657,6,12,2,0,0,0
658,1,2,1,0,0,0
659,17,34,8,0,0,0
660,9,18,6,0,0,0
661,1,2,0,0,0,0
662,89,178,21,0,0,0
663,71,142,22,0,0,0
664,1,2,0,0,0,0
665,3,6,1,0,0,0
666,0,0,0,0,0,0
667,2,4,0,0,0,0
668,1,2,0,0,0,0
669,3,6,0,0,0,0
670,4,8,3,0,0,0
671,0,0,0,0,0,0
672,4,8,2,0,0,0
673,0,0,0,0,0,0
674,4,8,0,0,0,0
675,0,0,0,0,0,0
676,0,0,0,0,0,0
677,6,12,6,0,0,0
678,0,0,0,0,0,0
679,0,0,0,0,0,0
680,37,74,8,0,0,0
681,0,0,0,0,0,0
682,13,26,10,0,0,0
683,1,2,2,0,0,0
684,1,2,2,0,0,0
685,9,18,6,0,0,0
686,12,24,4,0,0,0
687,17,34,4,0,0,0
688,2,4,2,0,0,0
689,7,14,2,0,0,0
690,0,0,0,0,0,0
691,28,56,2,0,0,0
692,1,2,0,0,0,0
693,0,0,0,0,0,0
694,3,6,4,0,0,0
695,0,0,0,0,0,0
696,0,0,0,0,0,0
697,0,0,0,0,0,0
698,5,10,4,0,0,0
699,0,0,0,0,0,0
700,2,4,4,0,0,0
701,10,20,8,0,0,0
702,0,0,0,0,0,0
703,1,2,0,0,0,0
704,2,4,0,0,0,0
705,1,2,2,0,0,0
706,0,0,0,0,0,0
707,1,2,0,0,0,0
708,0,0,0,0,0,0
709,6,12,3,0,0,0
710,2,4,0,0,0,0
711,26,52,6,0,0,0
712,1,2,0,0,0,0
713,27,54,4,0,0,0
714,0,0,0,0,0,0
715,0,0,0,0,0,0
716,1,2,2,0,0,0
717,0,0,0,0,0,0
718,1,2,0,0,0,0
719,1,2,0,0,0,0
720,19,38,4,0,0,0
721,3,6,0,0,0,0
722,0,0,0,0,0,0
723,0,0,0,0,0,0
724,2,4,2,0,0,0
725,0,0,0,0,0,0
726,1,2,0,0,0,0
727,15,30,0,0,0,0
728,2,4,0,0,0,0
729,5,10,0,0,0,0
730,0,0,0,0,0,0
731,2,4,0,0,0,0
732,0,0,0,0,0,0
733,2,4,1,0,0,0
734,0,0,0,0,0,0
735,1,2,0,0,0,0
736,6,12,0,0,0,0
737,1,2,0,0,0,0
738,2,4,3,0,0,0
739,11,22,0,0,0,0
740,0,0,0,0,0,0
741,1,2,0,0,0,0
742,3,6,1,0,0,0
743,3,6,0,0,0,0
744,2,4,2,0,0,0
745,6,12,4,0,0,0
746,2,4,2,0,0,0
747,6,12,0,0,0,0
748,0,0,0,0,0,0
749,0,0,0,0,0,0
750,3,6,0,0,0,0
751,0,0,0,0,0,0
752,3,6,4,0,0,0
753,4,8,0,0,0,0
754,4,8,0,0,0,0
755,0,0,0,0,0,0
756,1,2,0,0,0,0
757,0,0,0,0,0,0
758,1,2,0,0,0,0
759,0,0,0,0,0,0
760,12,24,0,0,0,0
761,9,18,0,0,0,0
762,2,4,0,0,0,0
763,1,2,0,0,0,0
764,0,0,0,0,0,0
765,8,16,4,0,0,0
766,11,22,0,0,0,0
767,19,38,0,0,0,0
768,7,14,2,0,0,0
769,0,0,0,0,0,0
770,10,20,0,0,0,0
771,1,2,0,0,0,0
772,1,2,0,0,0,0
773,9,18,0,0,0,0
774,0,0,0,0,0,0
775,0,0,0,0,0,0
776,0,0,0,0,0,0
777,16,32,6,0,0,0
778,0,0,0,0,0,0
779,0,0,0,0,0,0
780,2,4,0,0,0,0
781,0,0,0,0,0,0
782,11,22,0,0,0,0
783,0,0,0,0,0,0
784,2,4,0,0,0,0
785,2,4,0,0,0,0
786,20,40,0,0,0,0
787,0,0,0,0,0,0
788,1,2,0,0,0,0
789,1,2,1,0,0,0
790,0,0,0,0,0,0
791,2,4,0,0,0,0
792,0,0,0,0,0,0
793,6,12,0,0,0,0
794,0,0,0,0,0,0
795,0,0,0,0,0,0
796,5,10,0,0,0,0
797,1,2,0,0,0,0
798,0,0,0,0,0,0
799,13,26,0,0,0,0
800,1,2,0,0,0,0
801,0,0,0,0,0,0
802,1,2,0,0,0,0
803,0,0,0,0,0,0
804,3,6,0,0,0,0
805,2,4,0,0,0,0
806,5,10,0,0,0,0
807,1,2,0,0,0,0
808,0,0,0,0,0,0
809,0,0,0,0,0,0
810,2,4,0,0,0,0
811,11,22,0,0,0,0
812,0,0,0,0,0,0
813,0,0,0,0,0,0
814,0,0,0,0,0,0
815,1,2,0,0,0,0
816,0,0,0,0,0,0
817,4,8,0,0,0,0
818,0,0,0,0,0,0
819,0,0,0,0,0,0
820,6,12,0,0,0,0
821,7,14,0,0,0,0
822,0,0,0,0,0,0
823,2,4,0,0,0,0
824,0,0,0,0,0,0
825,0,0,0,0,0,0
826,6,12,0,0,0,0
827,1,2,0,0,0,0
828,3,6,0,0,0,0
829,0,0,0,0,0,0
830,0,0,0,0,0,0
831,0,0,0,0,0,0
832,6,12,0,0,0,0
833,0,0,0,0,0,0
834,0,0,0,0,0,0
835,1,2,0,0,0,0
836,0,0,0,0,0,0
837,13,26,0,0,0,0
838,0,0,0,0,0,0
839,0,0,0,0,0,0
840,0,0,0,0,0,0
841,0,0,0,0,0,0
842,4,8,0,0,0,0
843,1,2,0,0,0,0
844,1,2,0,0,0,0
845,1,2,0,0,0,0
846,0,0,0,0,0,0
847,1,2,0,0,0,0
848,1,2,0,0,0,0
849,6,12,0,0,0,0
850,3,6,0,0,0,0
851,5,10,0,0,0,0
852,2,4,0,0,0,0
853,1,2,0,0,0,0
854,0,0,0,0,0,0
855,0,0,0,0,0,0
856,0,0,0,0,0,0
857,3,6,0,0,0,0
858,0,0,0,0,0,0
859,0,0,0,0,0,0
860,3,6,0,0,0,0
861,0,0,0,0,0,0
862,5,10,0,0,0,0
863,0,0,0,0,0,0
864,5,10,0,0,0,0
865,0,0,0,0,0,0
866,2,4,0,0,0,0
867,0,0,0,0,0,0
868,1,2,0,0,0,0
869,0,0,0,0,0,0
870,2,4,0,0,0,0
871,8,16,0,0,0,0
872,4,8,0,0,0,0
873,19,38,0,0,0,0
874,0,0,0,0,0,0
875,1,2,0,0,0,0
876,2,4,0,0,0,0
877,2,4,0,0,0,0
878,4,8,0,0,0,0
879,1,2,0,0,0,0
880,0,0,0,0,0,0
881,17,34,0,0,0,0
882,0,0,0,0,0,0
883,2,4,0,0,0,0
884,1,2,0,0,0,0
885,0,0,0,0,0,0
886,0,0,0,0,0,0
887,7,14,0,0,0,0
888,3,6,0,0,0,0
889,2,4,0,0,0,0
890,0,0,0,0,0,0
891,2,4,0,0,0,0
892,0,0,0,0,0,0
893,0,0,0,0,0,0
894,0,0,0,0,0,0
895,0,0,0,0,0,0
896,3,6,0,0,0,0
897,0,0,0,0,0,0
898,0,0,0,0,0,0
899,0,0,0,0,0,0
900,0,0,0,0,0,0
901,0,0,0,0,0,0
902,2,4,0,0,0,0
903,0,0,0,0,0,0
904,2,4,0,0,0,0
905,0,0,0,0,0,0
906,0,0,0,0,0,0
907,0,0,0,0,0,0
908,10,20,0,0,0,0
909,2,4,0,0,0,0
910,0,0,0,0,0,0
911,0,0,0,0,0,0
912,8,16,0,0,0,0
913,0,0,0,0,0,0
914,10,20,0,0,0,0
915,0,0,0,0,0,0
916,0,0,0,0,0,0
917,0,0,0,0,0,0
918,0,0,0,0,0,0
919,0,0,0,0,0,0
920,0,0,0,0,0,0
921,5,10,0,0,0,0
922,0,0,0,0,0,0
923,1,2,0,0,0,0
924,0,0,0,0,0,0
925,6,12,0,0,0,0
926,2,4,0,0,0,0
927,4,8,0,0,0,0
928,0,0,0,0,0,0
929,0,0,0,0,0,0
930,1,2,0,0,0,0
931,0,0,0,0,0,0
932,0,0,0,0,0,0
933,0,0,0,0,0,0
934,0,0,0,0,0,0
935,1,2,0,0,0,0
936,0,0,0,0,0,0
937,2,4,0,0,0,0
938,0,0,0,0,0,0
939,0,0,0,0,0,0
940,1,2,0,0,0,0
941,0,0,0,0,0,0
942,0,0,0,0,0,0
943,0,0,0,0,0,0
944,0,0,0,0,0,0
945,0,0,0,0,0,0
946,0,0,0,0,0,0
947,0,0,0,0,0,0
948,0,0,0,0,0,0
949,6,12,0,0,0,0
950,0,0,0,0,0,0
951,0,0,0,0,0,0
952,0,0,0,0,0,0
953,0,0,0,0,0,0
954,0,0,0,0,0,0
955,5,10,0,0,0,0
956,0,0,0,0,0,0
957,5,10,0,0,0,0
958,3,6,0,0,0,0
959,0,0,0,0,0,0
960,0,0,0,0,0,0
961,0,0,0,0,0,0
962,7,14,0,0,0,0
963,5,10,0,0,0,0
964,0,0,0,0,0,0
