orbit,packings,calls,queries,options,leaves,found
2668,3,8,8,5,0,0
2669,0,0,0,0,0,0
2670,2,4,4,2,0,0
2671,0,0,0,0,0,0
2672,0,0,0,0,0,0
2673,3,4,4,1,0,0
2674,0,0,0,0,0,0
2675,11,16,16,5,0,0
2676,2,4,4,2,0,0
2677,2,3,3,1,0,0
2678,1,1,1,0,0,0
2679,0,0,0,0,0,0
2680,3,5,5,2,0,0
2681,23,32,32,9,0,0
2682,6,10,10,4,0,0
2683,11,20,20,9,0,0
2684,0,0,0,0,0,0
2685,0,0,0,0,0,0
2686,3,5,5,2,0,0
2687,1,2,2,1,0,0
2688,0,0,0,0,0,0
2689,0,0,0,0,0,0
2690,0,0,0,0,0,0
2691,0,0,0,0,0,0
2692,23,37,35,14,0,0
2693,0,0,0,0,0,0
2694,3,3,3,0,0,0
2695,5,6,6,1,0,0
2696,0,0,0,0,0,0
2697,1,2,2,1,0,0
2698,0,0,0,0,0,0
2699,1,1,1,0,0,0
2700,1,1,1,0,0,0
2701,1,2,2,1,0,0
2702,0,0,0,0,0,0
2703,0,0,0,0,0,0
2704,0,0,0,0,0,0
2705,0,0,0,0,0,0
2706,10,15,15,5,0,0
2707,39,52,52,13,0,0
2708,0,0,0,0,0,0
2709,1,1,1,0,0,0
2710,0,0,0,0,0,0
2711,0,0,0,0,0,0
2712,0,0,0,0,0,0
2713,0,0,0,0,0,0
2714,0,0,0,0,0,0
2715,0,0,0,0,0,0
2716,0,0,0,0,0,0
2717,0,0,0,0,0,0
2718,16,25,24,9,0,0
2719,0,0,0,0,0,0
2720,0,0,0,0,0,0
2721,5,6,6,1,0,0
2722,0,0,0,0,0,0
2723,0,0,0,0,0,0
2724,0,0,0,0,0,0
2725,3,3,3,0,0,0
2726,0,0,0,0,0,0
2727,14,24,24,10,0,0
2728,1,1,1,0,0,0
2729,0,0,0,0,0,0
2730,0,0,0,0,0,0
2731,0,0,0,0,0,0
2732,0,0,0,0,0,0
2733,0,0,0,0,0,0
2734,0,0,0,0,0,0
2735,1,1,1,0,0,0
2736,0,0,0,0,0,0
2737,0,0,0,0,0,0
2738,0,0,0,0,0,0
2739,3,5,5,2,0,0
2740,0,0,0,0,0,0
2741,0,0,0,0,0,0
2742,0,0,0,0,0,0
2743,0,0,0,0,0,0
2744,0,0,0,0,0,0
2745,2,3,3,1,0,0
2746,0,0,0,0,0,0
2747,4,7,7,3,0,0
2748,0,0,0,0,0,0
2749,1,1,1,0,0,0
2750,6,7,7,1,0,0
2751,2,3,3,1,0,0
2752,4,5,5,1,0,0
2753,0,0,0,0,0,0
2754,0,0,0,0,0,0
2755,2,4,4,2,0,0
2756,0,0,0,0,0,0
2757,0,0,0,0,0,0
2758,0,0,0,0,0,0
2759,0,0,0,0,0,0
2760,10,17,17,7,0,0
2761,0,0,0,0,0,0
2762,1,1,1,0,0,0
2763,0,0,0,0,0,0
2764,0,0,0,0,0,0
2765,16,26,25,10,0,0
2766,0,0,0,0,0,0
2767,0,0,0,0,0,0
2768,0,0,0,0,0,0
2769,0,0,0,0,0,0
2770,0,0,0,0,0,0
2771,1,1,1,0,0,0
2772,2,2,2,0,0,0
2773,0,0,0,0,0,0
2774,7,9,8,2,0,0
2775,9,10,10,1,0,0
2776,0,0,0,0,0,0
2777,12,22,22,10,0,0
2778,0,0,0,0,0,0
2779,3,4,4,1,0,0
2780,1,1,1,0,0,0
2781,9,12,12,3,0,0
2782,0,0,0,0,0,0
2783,1,2,2,1,0,0
2784,0,0,0,0,0,0
2785,0,0,0,0,0,0
2786,0,0,0,0,0,0
2787,0,0,0,0,0,0
2788,0,0,0,0,0,0
2789,0,0,0,0,0,0
2790,3,4,4,1,0,0
2791,0,0,0,0,0,0
2792,0,0,0,0,0,0
2793,0,0,0,0,0,0
2794,0,0,0,0,0,0
2795,9,12,12,3,0,0
2796,0,0,0,0,0,0
2797,0,0,0,0,0,0
2798,0,0,0,0,0,0
2799,0,0,0,0,0,0
2800,0,0,0,0,0,0
2801,0,0,0,0,0,0
2802,7,10,10,3,0,0
2803,1,1,0,0,0,0
2804,0,0,0,0,0,0
2805,0,0,0,0,0,0
2806,2,3,3,1,0,0
2807,0,0,0,0,0,0
2808,0,0,0,0,0,0
2809,0,0,0,0,0,0
2810,11,13,12,2,0,0
2811,4,4,4,0,0,0
2812,6,9,9,3,0,0
2813,0,0,0,0,0,0
2814,0,0,0,0,0,0
2815,0,0,0,0,0,0
2816,1,1,1,0,0,0
2817,0,0,0,0,0,0
2818,0,0,0,0,0,0
2819,0,0,0,0,0,0
2820,0,0,0,0,0,0
2821,21,28,28,7,0,0
2822,0,0,0,0,0,0
2823,3,6,6,3,0,0
2824,0,0,0,0,0,0
2825,0,0,0,0,0,0
2826,0,0,0,0,0,0
2827,1,1,1,0,0,0
2828,0,0,0,0,0,0
2829,1,2,2,1,0,0
2830,0,0,0,0,0,0
2831,1,2,2,1,0,0
2832,1,2,2,1,0,0
2833,0,0,0,0,0,0
2834,0,0,0,0,0,0
2835,1,1,1,0,0,0
2836,0,0,0,0,0,0
2837,2,2,2,0,0,0
2838,0,0,0,0,0,0
2839,0,0,0,0,0,0
2840,0,0,0,0,0,0
2841,0,0,0,0,0,0
2842,0,0,0,0,0,0
2843,0,0,0,0,0,0
2844,0,0,0,0,0,0
2845,0,0,0,0,0,0
2846,0,0,0,0,0,0
2847,0,0,0,0,0,0
2848,0,0,0,0,0,0
2849,0,0,0,0,0,0
2850,0,0,0,0,0,0
2851,0,0,0,0,0,0
2852,0,0,0,0,0,0
2853,4,7,7,3,0,0
2854,0,0,0,0,0,0
2855,0,0,0,0,0,0
2856,0,0,0,0,0,0
2857,3,3,3,0,0,0
2858,0,0,0,0,0,0
2859,0,0,0,0,0,0
2860,0,0,0,0,0,0
2861,0,0,0,0,0,0
2862,1,1,1,0,0,0
2863,0,0,0,0,0,0
2864,0,0,0,0,0,0
2865,0,0,0,0,0,0
2866,0,0,0,0,0,0
2867,0,0,0,0,0,0
2868,0,0,0,0,0,0
2869,0,0,0,0,0,0
2870,2,2,2,0,0,0
2871,0,0,0,0,0,0
2872,8,9,7,1,0,0
2873,0,0,0,0,0,0
2874,0,0,0,0,0,0
2875,0,0,0,0,0,0
2876,0,0,0,0,0,0
2877,0,0,0,0,0,0
2878,0,0,0,0,0,0
2879,2,4,4,2,0,0
2880,0,0,0,0,0,0
2881,0,0,0,0,0,0
2882,15,18,17,3,0,0
2883,0,0,0,0,0,0
2884,0,0,0,0,0,0
2885,0,0,0,0,0,0
2886,8,10,10,2,0,0
2887,0,0,0,0,0,0
2888,0,0,0,0,0,0
2889,0,0,0,0,0,0
2890,0,0,0,0,0,0
2891,0,0,0,0,0,0
2892,0,0,0,0,0,0
2893,0,0,0,0,0,0
2894,5,5,4,0,0,0
2895,0,0,0,0,0,0
2896,0,0,0,0,0,0
2897,0,0,0,0,0,0
2898,0,0,0,0,0,0
2899,0,0,0,0,0,0
2900,0,0,0,0,0,0
2901,1,2,2,1,0,0
2902,0,0,0,0,0,0
2903,0,0,0,0,0,0
2904,0,0,0,0,0,0
2905,0,0,0,0,0,0
