order_index	vertex	status	vertices_after
548	46	SAT_VERIFIED	560
549	49	SAT_VERIFIED	560
550	137	SAT_VERIFIED	560
551	179	POSITIVE_COVER	560
552	180	SAT_VERIFIED	560
553	250	SAT_VERIFIED	560
554	255	SAT_VERIFIED	560
555	258	SAT_VERIFIED	560
556	350	SAT_VERIFIED	560
557	361	UNKNOWN	560
558	363	SAT_VERIFIED	560
559	365	SAT_VERIFIED	560
560	368	SAT_VERIFIED	560
561	370	SAT_VERIFIED	560
562	373	SAT_VERIFIED	560
563	395	SAT_VERIFIED	560
564	410	SAT_VERIFIED	560
565	412	SAT_VERIFIED	560
566	413	SAT_VERIFIED	560
567	414	SAT_VERIFIED	560
568	2	SAT_VERIFIED	560
569	3	SAT_VERIFIED	560
570	6	SAT_VERIFIED	560
571	7	SAT_VERIFIED	560
572	10	SAT_VERIFIED	560
573	11	POSITIVE_COVER	560
574	38	SAT_VERIFIED	560
575	163	SAT_VERIFIED	560
576	184	SAT_VERIFIED	560
577	187	SAT_VERIFIED	560
578	247	SAT_VERIFIED	560
579	254	SAT_VERIFIED	560
580	347	SAT_VERIFIED	560
581	349	SAT_VERIFIED	560
582	352	SAT_VERIFIED	560
583	353	SAT_VERIFIED	560
584	354	SAT_VERIFIED	560
585	355	SAT_VERIFIED	560
586	356	SAT_VERIFIED	560
587	357	SAT_VERIFIED	560
588	364	SAT_VERIFIED	560
589	366	POSITIVE_COVER	560
590	371	SAT_VERIFIED	560
591	411	SAT_VERIFIED	560
592	415	SAT_VERIFIED	560
593	478	SAT_VERIFIED	560
594	489	SAT_VERIFIED	560
595	60	SAT_VERIFIED	560
596	144	SAT_VERIFIED	560
597	152	SAT_VERIFIED	560
598	183	SAT_VERIFIED	560
599	188	SAT_VERIFIED	560
600	367	SAT_VERIFIED	560
601	369	SAT_VERIFIED	560
602	374	SAT_VERIFIED	560
603	58	SAT_VERIFIED	560
604	145	POSITIVE_COVER	560
605	146	SAT_VERIFIED	560
606	147	SAT_VERIFIED	560
607	155	SAT_VERIFIED	560
608	52	SAT_VERIFIED	560
609	54	SAT_VERIFIED	560
610	64	SAT_VERIFIED	560
611	66	SAT_VERIFIED	560
612	143	SAT_VERIFIED	560
613	148	SAT_VERIFIED	560
614	151	SAT_VERIFIED	560
615	153	SAT_VERIFIED	560
616	154	SAT_VERIFIED	560
617	156	SAT_VERIFIED	560
618	159	SAT_VERIFIED	560
619	160	SAT_VERIFIED	560
620	161	SAT_VERIFIED	560
621	162	SAT_VERIFIED	560
622	164	SAT_VERIFIED	560
623	50	SAT_VERIFIED	560
624	53	SAT_VERIFIED	560
625	56	SAT_VERIFIED	560
626	59	SAT_VERIFIED	560
627	62	SAT_VERIFIED	560
628	65	SAT_VERIFIED	560
629	0	SAT_VERIFIED	560
