RB	507	11
RB	508	11
RB	509	11
RB	510	121
RB	511	11
RB	512	11
RB	513	11
RB	514	11
RB	515	121
RB	516	11
RB	517	11
RB	518	11
RB	519	11
RB	520	72
RB	521	11
RB	522	11
RB	523	11
RB	524	4
RB	525	121
RB	526	11
RB	527	11
RB	528	11
RB	529	11
RB	530	11
RB	531	1
RB	532	1
RB	533	1
RB	534	1
RB	535	11
RB	536	1
RB	537	1
RB	538	1
RB	539	1
RB	540	11
RB	541	1
RB	542	1
RB	543	1
RB	544	1
RB	545	11
RB	546	1
RB	547	1
RB	548	1
RB	549	1
RB	550	121
RB	551	11
RB	552	11
RB	553	11
RB	554	11
RB	555	11
RB	556	1
RB	557	1
RB	558	1
RB	559	1
RB	560	11
RB	561	1
RB	562	1
RB	563	1
RB	564	1
RB	565	11
RB	566	1
RB	567	1
RB	568	1
RB	569	1
RB	570	11
RB	571	1
RB	572	1
RB	573	1
RB	574	1
RB	575	121
RB	576	11
RB	577	11
RB	578	11
RB	579	11
RB	580	11
RB	581	1
RB	582	1
RB	583	1
RB	584	1
RB	585	11
RB	586	1
RB	587	1
RB	588	1
RB	589	1
RB	590	11
RB	591	1
RB	592	1
RB	593	1
RB	594	1
RB	595	11
RB	596	1
RB	597	1
RB	598	1
RB	599	1
RB	600	72
RB	601	11
RB	602	11
RB	603	11
RB	604	4
RB	605	11
RB	606	1
RB	607	1
RB	608	1
RB	609	1
RB	610	11
RB	611	1
RB	612	1
RB	613	1
RB	614	1
RB	615	11
RB	616	1
RB	617	1
RB	618	1
RB	619	1
RB	620	4
RB	621	1
RB	622	1
RB	623	1
