same	510	82	1180308993
same	511	7	1069146145
same	513	7	1069146145
same	515	82	1180308993
same	516	7	1069146145
same	517	7	1069146145
same	525	82	1180308993
same	527	7	1069146145
same	528	7	1069146145
same	535	7	1069146145
same	538	1	966514601
same	540	7	1069146145
same	542	1	966514601
same	550	82	1180308993
same	551	7	1069146145
same	553	7	1069146145
same	555	7	1069146145
same	558	1	966514601
same	565	7	1069146145
same	566	1	966514601
same	575	82	1180308993
same	576	7	1069146145
same	577	7	1069146145
same	580	7	1069146145
same	582	1	966514601
same	585	7	1069146145
same	586	1	966514601
majority	0	13527	1275489796
majority	1	1106	1078751954
majority	2	1106	1078751954
majority	3	1106	1078751954
majority	4	1106	1078751954
majority	5	1106	1078751954
majority	7	82	904956402
majority	8	82	904956402
majority	9	82	904956402
majority	10	1106	1078751954
majority	11	82	904956402
majority	13	82	904956402
majority	14	82	904956402
majority	15	1106	1078751954
majority	16	82	904956402
majority	17	82	904956402
majority	19	82	904956402
majority	20	1106	1078751954
majority	21	82	904956402
majority	22	82	904956402
majority	23	82	904956402
majority	25	1106	1078751954
majority	27	82	904956402
majority	28	82	904956402
majority	29	82	904956402
majority	35	82	904956402
majority	38	7	752512480
majority	39	7	752512480
majority	40	82	904956402
majority	42	7	752512480
majority	44	7	752512480
majority	45	82	904956402
majority	47	7	752512480
majority	48	7	752512480
majority	50	1106	1078751954
majority	51	82	904956402
majority	53	82	904956402
majority	54	82	904956402
majority	55	82	904956402
majority	58	7	752512480
majority	59	7	752512480
majority	65	82	904956402
majority	66	7	752512480
majority	69	7	752512480
majority	70	82	904956402
majority	71	7	752512480
majority	73	7	752512480
majority	75	1106	1078751954
majority	76	82	904956402
majority	77	82	904956402
majority	79	82	904956402
majority	80	82	904956402
majority	82	7	752512480
majority	84	7	752512480
majority	85	82	904956402
majority	86	7	752512480
majority	89	7	752512480
majority	95	82	904956402
majority	96	7	752512480
majority	97	7	752512480
majority	100	1106	1078751954
majority	101	82	904956402
majority	102	82	904956402
majority	103	82	904956402
majority	105	82	904956402
majority	107	7	752512480
majority	108	7	752512480
majority	110	82	904956402
majority	111	7	752512480
majority	113	7	752512480
majority	115	82	904956402
majority	116	7	752512480
majority	117	7	752512480
majority	125	1106	1078751954
majority	127	82	904956402
majority	128	82	904956402
majority	129	82	904956402
majority	135	82	904956402
majority	138	7	752512480
majority	139	7	752512480
majority	140	82	904956402
majority	142	7	752512480
majority	144	7	752512480
majority	145	82	904956402
majority	147	7	752512480
majority	148	7	752512480
majority	175	82	904956402
majority	178	7	752512480
majority	179	7	752512480
majority	190	7	752512480
majority	194	1	619887152
majority	195	7	752512480
majority	198	1	619887152
majority	200	82	904956402
majority	202	7	752512480
majority	204	7	752512480
majority	210	7	752512480
majority	214	1	619887152
majority	220	7	752512480
majority	222	1	619887152
majority	225	82	904956402
majority	227	7	752512480
majority	228	7	752512480
majority	235	7	752512480
majority	238	1	619887152
majority	240	7	752512480
majority	242	1	619887152
