# orientation_index first_overlap second_overlap
9 698 9400
9 7837 26468
9 1306 3030
9 39971 46955
9 35669 40405
9 12068 20243
9 3308 8603
9 3957 11611
9 18237 24803
9 3044 7783
9 1308 7786
9 13503 33355
9 3666 9484
9 23838 46818
9 3960 27001
9 17421 45428
9 3587 9416
9 1355 18306
9 3953 27000
9 29617 45410
9 9445 24259
9 29528 40464
9 1013 15741
9 4037 27044
9 14532 15747
10 1974 35195
10 812 19390
10 5115 26437
10 189 8640
10 4497 14568
10 32718 49741
10 8646 11598
10 11067 26397
10 149 23715
10 34186 50358
10 2668 40461
10 33266 49400
10 3539 9391
10 33214 49369
10 148 18777
10 12938 33200
10 18031 23309
10 34156 50322
10 39896 46934
10 12968 33196
10 3302 8582
10 3572 9394
10 29646 40477
10 3029 7764
10 14724 15099
10 21389 40818
10 759 3591
10 7828 11053
10 9458 10508
10 3314 8597
10 694 19317
10 4563 25852
10 3038 7777
10 24943 47154
10 10519 25851
10 40414 47082
10 3319 26933
10 5326 34747
10 10391 33418
10 33151 48869
10 12501 33135
11 12977 43239
11 22361 36954
11 1136 7273
11 13018 22276
11 4751 26595
11 1093 18697
11 13936 28074
11 19251 24696
11 19722 27656
11 1906 33518
11 4125 26017
11 3752 8865
11 3719 8868
11 29997 44656
11 41285 48816
11 3455 8048
11 14861 34565
11 19811 23656
11 3146 7233
11 20999 40726
11 591 8852
11 8038 25487
11 8850 26023
11 1638 8066
11 1687 8034
11 1139 7222
11 38973 44658
11 17174 25039
11 35602 45320
11 3453 25529
11 1171 3166
11 1817 34637
11 3891 13774
11 2499 30015
11 3452 8055
11 26148 33219
11 7242 24123
11 33132 47502
11 3484 8057
11 1676 19199
11 1221 18710
11 1716 8067
12 12687 44323
12 6672 36926
12 43913 44219
12 30364 46566
12 2485 6685
12 20446 46279
12 12241 41360
12 16535 37906
12 8978 19060
12 4838 16063
12 43101 44012
12 33068 37401
12 27251 46310
12 20166 42238
12 6476 37946
12 1262 15174
12 15994 37397
12 7938 36289
13 22187 43792
13 22219 44234
13 4989 19034
13 6658 33413
13 3156 14574
13 5181 19253
13 29430 30597
13 12277 42240
13 3019 46166
13 17355 17909
13 1126 14221
13 3286 35809
13 9059 30322
13 1851 9749
13 42634 47209
13 28643 46710
13 18578 37772
13 31724 39485
13 3143 24110
13 25585 37555
13 20853 46417
13 8026 19229
13 12822 42609
13 21118 43053
13 39578 42994
18 10867 36311
18 6001 48783
18 5861 23469
18 21358 47610
18 15523 39401
18 2331 43646
19 31905 36742
19 34294 48226
19 22036 48021
19 22741 40270
19 21025 23142
19 10892 36065
19 20632 39253
20 13094 15574
20 21022 48453
20 36118 50021
20 20996 23132
20 12653 20973
20 12597 50583
21 20747 21762
21 22453 49957
21 6590 34505
21 2790 16141
21 13561 42723
22 37359 38001
22 37507 38411
22 9658 29667
23 20867 36258
23 20839 46694
24 20864 36256
25 37489 38454
26 22340 43866
26 35701 46878
