0102233103000302010	023321331200213103101121331231231222310120033220121231200000022133221113311300021321302002302010321313002130113110302012233032220123221
0102233103000302030	023321331200213103101121331231231222310120033220121231200000022133221113311300021321302002302010321313002130113110302012233032220123221
0102233103000312110	023321331200213103101121331231231222310120033220121231200000022133221113311300021321302002302010321313002130113110302012233032220123221
0102233103000312130	023321331200213103101121331231231222310120033220121231200000022133221113311300021321302002302010321313002130113110302012233032220123221
0102331020103000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132020112120302213332023333111
0102331020203000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132020112120302213332023333111
0102331022120000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132010112120302213332023333111
0102331022123000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132010112120302213332023333111
0102331030103000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132010112120302213332023333111
0102331030203000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132010112120302213332023333111
0102331032120000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132010112120302213332023333111
0102331032123000302	220321321003213020101111231231231232313200233223133201000000021133221133211000221220310302300302031310032132010112120302213332023333111
0102332020102010302	030321321200213320101011231231231232313230230221223121000000021132221133213300021332010302010302031312002132010103020302213332210322111
0102332020103000302	230321321003213020101111231231231232313200233223133201000000021133221133211000221230310302300302031310032132010112110302223332223332211
0102332020103010302	230321321003213020101011231231231232313200233223133201000000021133221133211000221230310302310302031310032132010102010302223332223332211
0102332020202010302	230321321003213020101011231231231232313200233223133201000000021133221133211000221230310302310302031310032132010102010302223332223332211
0102332020203000302	230321321003213020101111231231231232313200233223133201000000021133221133211000221230310302300302031310032132010112110302223332223332211
0102332020203010302	230321321003213020101011231231231232313200233223133201000000021133221133211000221230310302310302031310032132010102010302223332223332211
0102332022120000302	230321321003213020101111231231231232313200233223133201000000021133221133211000221230310302300302031310032132010112110302223332223332211
0102332022120010302	202031210032210023130201123123311321111203112321020133322000311102313023210032221023230231212003003213321002010031232103311202312023110
0102332022123000302	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
0102332022123010302	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
0102332030102010302	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
0102332030102012020	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
0102332030102012320	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
0102332030103000302	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
0102332030103002020	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
0102332030103002320	210002110002213013322132133223113321101300222331030033221100321331033023213032111002230201032020033210211003010101231113320301022023123
