parent	edge_1	edge_2	edge_3	edge_4	target_kind	target_index
21	4,5	22,23	20,36	36,37	base	18
21	5,14	1,27	19,37	35,38	base	51
22	0,3	20,33	33,39	36,39	base	86
22	0,3	21,22	20,33	33,39	base	128
22	0,3	21,22	20,33	36,39	base	131
22	0,3	21,22	33,39	36,39	base	126
22	0,3	4,5	20,33	33,39	base	93
22	0,3	4,5	20,33	36,39	base	89
22	0,3	4,5	21,22	20,33	base	168
22	0,3	4,5	21,22	33,39	base	118
22	0,3	4,5	21,22	36,39	base	169
22	0,3	4,5	33,39	36,39	base	92
22	21,22	20,33	33,39	36,39	base	12
22	4,5	20,33	33,39	36,39	base	1
22	4,5	21,22	20,33	33,39	base	19
22	4,5	21,22	20,33	36,39	base	11
22	4,5	21,22	33,39	36,39	base	17
22	5,14	1,26	19,36	35,37	base	49
23	0,1	14,15	30,31	32,33	complement	312
23	0,1	6,15	30,31	32,33	complement	284
23	0,1	6,7	14,15	30,31	complement	149
23	0,1	6,7	14,15	32,33	complement	237
23	0,1	6,7	30,31	32,33	complement	323
23	0,1	6,7	8,9	14,15	complement	196
23	0,1	6,7	8,9	30,31	complement	295
23	0,1	6,7	8,9	32,33	complement	245
23	0,1	7,14	30,31	32,33	complement	284
23	0,1	7,14	6,15	30,31	complement	152
23	0,1	7,14	6,15	32,33	complement	243
23	0,1	8,9	14,15	30,31	complement	302
23	0,1	8,9	14,15	32,33	complement	236
23	0,1	8,9	30,31	32,33	complement	320
23	0,1	8,9	6,15	30,31	complement	286
23	0,1	8,9	6,15	32,33	complement	229
23	0,1	8,9	7,14	30,31	complement	286
23	0,1	8,9	7,14	32,33	complement	229
23	0,1	8,9	7,14	6,15	complement	204
23	6,7	14,15	30,31	32,33	complement	310
23	6,7	8,9	14,15	30,31	complement	300
23	6,7	8,9	14,15	32,33	complement	234
23	6,7	8,9	30,31	32,33	complement	318
23	7,14	6,15	30,31	32,33	complement	316
23	8,9	14,15	30,31	32,33	complement	309
23	8,9	6,15	30,31	32,33	complement	257
23	8,9	7,14	30,31	32,33	complement	257
23	8,9	7,14	6,15	30,31	complement	304
23	8,9	7,14	6,15	32,33	complement	242
24	0,1	15,25	15,28	28,39	base	187
24	0,1	21,22	15,25	15,28	base	129
24	0,1	21,22	15,25	28,39	base	130
24	0,1	21,22	15,28	28,39	base	127
24	0,1	4,7	15,25	15,28	base	94
24	0,1	4,7	15,25	28,39	base	132
24	0,1	4,7	15,28	28,39	base	95
24	0,1	4,7	21,22	15,25	base	79
24	0,1	4,7	21,22	15,28	base	85
24	0,1	4,7	21,22	28,39	base	77
24	16,21	3,29	32,35	17,39	base	57
24	21,22	15,25	15,28	28,39	base	0
24	4,7	15,25	15,28	28,39	base	2
24	4,7	21,22	15,25	15,28	base	6
24	4,7	21,22	15,25	28,39	base	21
24	4,7	21,22	15,28	28,39	base	4
25	0,2	17,29	17,37	35,37	base	133
25	0,2	17,29	17,37	36,40	base	90
25	0,2	17,29	21,34	17,37	base	100
25	0,2	17,29	21,34	35,37	base	161
25	0,2	17,29	21,34	36,40	base	102
25	0,2	17,29	35,37	36,40	base	141
25	0,2	17,37	35,37	36,40	base	87
25	0,2	18,22	17,29	17,37	base	97
25	0,2	18,22	17,29	21,34	base	117
25	0,2	18,22	17,29	35,37	base	106
25	0,2	18,22	17,29	36,40	base	69
25	0,2	18,22	17,37	35,37	base	110
25	0,2	18,22	17,37	36,40	base	109
25	0,2	18,22	21,34	17,37	base	98
25	0,2	18,22	21,34	35,37	base	114
25	0,2	18,22	21,34	36,40	base	182
25	0,2	18,22	35,37	36,40	base	71
25	0,2	21,34	17,37	35,37	base	162
25	0,2	21,34	17,37	36,40	base	101
25	0,2	21,34	35,37	36,40	base	156
25	17,29	17,37	35,37	36,40	base	44
25	17,29	21,34	17,37	35,37	base	31
25	17,29	21,34	17,37	36,40	base	120
25	17,29	21,34	35,37	36,40	base	49
25	18,22	17,29	17,37	35,37	base	62
25	18,22	17,29	17,37	36,40	base	75
25	18,22	17,29	21,34	17,37	base	84
25	18,22	17,29	21,34	35,37	base	223
25	18,22	17,29	21,34	36,40	base	122
25	18,22	17,29	35,37	36,40	base	59
25	18,22	17,37	35,37	36,40	base	53
25	18,22	21,34	17,37	35,37	base	224
25	18,22	21,34	17,37	36,40	base	81
25	18,22	21,34	35,37	36,40	base	227
25	21,34	17,37	35,37	36,40	base	33
26	0,2	17,30	17,38	37,38	base	134
26	0,2	17,30	21,35	17,38	base	105
26	0,2	17,30	21,35	22,36	base	164
26	0,2	17,30	21,35	37,38	base	157
26	0,2	17,30	22,36	17,38	complement	40
26	0,2	17,30	22,36	37,38	base	142
26	0,2	18,23	17,30	17,38	base	67
26	0,2	18,23	17,30	21,35	base	185
26	0,2	18,23	17,30	22,36	base	107
26	0,2	18,23	17,30	37,38	base	68
26	0,2	18,23	17,38	37,38	base	70
26	0,2	18,23	21,35	17,38	base	99
26	0,2	18,23	21,35	22,36	base	183
26	0,2	18,23	21,35	37,38	base	113
26	0,2	18,23	22,36	17,38	base	108
26	0,2	18,23	22,36	37,38	base	111
26	0,2	21,35	17,38	37,38	base	158
26	0,2	21,35	22,36	17,38	base	103
26	0,2	21,35	22,36	37,38	base	163
26	0,2	22,36	17,38	37,38	base	138
26	17,30	21,35	17,38	37,38	base	61
26	17,30	21,35	22,36	17,38	base	119
26	17,30	21,35	22,36	37,38	base	35
26	17,30	22,36	17,38	37,38	base	60
26	18,23	17,30	17,38	37,38	base	63
26	18,23	17,30	21,35	17,38	base	82
26	18,23	17,30	21,35	22,36	base	222
26	18,23	17,30	21,35	37,38	base	123
26	18,23	17,30	22,36	17,38	base	74
26	18,23	17,30	22,36	37,38	base	58
26	18,23	21,35	17,38	37,38	base	124
26	18,23	21,35	22,36	17,38	base	83
26	18,23	21,35	22,36	37,38	base	221
26	18,23	22,36	17,38	37,38	base	52
26	21,35	22,36	17,38	37,38	base	50
27	0,2	17,23	17,31	22,36	base	160
27	0,2	17,23	17,31	37,40	base	134
27	0,2	17,23	18,24	17,31	base	96
27	0,2	17,23	18,24	22,36	base	181
27	0,2	17,23	18,24	37,40	base	70
27	0,2	17,23	20,23	17,31	complement	40
27	0,2	17,23	20,23	18,24	base	108
27	0,2	17,23	20,23	22,36	base	103
27	0,2	17,23	20,23	37,40	base	135
27	0,2	17,23	22,36	37,40	base	158
27	0,2	17,31	22,36	37,40	base	157
27	0,2	18,24	17,31	22,36	base	115
27	0,2	18,24	17,31	37,40	base	68
27	0,2	18,24	22,36	37,40	base	113
27	0,2	20,23	17,31	22,36	base	164
27	0,2	20,23	17,31	37,40	base	88
27	0,2	20,23	18,24	17,31	base	107
27	0,2	20,23	18,24	22,36	base	183
27	0,2	20,23	18,24	37,40	base	72
27	0,2	20,23	22,36	37,40	base	104
27	17,23	17,31	22,36	37,40	base	61
27	17,23	18,24	17,31	22,36	base	228
27	17,23	18,24	17,31	37,40	base	63
27	17,23	18,24	22,36	37,40	base	124
27	17,23	20,23	17,31	22,36	base	119
27	17,23	20,23	17,31	37,40	base	43
27	17,23	20,23	18,24	17,31	base	74
27	17,23	20,23	18,24	22,36	base	83
27	17,23	20,23	18,24	37,40	base	76
27	17,23	20,23	22,36	37,40	base	219
27	18,24	17,31	22,36	37,40	base	123
27	20,23	17,31	22,36	37,40	base	36
27	20,23	18,24	17,31	22,36	base	222
27	20,23	18,24	17,31	37,40	base	65
27	20,23	18,24	22,36	37,40	base	226
28	0,2	17,24	17,32	22,37	base	159
28	0,2	17,24	17,32	23,38	base	133
28	0,2	17,24	18,25	17,32	base	66
28	0,2	17,24	18,25	22,37	base	155
28	0,2	17,24	18,25	23,38	base	110
28	0,2	17,24	20,24	17,32	base	90
28	0,2	17,24	20,24	18,25	base	109
28	0,2	17,24	20,24	22,37	base	101
28	0,2	17,24	20,24	23,38	base	91
28	0,2	17,24	22,37	23,38	base	162
28	0,2	17,32	22,37	23,38	base	161
28	0,2	18,25	17,32	22,37	base	154
28	0,2	18,25	17,32	23,38	base	106
28	0,2	18,25	22,37	23,38	base	114
28	0,2	20,24	17,32	22,37	base	102
28	0,2	20,24	17,32	23,38	base	143
28	0,2	20,24	18,25	17,32	base	69
