code	zero	orbit_size	support	triples
166639	1	5040	8	3
166651	1	5040	8	3
166654	1	10080	8	3
166655	0	10080	8	4
166909	1	2520	8	4
166910	0	2520	8	4
167167	1	5040	7	5
167359	1	10080	8	4
167407	1	10080	8	4
167419	1	10080	8	4
167422	1	10080	8	4
167423	0	10080	8	5
167599	1	10080	8	3
167614	1	5040	8	3
167615	0	5040	8	4
167662	1	5040	8	3
167663	0	5040	8	4
167674	1	5040	8	3
167675	0	5040	8	4
167677	1	10080	8	4
167678	0	10080	8	4
167932	1	2520	7	5
167933	0	2520	8	5
169471	1	5040	9	4
169663	1	2520	9	3
169711	1	5040	9	3
169726	1	5040	9	3
169727	0	5040	9	4
169981	1	1260	9	4
169982	0	1260	9	4
170431	1	5040	9	3
170479	1	10080	9	3
170491	1	10080	9	3
170494	1	10080	9	3
170495	0	10080	9	4
170671	1	10080	9	2
170686	1	5040	9	2
170687	0	5040	9	3
170734	1	5040	9	2
170735	0	5040	9	3
170746	1	5040	9	2
170747	0	5040	9	3
170749	1	10080	9	3
170750	0	10080	9	3
171004	1	2520	8	4
171005	0	2520	9	4
171487	1	1680	9	4
171499	1	5040	9	3
171502	1	5040	9	3
171503	0	5040	9	4
171511	1	1680	9	4
171514	1	5040	9	3
171515	0	5040	9	4
171517	1	5040	9	4
171518	0	5040	9	4
171691	1	2520	9	2
171694	1	10080	9	2
171695	0	10080	9	3
171709	1	5040	9	3
171710	0	5040	9	3
171757	1	5040	9	3
171758	0	5040	9	3
171769	1	5040	9	3
171770	0	5040	9	3
171772	1	10080	8	4
171773	0	10080	9	4
172028	0	2520	8	5
174763	1	420	9	1
174766	1	2520	9	1
174767	0	2520	9	2
174781	1	1260	9	2
174782	0	1260	9	2
174829	1	5040	9	2
174830	0	5040	9	2
174844	1	5040	8	3
174845	0	5040	9	3
175100	0	1260	8	4
175852	1	1680	8	3
175853	0	1680	9	3
175864	1	1680	8	3
175865	0	1680	9	3
175868	0	5040	8	4
180991	1	5040	7	5
181246	1	2520	7	5
181247	0	2520	7	6
181759	1	20160	8	5
181951	1	10080	8	4
181999	1	10080	8	4
182011	1	10080	8	4
182014	1	20160	8	4
182015	0	20160	8	5
182269	1	5040	8	5
182270	0	5040	8	5
182527	1	10080	7	5
182719	1	20160	8	4
182767	1	20160	8	4
182779	1	20160	8	4
182782	1	20160	8	4
182783	0	20160	8	5
182959	1	20160	8	3
182974	1	10080	8	3
182975	0	10080	8	4
183022	1	10080	8	3
183023	0	10080	8	4
183034	1	10080	8	3
183035	0	10080	8	4
183037	1	20160	8	4
183038	0	20160	8	4
183292	1	5040	7	5
183293	0	5040	8	5
183535	1	10080	7	5
183547	1	10080	7	5
183550	1	10080	7	5
183551	0	10080	7	6
183679	1	10080	8	5
183727	1	20160	8	4
183739	1	20160	8	4
183742	1	20160	8	4
183743	0	20160	8	5
183775	1	10080	8	5
183787	1	20160	8	4
183790	1	20160	8	4
183791	0	20160	8	5
183799	1	10080	8	5
183802	1	20160	8	4
183803	0	20160	8	5
183805	1	20160	8	5
183806	0	20160	8	5
183979	1	5040	8	3
183982	1	20160	8	3
183983	0	20160	8	4
183997	1	10080	8	4
183998	0	10080	8	4
184045	1	10080	8	4
184046	0	10080	8	4
184057	1	10080	8	4
184058	0	10080	8	4
184060	1	20160	7	5
184061	0	20160	8	5
184316	0	5040	7	6
185791	1	10080	9	4
185839	1	20160	9	4
185854	1	10080	9	4
185855	0	10080	9	5
186031	1	10080	9	3
186046	1	5040	9	3
186047	0	5040	9	4
186094	1	10080	9	3
186095	0	10080	9	4
186109	1	10080	9	4
186110	0	10080	9	4
186364	1	2520	8	5
186365	0	2520	9	5
186799	1	10080	9	3
186811	1	10080	9	3
186814	1	10080	9	3
186815	0	10080	9	4
186847	1	10080	9	4
186859	1	20160	9	3
186862	1	20160	9	3
186863	0	20160	9	4
186871	1	10080	9	4
186874	1	20160	9	3
186875	0	20160	9	4
186877	1	20160	9	4
186878	0	20160	9	4
187051	1	5040	9	2
187054	1	20160	9	2
187055	0	20160	9	3
187069	1	10080	9	3
187070	0	10080	9	3
187117	1	10080	9	3
187118	0	10080	9	3
187129	1	10080	9	3
187130	0	10080	9	3
187132	1	20160	8	4
187133	0	20160	9	4
187388	0	5040	8	5
187870	1	3360	9	4
187871	0	3360	9	5
187882	1	10080	9	3
187883	0	10080	9	4
187885	1	10080	9	4
187886	0	10080	9	4
187894	1	3360	9	4
187895	0	3360	9	5
187897	1	10080	9	4
187898	0	10080	9	4
187900	1	10080	8	5
187901	0	10080	9	5
188074	1	5040	9	2
188075	0	5040	9	3
188077	1	20160	9	3
188078	0	20160	9	3
188092	1	10080	8	4
188093	0	10080	9	4
188140	1	10080	8	4
188141	0	10080	9	4
188152	1	10080	8	4
188153	0	10080	9	4
188156	0	20160	8	5
191146	1	840	9	1
191147	0	840	9	2
191149	1	5040	9	2
191150	0	5040	9	2
191164	1	2520	8	3
191165	0	2520	9	3
191212	1	10080	8	3
191213	0	10080	9	3
191228	0	10080	8	4
192236	0	3360	8	4
192248	0	3360	8	4
246781	1	420	7	6
246782	0	420	7	6
247231	1	10080	8	5
247279	1	10080	8	5
247291	1	10080	8	5
247294	1	10080	8	5
247295	0	10080	8	6
247471	1	10080	8	4
247486	1	5040	8	4
247487	0	5040	8	5
247534	1	5040	8	4
247535	0	5040	8	5
247546	1	5040	8	4
247547	0	5040	8	5
247549	1	10080	8	5
247550	0	10080	8	5
247804	1	2520	7	6
247805	0	2520	8	6
248191	1	5040	8	5
248239	1	10080	8	4
248251	1	10080	8	4
248254	1	10080	8	4
248255	0	10080	8	5
248287	1	5040	8	5
248299	1	10080	8	4
248302	1	10080	8	4
248303	0	10080	8	5
248311	1	5040	8	5
248314	1	10080	8	4
248315	0	10080	8	5
248317	1	10080	8	5
248318	0	10080	8	5
248491	1	2520	8	3
248494	1	10080	8	3
248495	0	10080	8	4
248509	1	5040	8	4
248510	0	5040	8	4
248557	1	5040	8	4
248558	0	5040	8	4
248569	1	5040	8	4
248570	0	5040	8	4
248572	1	10080	7	5
248573	0	10080	8	5
