# label a b c d; native coordinates ((a sqrt3+b sqrt11)/36,(c+d sqrt33)/36)
201 3 9 27 3
202 12 0 18 6
203 21 9 9 3
204 -9 -9 45 3
205 -9 9 45 -3
206 0 0 36 0
207 9 -9 27 3
208 9 9 27 -3
209 18 0 18 0
210 15 3 21 3
211 2 0 36 -2
212 6 0 36 -6
213 15 -9 27 -3
214 12 6 30 0
215 -3 9 45 3
216 6 0 36 6
217 15 9 27 3
218 24 0 18 6
219 -1 9 45 1
220 -6 0 54 0
221 3 -9 45 3
222 12 0 36 0
223 21 -9 27 3
224 21 9 27 -3
225 18 -6 30 6
226 18 0 36 -6
227 -6 6 60 0
228 9 9 45 3
229 18 0 36 6
230 15 9 45 -3
231 -3 -9 45 -3
232 -6 0 36 6
233 -9 3 33 3
234 -3 -3 33 3
235 -12 12 12 0
236 -9 9 9 9
237 -21 -3 -3 -3
238 -12 6 6 0
239 -3 -3 15 -3
240 6 6 24 0
241 0 -12 12 0
242 -21 -9 -9 -3
243 -6 12 6 0
244 0 -6 12 -6
245 0 12 12 0
246 -18 -6 -12 0
247 -9 3 -3 3
248 0 -6 6 0
249 -9 -3 -3 -3
250 6 -6 6 6
251 -3 -3 -3 3
252 -3 3 -3 -3
253 -15 -3 -21 -3
254 -12 18 -18 0
255 2 -6 -6 -2
256 6 -12 -6 0
257 9 -3 -3 3
258 -24 0 -36 0
259 9 3 -3 -3
260 6 6 -6 -6
261 -9 -9 -27 3
262 -12 -6 -30 0
263 6 -6 -12 0
264 15 3 -3 3
265 -6 6 -24 0
266 6 6 -12 0
267 0 18 -18 0
268 -12 0 -36 12
269 -6 -12 -30 0
270 3 -3 -21 3
271 9 -3 -15 3
272 -21 -9 -45 -3
273 -3 9 -27 3
274 0 12 -24 0
275 12 12 -12 0
276 -15 -9 -45 3
277 -15 9 -45 9
278 -6 0 -36 6
279 0 -6 -30 0
280 6 -6 -24 0
281 21 9 -9 -3
282 2 0 -36 -2
283 12 6 -30 0
284 15 9 -27 -3
285 24 0 -18 -6
286 3 -9 -45 -3
287 3 9 -45 3
288 12 0 -36 0
289 21 -9 -27 -3
290 21 9 -27 3
291 9 -9 -45 3
292 18 0 -36 6
293 -6 -6 -60 0
294 18 0 -36 -6
295 15 9 -45 3
296 27 -9 -27 3
297 30 0 -18 0
298 9 -3 -33 -3
299 24 0 -18 6
300 27 9 -9 3
301 30 0 0 -6
302 15 -3 -15 -3
303 9 -3 -21 -3
304 15 3 -15 3
305 9 3 -21 3
306 30 0 0 6
307 18 -6 -6 -6
308 9 3 -15 -3
309 3 3 -21 -3
310 24 0 0 0
311 12 -6 -12 6
312 27 9 9 -3
313 9 -9 -9 -9
314 12 6 -6 0
315 21 3 3 3
316 12 -6 -6 0
317 27 -9 9 3
318 0 6 -12 -6
319 30 0 18 0
320 18 6 12 0
321 12 6 6 0
322 4 0 0 4
323 12 6 12 -6
324 -6 6 -6 -6
325 15 3 15 -3
326 27 9 27 3
327 15 -3 15 3
328 12 -6 12 6
329 -6 -6 -6 6
330 9 3 15 3
331 9 3 21 -3
332 -6 -6 6 -6
333 24 0 36 0
334 9 -3 21 3
335 0 6 12 6
336 12 -6 24 6
337 -6 -6 6 6
338 3 3 21 3
339 21 -9 45 -3
340 0 -12 24 0
341 -7 -3 21 -1
342 -2 0 36 -2
343 1 -9 45 1
344 6 0 54 0
345 -18 6 30 6
346 6 -6 60 0
347 9 -3 33 3
348 3 3 33 3
349 9 -9 9 9
350 21 3 -3 -3
351 12 -6 6 0
352 6 12 6 0
353 18 -6 -12 0
354 15 9 -9 -9
355 2 0 0 2
356 -6 6 6 6
357 12 18 -18 0
358 15 -3 -21 3
359 24 0 -36 0
360 -6 -6 -6 -6
361 3 9 -27 9
362 0 6 -24 6
363 0 -12 -24 0
364 15 -9 -45 -3
365 6 0 -54 0
366 -18 -12 6 0
367 -12 -6 42 0
368 -12 -6 12 6
369 -12 6 42 0
370 -9 -9 9 -9
371 -6 6 6 -6
372 -4 0 18 2
373 -4 0 18 -2
374 -3 3 33 -3
375 4 0 36 4
376 4 0 18 2
377 6 -6 -6 6
378 6 6 42 6
379 9 9 9 -9
380 12 6 42 0
381 12 6 12 6
382 14 0 0 -2
383 18 12 6 0
384 19 3 15 1
385 27 -3 39 3
386 -18 -12 -6 0
387 -12 6 -42 0
388 -9 -3 -33 3
389 -4 0 -18 2
390 3 -3 -33 3
391 9 9 -9 9
392 15 -9 27 9
393 -3 -9 45 9
394 9 9 27 9
395 -9 -9 27 9
396 9 -3 3 9
397 -11 -3 21 7
398 4 -6 6 4
399 0 12 6 6
400 4 -6 -6 8
401 -3 3 -3 9
402 15 9 -27 9
403 6 0 -18 12
404 10 6 -24 4
405 1 3 -15 5
406 -8 6 -6 4
407 -12 -6 -6 12
408 0 12 -30 6
409 -15 3 -15 9
410 -21 -9 -9 9
411 9 -3 -39 3
412 -15 -9 -27 9
413 -8 0 -36 4
414 0 6 -60 6
415 27 -3 -21 3
416 6 12 -12 6
417 19 3 3 5
418 15 3 3 9
419 -11 -3 -21 5
420 15 3 15 9
421 3 3 3 9
422 -27 3 -21 3
423 -3 -3 3 9
424 -27 -3 -21 9
425 6 18 18 6
426 -15 -3 3 9
427 -19 -3 3 5
428 -27 -9 9 9
429 -24 -18 -18 0
430 -18 -18 -18 6
