parent	edge_1	edge_2	edge_3	edge_4	edge_5	edge_6	target_kind	target_index
5	5,16	0,24	32,33	32,36	18,37	35,38	base	49
5	5,16	0,24	32,36	18,37	36,37	35,38	base	32
5	5,16	20,21	0,24	18,37	36,37	35,38	base	81
5	5,16	20,21	0,24	23,29	18,37	35,38	base	224
5	5,16	20,21	0,24	32,33	18,37	35,38	base	125
5	5,16	20,21	0,24	32,36	18,37	35,38	base	227
6	2,3	4,17	1,25	19,34	32,37	35,39	base	157
6	2,3	4,17	1,25	19,34	32,37	38,39	base	158
6	2,3	4,17	1,25	19,34	34,35	32,37	base	105
6	2,3	4,17	1,25	22,28	19,34	32,37	base	160
6	2,3	4,17	20,21	1,25	19,34	32,37	base	184
6	2,3	4,5	20,21	34,38	35,39	38,39	base	166
6	2,3	4,5	4,17	1,25	19,34	32,37	base	134
6	2,3	4,5	5,16	0,24	18,35	33,36	base	134
6	2,3	5,16	0,24	18,35	33,36	34,38	base	157
6	2,3	5,16	0,24	18,35	33,36	38,39	base	158
6	2,3	5,16	0,24	18,35	34,35	33,36	base	105
6	2,3	5,16	0,24	23,29	18,35	33,36	base	160
6	2,3	5,16	20,21	0,24	18,35	33,36	base	184
6	4,17	1,25	19,34	32,37	35,39	38,39	base	51
6	4,17	1,25	19,34	34,35	32,37	35,39	base	36
6	4,17	1,25	19,34	34,35	32,37	38,39	base	219
6	4,17	1,25	22,28	19,34	32,37	35,39	base	35
6	4,17	1,25	22,28	19,34	32,37	38,39	base	50
6	4,17	1,25	22,28	19,34	34,35	32,37	base	119
6	4,17	20,21	1,25	19,34	32,37	35,39	base	123
6	4,17	20,21	1,25	19,34	32,37	38,39	base	124
6	4,17	20,21	1,25	19,34	34,35	32,37	base	82
6	4,17	20,21	1,25	22,28	19,34	32,37	base	228
6	4,5	4,17	1,25	19,34	32,37	35,39	base	47
6	4,5	4,17	1,25	19,34	32,37	38,39	base	30
6	4,5	4,17	1,25	19,34	34,35	32,37	base	43
6	4,5	4,17	1,25	22,28	19,34	32,37	base	60
6	4,5	4,17	20,21	1,25	19,34	32,37	base	63
6	4,5	5,16	0,24	18,35	33,36	34,38	base	47
6	4,5	5,16	0,24	18,35	33,36	38,39	base	30
6	4,5	5,16	0,24	18,35	34,35	33,36	base	43
6	4,5	5,16	0,24	23,29	18,35	33,36	base	60
6	4,5	5,16	20,21	0,24	18,35	33,36	base	63
6	5,16	0,24	18,35	33,36	34,38	38,39	base	51
6	5,16	0,24	18,35	34,35	33,36	34,38	base	36
6	5,16	0,24	18,35	34,35	33,36	38,39	base	219
6	5,16	0,24	23,29	18,35	33,36	34,38	base	35
6	5,16	0,24	23,29	18,35	33,36	38,39	base	50
6	5,16	0,24	23,29	18,35	34,35	33,36	base	119
6	5,16	20,21	0,24	18,35	33,36	34,38	base	123
6	5,16	20,21	0,24	18,35	33,36	38,39	base	124
6	5,16	20,21	0,24	18,35	34,35	33,36	base	82
6	5,16	20,21	0,24	23,29	18,35	33,36	base	228
7	10,21	14,23	19,23	0,32	27,37	31,38	base	27
7	10,21	14,23	19,23	22,23	0,32	31,38	base	26
7	10,21	14,23	19,23	24,25	0,32	31,38	base	57
