parent	edge_1	edge_2	edge_3	edge_4	edge_5	target_kind	target_index
13	4,17	20,24	23,24	3,29	35,38	base	227
13	4,5	6,7	20,21	20,24	21,25	base	10
13	5,16	21,25	22,25	2,28	34,39	base	227
14	0,1	4,5	22,32	23,33	32,33	base	167
14	0,1	4,5	6,7	22,32	23,33	base	94
14	0,1	4,5	6,7	22,32	32,33	base	132
14	0,1	4,5	6,7	23,33	32,33	base	132
14	0,1	6,7	22,32	23,33	32,33	base	79
14	4,17	21,22	3,27	22,32	35,38	base	123
14	4,5	6,7	22,32	23,33	32,33	base	9
14	5,16	20,23	2,26	23,33	34,39	base	123
15	0,1	4,17	3,25	33,36	21,38	base	155
15	0,1	4,5	30,31	30,38	31,39	base	169
15	0,1	4,5	6,7	30,31	30,38	base	89
15	0,1	4,5	6,7	30,31	31,39	base	89
15	0,1	4,5	6,7	30,38	31,39	base	92
15	0,1	5,16	2,24	32,37	20,39	base	155
15	0,1	6,7	30,31	30,38	31,39	base	78
15	4,17	3,25	22,28	33,36	21,38	base	224
15	4,17	3,25	30,31	33,36	21,38	base	125
15	4,17	3,25	33,36	21,38	31,39	base	227
15	4,17	3,25	33,36	21,38	38,39	base	81
15	4,5	4,17	3,25	33,36	21,38	base	53
15	4,5	5,16	2,24	32,37	20,39	base	53
15	4,5	6,7	30,31	30,38	31,39	base	8
15	5,16	2,24	23,29	32,37	20,39	base	224
15	5,16	2,24	30,31	32,37	20,39	base	125
15	5,16	2,24	32,37	20,39	38,39	base	81
15	5,16	2,24	32,37	30,38	20,39	base	227
15	6,7	4,17	3,25	33,36	21,38	base	33
15	6,7	5,16	2,24	32,37	20,39	base	33
16	0,1	4,17	3,25	31,34	21,36	base	184
16	0,1	4,5	36,38	37,39	38,39	base	166
16	0,1	4,5	6,7	36,38	37,39	base	95
16	0,1	4,5	6,7	36,38	38,39	base	132
16	0,1	4,5	6,7	37,39	38,39	base	132
16	0,1	5,16	2,24	30,35	20,37	base	184
16	0,1	6,7	36,38	37,39	38,39	base	77
16	4,17	3,25	22,28	31,34	21,36	base	228
16	4,17	3,25	31,34	21,36	36,37	base	82
16	4,17	3,25	31,34	21,36	37,39	base	123
16	4,17	3,25	31,34	21,36	38,39	base	124
16	4,5	4,17	3,25	31,34	21,36	base	63
16	4,5	5,16	2,24	30,35	20,37	base	63
16	4,5	6,7	36,38	37,39	38,39	base	7
16	5,16	2,24	23,29	30,35	20,37	base	228
16	5,16	2,24	30,35	20,37	36,37	base	82
16	5,16	2,24	30,35	20,37	36,38	base	123
16	5,16	2,24	30,35	20,37	38,39	base	124
16	6,7	4,17	3,25	31,34	21,36	base	61
16	6,7	5,16	2,24	30,35	20,37	base	61
17	0,1	14,15	22,23	14,24	15,25	base	129
17	0,1	6,7	14,15	14,24	15,25	base	94
17	0,1	6,7	14,15	22,23	14,24	base	85
17	0,1	6,7	14,15	22,23	15,25	base	85
17	0,1	6,7	22,23	14,24	15,25	base	79
17	16,23	15,25	20,25	2,30	32,35	base	57
17	17,22	14,24	21,24	3,31	33,34	base	57
17	6,7	14,15	22,23	14,24	15,25	base	6
18	0,1	20,21	22,28	23,29	28,29	base	128
18	0,1	6,7	20,21	22,28	23,29	base	80
18	0,1	6,7	20,21	22,28	28,29	base	86
18	0,1	6,7	20,21	23,29	28,29	base	86
18	0,1	6,7	22,28	23,29	28,29	base	93
18	14,21	18,23	23,29	2,30	32,35	base	59
18	15,20	19,22	22,28	3,31	33,34	base	59
18	6,7	20,21	22,28	23,29	28,29	base	5
19	0,1	14,21	2,28	30,33	18,39	base	70
19	0,1	15,20	3,29	31,32	19,38	base	70
19	0,1	20,21	26,27	26,38	27,39	base	127
19	0,1	6,7	20,21	26,27	26,38	base	85
19	0,1	6,7	20,21	26,27	27,39	base	85
19	0,1	6,7	20,21	26,38	27,39	base	77
19	0,1	6,7	26,27	26,38	27,39	base	95
19	14,21	2,28	30,33	18,39	38,39	base	76
19	14,21	2,28	30,33	23,35	18,39	base	52
19	14,21	2,28	30,33	26,38	18,39	base	57
19	14,21	20,21	2,28	30,33	18,39	base	124
19	14,21	26,27	2,28	30,33	18,39	base	63
19	15,20	20,21	3,29	31,32	19,38	base	124
19	15,20	26,27	3,29	31,32	19,38	base	63
19	15,20	3,29	31,32	19,38	27,39	base	57
19	15,20	3,29	31,32	19,38	38,39	base	76
19	15,20	3,29	31,32	22,34	19,38	base	52
19	6,7	14,21	2,28	30,33	18,39	base	30
19	6,7	15,20	3,29	31,32	19,38	base	30
19	6,7	20,21	26,27	26,38	27,39	base	4
20	0,1	14,21	2,26	28,31	18,37	base	66
20	0,1	15,20	3,27	29,30	19,36	base	66
20	0,1	20,21	36,38	37,39	38,39	base	126
20	0,1	6,7	20,21	36,38	37,39	base	78
20	0,1	6,7	20,21	36,38	38,39	base	86
20	0,1	6,7	20,21	37,39	38,39	base	86
20	0,1	6,7	36,38	37,39	38,39	base	92
20	14,21	2,26	28,31	18,37	36,37	base	75
20	14,21	2,26	28,31	18,37	36,38	base	59
20	14,21	2,26	28,31	18,37	38,39	base	53
20	14,21	2,26	28,31	23,33	18,37	base	62
20	14,21	20,21	2,26	28,31	18,37	base	125
20	15,20	20,21	3,27	29,30	19,36	base	125
20	15,20	3,27	29,30	19,36	36,37	base	75
20	15,20	3,27	29,30	19,36	37,39	base	59
20	15,20	3,27	29,30	19,36	38,39	base	53
20	15,20	3,27	29,30	22,32	19,36	base	62
20	6,7	14,21	2,26	28,31	18,37	base	44
20	6,7	15,20	3,27	29,30	19,36	base	44
20	6,7	20,21	36,38	37,39	38,39	base	3
21	0,3	20,21	22,23	20,36	36,37	base	131
21	0,3	4,5	20,21	20,36	36,37	base	89
21	0,3	4,5	20,21	22,23	20,36	base	168
21	0,3	4,5	20,21	22,23	36,37	base	118
21	0,3	4,5	22,23	20,36	36,37	base	169
21	0,3	5,14	1,27	19,37	35,38	base	156
21	4,17	18,21	20,21	2,26	33,39	base	33
21	4,5	20,21	22,23	20,36	36,37	base	11
21	4,5	5,14	1,27	19,37	35,38	base	28
21	5,14	1,27	19,37	21,37	35,38	base	32
21	5,14	1,27	20,36	19,37	35,38	base	49
21	5,14	1,27	24,30	19,37	35,38	base	38
21	5,14	20,21	1,27	19,37	35,38	base	33
21	5,14	22,23	1,27	19,37	35,38	base	227
22	0,3	21,22	20,33	33,39	36,39	base	130
22	0,3	4,5	20,33	33,39	36,39	base	132
22	0,3	4,5	21,22	20,33	33,39	base	167
22	0,3	4,5	21,22	20,33	36,39	base	187
22	0,3	4,5	21,22	33,39	36,39	base	166
22	0,3	5,14	1,26	19,36	35,37	base	157
22	4,17	18,20	2,25	20,33	32,38	base	61
22	4,5	21,22	20,33	33,39	36,39	base	24
22	4,5	5,14	1,26	19,36	35,37	base	47
22	5,14	1,26	19,36	20,36	35,37	base	36
22	5,14	1,26	19,36	35,37	33,39	base	51
22	5,14	1,26	20,33	19,36	35,37	base	61
22	5,14	1,26	23,29	19,36	35,37	base	35
22	5,14	21,22	1,26	19,36	35,37	base	123
23	0,1	6,7	14,15	30,31	32,33	complement	311
23	0,1	6,7	8,9	14,15	30,31	complement	299
23	0,1	6,7	8,9	14,15	32,33	complement	233
23	0,1	6,7	8,9	30,31	32,33	complement	319
23	0,1	7,14	6,15	30,31	32,33	complement	317
23	0,1	8,9	14,15	30,31	32,33	complement	308
23	0,1	8,9	6,15	30,31	32,33	complement	258
23	0,1	8,9	7,14	30,31	32,33	complement	258
23	0,1	8,9	7,14	6,15	30,31	complement	303
23	0,1	8,9	7,14	6,15	32,33	complement	241
23	6,15	4,25	22,27	11,34	9,40	complement	100
23	6,7	8,9	14,15	30,31	32,33	complement	306
23	7,14	5,24	23,26	10,35	8,41	complement	100
23	8,9	7,14	6,15	30,31	32,33	complement	314
24	0,1	16,21	3,29	32,35	17,39	base	71
24	0,1	21,22	15,25	15,28	28,39	base	131
24	0,1	4,7	15,25	15,28	28,39	base	89
24	0,1	4,7	21,22	15,25	15,28	base	80
24	0,1	4,7	21,22	15,25	28,39	base	86
24	0,1	4,7	21,22	15,28	28,39	base	78
24	14,22	15,25	18,25	2,30	31,38	base	53
24	16,21	15,25	3,29	32,35	17,39	base	53
24	16,21	15,28	3,29	32,35	17,39	base	59
24	16,21	21,22	3,29	32,35	17,39	base	227
24	16,21	3,29	32,35	17,39	25,39	base	56
24	16,21	3,29	32,35	24,36	17,39	base	55
24	4,7	16,21	3,29	32,35	17,39	base	28
24	4,7	21,22	15,25	15,28	28,39	base	22
25	0,2	17,29	17,37	35,37	36,40	base	134
25	0,2	17,29	21,34	17,37	35,37	base	160
25	0,2	17,29	21,34	17,37	36,40	base	105
25	0,2	17,29	21,34	35,37	36,40	base	157
25	0,2	18,22	17,29	17,37	35,37	base	96
25	0,2	18,22	17,29	17,37	36,40	base	67
25	0,2	18,22	17,29	21,34	17,37	base	179
25	0,2	18,22	17,29	21,34	35,37	base	115
25	0,2	18,22	17,29	21,34	36,40	base	185
25	0,2	18,22	17,29	35,37	36,40	base	68
25	0,2	18,22	17,37	35,37	36,40	base	70
25	0,2	18,22	21,34	17,37	35,37	base	181
25	0,2	18,22	21,34	17,37	36,40	base	99
25	0,2	18,22	21,34	35,37	36,40	base	113
25	0,2	21,34	17,37	35,37	36,40	base	158
25	17,29	21,34	17,37	35,37	36,40	base	61
25	18,22	17,29	17,37	35,37	36,40	base	63
25	18,22	17,29	21,34	17,37	35,37	base	228
25	18,22	17,29	21,34	17,37	36,40	base	82
25	18,22	17,29	21,34	35,37	36,40	base	123
25	18,22	21,34	17,37	35,37	36,40	base	124
26	0,2	17,30	21,35	17,38	37,38	base	159
26	0,2	17,30	21,35	22,36	17,38	base	100
26	0,2	17,30	21,35	22,36	37,38	base	161
26	0,2	17,30	22,36	17,38	37,38	base	133
26	0,2	18,23	17,30	17,38	37,38	base	66
26	0,2	18,23	17,30	21,35	17,38	base	180
26	0,2	18,23	17,30	21,35	22,36	base	117
26	0,2	18,23	17,30	21,35	37,38	base	154
26	0,2	18,23	17,30	22,36	17,38	base	97
26	0,2	18,23	17,30	22,36	37,38	base	106
26	0,2	18,23	21,35	17,38	37,38	base	155
26	0,2	18,23	21,35	22,36	17,38	base	98
26	0,2	18,23	21,35	22,36	37,38	base	114
26	0,2	18,23	22,36	17,38	37,38	base	110
26	0,2	21,35	22,36	17,38	37,38	base	162
26	10,20	31,35	3,37	37,38	13,40	base	1
26	17,30	21,35	22,36	17,38	37,38	base	31
26	18,23	17,30	21,35	17,38	37,38	base	125
26	18,23	17,30	21,35	22,36	17,38	base	84
26	18,23	17,30	21,35	22,36	37,38	base	223
26	18,23	17,30	22,36	17,38	37,38	base	62
26	18,23	21,35	22,36	17,38	37,38	base	224
27	0,2	17,23	17,31	22,36	37,40	base	159
27	0,2	17,23	18,24	17,31	22,36	base	116
27	0,2	17,23	18,24	17,31	37,40	base	66
27	0,2	17,23	18,24	22,36	37,40	base	155
27	0,2	17,23	20,23	17,31	22,36	base	100
27	0,2	17,23	20,23	17,31	37,40	base	90
27	0,2	17,23	20,23	18,24	17,31	base	97
27	0,2	17,23	20,23	18,24	22,36	base	98
27	0,2	17,23	20,23	18,24	37,40	base	109
27	0,2	17,23	20,23	22,36	37,40	base	101
27	0,2	18,24	17,31	22,36	37,40	base	154
27	0,2	20,23	17,31	22,36	37,40	base	102
27	0,2	20,23	18,24	17,31	22,36	base	117
27	0,2	20,23	18,24	17,31	37,40	base	69
27	0,2	20,23	18,24	22,36	37,40	base	182
27	17,23	18,24	17,31	22,36	37,40	base	125
27	17,23	20,23	17,31	22,36	37,40	base	120
27	17,23	20,23	18,24	17,31	22,36	base	84
27	17,23	20,23	18,24	17,31	37,40	base	75
27	17,23	20,23	18,24	22,36	37,40	base	81
27	20,23	18,24	17,31	22,36	37,40	base	122
27	3,20	10,21	32,36	13,39	37,40	base	1
28	0,2	17,24	17,32	22,37	23,38	base	160
28	0,2	17,24	18,25	17,32	22,37	base	184
28	0,2	17,24	18,25	17,32	23,38	base	96
28	0,2	17,24	18,25	22,37	23,38	base	181
28	0,2	17,24	20,24	17,32	22,37	base	105
28	0,2	17,24	20,24	17,32	23,38	complement	40
28	0,2	17,24	20,24	18,25	17,32	base	67
28	0,2	17,24	20,24	18,25	22,37	base	99
28	0,2	17,24	20,24	18,25	23,38	base	108
28	0,2	17,24	20,24	22,37	23,38	base	103
28	0,2	18,25	17,32	22,37	23,38	base	115
28	0,2	20,24	17,32	22,37	23,38	base	164
28	0,2	20,24	18,25	17,32	22,37	base	185
28	0,2	20,24	18,25	17,32	23,38	base	107
28	0,2	20,24	18,25	22,37	23,38	base	183
28	0,2	3,20	10,21	33,37	13,40	base	132
28	17,24	18,25	17,32	22,37	23,38	base	228
28	17,24	20,24	17,32	22,37	23,38	base	119
28	17,24	20,24	18,25	17,32	22,37	base	82
28	17,24	20,24	18,25	17,32	23,38	base	74
28	17,24	20,24	18,25	22,37	23,38	base	83
28	20,24	18,25	17,32	22,37	23,38	base	222
28	3,20	10,21	17,24	33,37	13,40	base	9
28	3,20	10,21	17,32	33,37	13,40	base	2
28	3,20	10,21	18,25	33,37	13,40	base	24
28	3,20	10,21	20,32	33,37	13,40	base	7
28	3,20	10,21	22,37	33,37	13,40	base	21
29	0,2	17,22	19,37	35,37	36,40	base	72
29	0,2	17,22	21,34	19,37	35,37	base	183
29	0,2	17,22	21,34	19,37	36,40	base	99
29	0,2	17,22	21,34	29,35	19,37	base	179
29	0,2	17,22	21,34	29,35	35,37	base	115
29	0,2	17,22	21,34	29,35	36,40	base	184
29	0,2	17,22	21,34	35,37	36,40	base	113
29	0,2	17,22	29,35	19,37	35,37	base	107
29	0,2	17,22	29,35	19,37	36,40	base	67
29	0,2	17,22	29,35	35,37	36,40	base	68
29	0,2	21,34	19,37	35,37	36,40	base	104
29	0,2	21,34	29,35	19,37	35,37	base	164
29	0,2	21,34	29,35	19,37	36,40	base	105
29	0,2	21,34	29,35	35,37	36,40	base	157
29	0,2	29,35	19,37	35,37	36,40	base	88
29	12,21	25,28	1,31	21,34	15,37	base	286
29	17,22	21,34	19,37	35,37	36,40	base	226
29	17,22	21,34	29,35	19,37	35,37	base	222
29	17,22	21,34	29,35	19,37	36,40	base	82
29	17,22	21,34	29,35	35,37	36,40	base	123
29	17,22	29,35	19,37	35,37	36,40	base	65
29	21,34	29,35	19,37	35,37	36,40	base	36
29	3,19	10,20	30,34	13,39	36,40	base	9
30	0,2	17,23	21,35	19,38	37,38	base	182
30	0,2	17,23	21,35	22,36	19,38	base	98
30	0,2	17,23	21,35	22,36	30,37	base	116
30	0,2	17,23	21,35	22,36	37,38	base	114
30	0,2	17,23	21,35	30,37	19,38	base	180
30	0,2	17,23	21,35	30,37	37,38	base	154
30	0,2	17,23	22,36	19,38	37,38	base	112
30	0,2	17,23	22,36	30,37	19,38	base	97
30	0,2	17,23	22,36	30,37	37,38	base	106
30	0,2	17,23	30,37	19,38	37,38	base	69
30	0,2	21,35	22,36	19,38	37,38	base	165
30	0,2	21,35	22,36	30,37	19,38	base	100
30	0,2	21,35	22,36	30,37	37,38	base	161
30	0,2	21,35	30,37	19,38	37,38	base	102
