orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
200,22565,0,323,10067,22565,0,0,323,10067,0
201,17904,0,367,9087,17904,0,0,367,9087,0
202,34923,0,632,15724,34923,0,0,632,15724,0
203,9974,0,463,8366,9974,0,0,463,8366,0
204,23753,0,626,13811,23753,0,0,626,13811,0
205,27077,0,461,12655,27077,0,0,461,12655,0
206,29080,0,448,12168,29080,0,0,448,12168,0
207,42039,0,744,19449,42039,0,0,744,19449,0
208,11661,0,295,6710,11661,0,0,295,6710,0
209,7075,0,232,4979,7075,0,0,232,4979,0
210,6947,0,261,5367,6947,0,0,261,5367,0
211,21436,0,320,8854,21436,0,0,320,8854,0
212,19482,0,290,8153,19482,0,0,290,8153,0
213,29930,0,358,11727,29930,0,0,358,11727,0
214,11891,0,280,6544,11891,0,0,280,6544,0
215,16429,0,315,7930,16429,0,0,315,7930,0
216,10844,0,160,4770,10844,0,0,160,4770,0
217,13622,0,363,8045,13622,0,0,363,8045,0
218,14339,0,272,7302,14339,0,0,272,7302,0
219,3080,0,78,1933,3080,0,0,78,1933,0
220,2031,0,80,1796,2031,0,0,80,1796,0
221,5030,0,141,3339,5030,0,0,141,3339,0
222,1672,0,50,1337,1672,0,0,50,1337,0
223,13162,0,229,6878,13162,0,0,229,6878,0
224,13754,0,259,7180,13754,0,0,259,7180,0
225,17300,0,186,7000,17300,0,0,186,7000,0
226,5308,0,163,3637,5308,0,0,163,3637,0
227,24195,0,227,8755,24195,0,0,227,8755,0
228,5497,0,98,2956,5497,0,0,98,2956,0
229,11688,0,231,6307,11688,0,0,231,6307,0
230,5075,0,146,3460,5075,0,0,146,3460,0
231,13115,0,380,7851,13115,0,0,380,7851,0
232,15766,0,306,8975,15766,0,0,306,8975,0
233,30298,0,260,9969,30298,0,0,260,9969,0
234,27429,0,354,10561,27429,0,0,354,10561,0
235,16706,0,235,7551,16706,0,0,235,7551,0
236,4168,0,183,3514,4168,0,0,183,3514,0
237,6657,0,187,4227,6657,0,0,187,4227,0
238,6491,0,128,3743,6491,0,0,128,3743,0
239,17266,0,403,9673,17266,0,0,403,9673,0
240,4378,0,121,2730,4378,0,0,121,2730,0
241,11805,0,162,5012,11805,0,0,162,5012,0
242,3864,0,114,2688,3864,0,0,114,2688,0
243,7652,0,126,3767,7652,0,0,126,3767,0
244,2292,0,71,1750,2292,0,0,71,1750,0
245,32645,0,346,12340,32645,0,0,346,12340,0
246,5102,0,106,3116,5102,0,0,106,3116,0
247,15347,0,230,6459,15347,0,0,230,6459,0
248,3270,0,74,2034,3270,0,0,74,2034,0
249,1409,0,53,1201,1409,0,0,53,1201,0
250,19800,0,281,8965,19800,0,0,281,8965,0
251,9756,0,197,5464,9756,0,0,197,5464,0
252,18259,0,231,7472,18259,0,0,231,7472,0
253,15931,0,199,6580,15931,0,0,199,6580,0
254,19159,0,118,5339,19159,0,0,118,5339,0
255,8468,0,256,5817,8468,0,0,256,5817,0
256,2175,0,58,1579,2175,0,0,58,1579,0
257,4489,0,115,2918,4489,0,0,115,2918,0
258,9877,0,143,4741,9877,0,0,143,4741,0
259,9737,0,132,3922,9737,0,0,132,3922,0
260,8958,0,138,4322,8958,0,0,138,4322,0
261,8076,0,193,5156,8076,0,0,193,5156,0
262,5190,0,87,2644,5190,0,0,87,2644,0
263,1488,0,45,1112,1488,0,0,45,1112,0
264,7855,0,102,3875,7855,0,0,102,3875,0
265,14418,0,151,5417,14418,0,0,151,5417,0
266,14016,0,102,4841,14016,0,0,102,4841,0
267,10854,0,138,4300,10854,0,0,138,4300,0
268,5507,0,138,3847,5507,0,0,138,3847,0
269,8790,0,145,4183,8790,0,0,145,4183,0
270,9929,0,155,4474,9929,0,0,155,4474,0
271,5237,0,106,3176,5237,0,0,106,3176,0
272,7821,0,111,3298,7821,0,0,111,3298,0
273,31581,0,188,8422,31581,0,0,188,8422,0
274,9364,0,90,3597,9364,0,0,90,3597,0
275,20466,0,186,6848,20466,0,0,186,6848,0
276,2680,0,55,1648,2680,0,0,55,1648,0
277,6538,0,119,3560,6538,0,0,119,3560,0
