index,cnf_sha256,proof_sha256,proof_bytes
55,b9d8b9f49e5fdc97b4c1e04909f5e937b44269b745026de9c372a6e5190b48e0,2e612d1c4cd9f97bed1fe3eed8c267f068357293d2ed08d01d32e2a4e76d21f7,190147
56,6dec3d78a9ede2f3a94d797f70cb04eea236c9748412ed74b68134a69d8b3852,38188444aa931687eb3329ce604972918caa1b476eb3451e68376f5cfe1e8350,66608
57,d53d44086192beb9117b68da5af44d13750c6780beadc38319d9c7ac180f647e,de458fe0dfa04aaf0670a0eb70e3a5f50504a05c866cdce6dc771b6dbbb188e5,72302
58,7d0ffb58550dc36465a0295ddcef96be16562b58176e22e7b9a24d5d364f6841,6669d6fd65f9a6f98a504e383f032608df1219de98e03ac08db93f36ae2c66df,101538
59,0065b693e0f1118207c9a0c3a32b70074c9a9aabc220fc0e449e6361d7e6d903,96b859f80796db966cddfbe8abaa928e760e3407e17ce56b19363ebb3e5a57f8,95769
60,0d0dbe7c727b63d54524937107d3b0347fd7fea2203c018e56b77fafcd0a824c,bf0d219afb352a85b6f037514048fcb6a26187808efdcf188285dbb9836ee23f,90453
61,9cda47b9c5b918de4dc0f9492b1abb8c6f97d53a0ca3d1fd3b58835400da8630,cb56fe3ad7e40af6df23e5afd0468ba1ff4343ef57db693083ba3106ec650b01,99353
62,54d71558d0f95462c1a0d7aec56b98ac16facf02e4923ee6cc7faba676cd0a2b,8f6c5df4a0ffc094911cc1c9ed1f72db177367088f8d5e3da1e009a662ced6c3,147387
63,091b1d86290f0d891bf7a159318d7a5a4c663c5ca9e71a5043c54116e1f1a546,b54e760a6765e135566727ce49f3142e41c83f229624242b5c96c740b13f3705,91724
64,01c68ec5c262f61786de877c8f88e2855ae180f50b36dc8207cc11a10a3744e3,5eae6fc7887fd0ebcc3ed3e25adb0bbb7c57fe4d625487e61a379285781880e7,102742
65,5f9e81c877867f8c81c67d0f7d6818abd5d89c3b0bc3553f289c62ea09076c29,289d21130cd0ef63eb9b50d6dc39f67dbe40f58833599220b517cc7523affec6,106922
66,254f150d4b87e10fa30ac898b1353586813fba91572d29439ad303db05acc0a3,1411d66c2894ab8de8956253dcc93e98a56f419e22eb9136ec7e554db38afc6d,167638
67,eb6123aa7ceb12e7159125964461ac53dab8307ba6a87974d9ce30da34ca6bf1,4264b850aea0b06b3a3a6129a6d56bffd8dc42ecb5547cb149889523186142b4,109301
68,2d0dc0f2e5567079df4bf7f65110e3f26665e311df637d519ca4547ae77ef21e,730c475db9f2b6b0df3c6d9d30a3f19904f68f859c0587c39aa50a44b4b88e74,105770
69,b348ccd314b67d2d6242dcdfe9624e6f7b2d5a667c09e504e4f70a4740e62e85,c8ec89e00162c7993a816746337670208376623560359febac83c3793fd07f69,213641
70,44265a8bd4e2386a4a30098069c6d008d4ad240a23148db2a82e38553a36c269,d8a54ce158abddc724ddd534b8cd193a024ef54d15f9a318659d92a7c2e9c44e,218511
71,e7d44f13d2fa5acc4029ad94a0772eddc5402f404636309db83bae9313b25831,fd7503ec098221cf59ac2efe3a2d2285c9b30aada6edd9355071fed28da3a7f8,38022
72,35672c71be879d3eefc400f3079a400506c0a7f2ebb46f3c15c9c5b4cc752c4a,012015526284d7941429838676cee7a5353ec27e38c21ce0ce359bfac4f5cc69,313975
73,9a3f100d96278c9cc8841641263702e751ffcfdde10d5f79eac696cd46be6559,c66f14de22a8495dbc494df8da71c515ee6cff816effa61fa5a95b6831dae0c8,68928
74,c4ff98438cda3b8b30a890216b4b454aa17ac994aada8888ab54cd830a8d81b1,8e9f1511f0115eb03af4898a1a99b99ad29e8c2f52d341319b7bda612cc10bcc,152994
75,cb870dceb538e748b970f0d7aa27ccc727a297aa441cca3292139feaf20eecfc,d69ea001a84565bf6303f87e8d511f043ba3552f8ba775fad933d55da2d94696,62645
76,0dada7dd254a524de795bc88874e13336dd341cb3cc8fcea6fdee8fe45e768ca,5b450c736a1e9ee70f28e10d635d7c7373f83503f09afb5e5771ef4b3f1e5e9b,150018
77,39a2e15d1106f4b66b836fb2f27246a3bc4fba7ff398475b720f74dfc0f098da,29ee10ade8df8121f675d28116a515299002ca7391738e8dfe8d1bce649e53fc,53448
78,f4ec2c7b219f4cc6122449a38a854be0c9a5dbf33d24286d22baee44b5f467c4,d6f5b5380e943446528a6128f0fe4320c4658ea35c51113d02894d196384999b,63374
79,2fd1bf204e4aa24387cad37d0c65eb6643e1dd9fe9ec88086e803238d6d18813,0f59c87f1b7dbebfc24b06e6d4aa09fd2b8177303998f7485da5d880b2ec9f00,220837
80,a336962ac88a7ad59c86d93ae469cff3194396033ce0ee807e777f56f50c9767,8f07256d66ec0b6efaac820015762a3fb9b197a6e5bc123bfb333708d8abb3a1,197429
81,e1feb332912719a5bede5de0fd8fb761c2146cfad62fee2bb5c84ac51d461d59,b918d1b18e49904aed9348dc4090b5298b5d65072a49fe6af723892d8ae07d00,280024
82,5ac5a85703a5db932d0bbd9cd1dce20fcd658993f2bf231840954f1cb499a520,a2d39fa94c1ec51c051e8164dcb260fa6cc4782d03f22f6fc5f06500f8ef25d4,210794
83,a7dccba13e51c5340a74fa06dce5158b7b2a8160ef38f62a488b35d0c803015e,540f9cfba6edcab2efb08834c11e5b3ad128c92afd25cbb226a898cb5303fc0c,88560
84,7e1febba7d4cafb9c990a47c6009e61eee24fe0255691b490d994f45cf646279,4149775fc27ba8dce3d0b7e0a13d3f45e5306cb971cb59e331f2e189aae8d3fd,304554
85,843fa6b92b7b582a10adf9b7681305e09444e0f09b541a491e043997a58e6d54,b8c3131c907de88ca264204f62347d6ecf89ba94b89a6b09da1562c884ecc8ea,234926
86,3ce944b3b2f696c9fe270071ca722e26253d1fa2f0f1ee285a33368e196195b9,7016aa7c4e28f762b321e9feffafe903ce140aa5d9d19b2fa4ef8adf430b1854,687503
87,2c450326f93d90a4c7ad162d6de16c5128b3db88b6e982a4050c0dde2c94017c,50257b16f6fe1917613ca44bae34333489da976b1e4051fe920e6bd4ae29fad7,140818
88,302d50836bf8a32100b1ce679663702a9b918f87e0daa7aa5223966af9ab9610,8ae9024072b353020739ca6173cbed8a6f6fc32e54b53c41155f3022b620221d,665936
89,200baa70db9a781ef4d3505a7a4ad0ae467c8df63c03e6ddbfc1a7efeb394e5c,3e676ef65c7611ac060e2c22d1b7a7f97df153989bed95eaa6085f40b60c17eb,163274
90,971767e178fca6409953a919a9c012dc826eff95f286404466f0811bca4729ff,1dbef4bcd945737ac206c04bee3cb9f46965d1bf28f67cc5de2e37bf64e201db,94410
91,5cc968a674c73214c914033fc2ef92d6e38ef4151f1b775666da38849e0ee164,916b909ca6146be66d5a875c2891336572b43135f6ac243c816ecc87b4fa2d1f,95154
92,3d1a6d351cad1ee87af32aad2850f6ddb8a906042648b590b5345334d8b6eb13,8d6c598589626a32ac7f6bde83cd5cc5e98a9fa8d3cec8f67c2e7fb0e2736303,95071
93,492d44c55e1dbf3a30fce26f210ae4109a6bd83e36978d6a87e33ae8838c7879,a0547c919694024db748ba7b7834deac8407e74910e1838f5938377fe3a84533,217630
94,c8b72f522cff1e9c2e53dabdcde9e6a74bff3b7dc92d8d1ef66d4c889d28c9bf,e0b3b274342ae6ab838bf9eb222708330a45cb73f8a529b7ab8c33535f388354,75849
95,3a6c27da7cae3a10603b649a0f3c5772be217927a64a94fe2b4dc118913d2ed1,9ee8657d6e1bd98ba3c5eb00e790d79e9efb09ef0381bf45cd5bb79a570cdded,71583
96,31e9fdbf0da146797c30e7138cc977f4991d79172dc1c17b043807aed5dddf1b,f7a4dec9c5576e5ad68a545f3f3809fe68e531a77ced3ec318dd6004410c2db5,103973
97,fd7b3e0e37cc6aba389df3ff8fd9aeadf1bcca7df5bc8fe318ed0fe566bb3efb,cb312d2d23e9463455683c5674ea707d6253142c1d9f3de8d5cce17fba0c616a,183177
98,c950040b69bb3c082fd6a82340400ba338dab663abb70fb63e7306dd73f8b8a3,e05d37344951207fc3282fb9affea37a9c7c233a7c01f762d2820276c296d666,174667
99,ddce5bcfe79680ab475dad8dadbbf6613510c23fb4b459238be056483143a0e2,59b972ea78535b2b38f0fb2c4a0dbf2129d9d7d6ba614cce4b885c71ea8cd310,295037
100,1fea7615e53f6b088d5d38523c5d9af3e3fefcc7cc4cbcb3b08c47c825d8468c,c42398f11c53f4d4c896b4966bf87a30f1aebf9067ad8fdd4ee3c1e074a5e126,119360
101,351f5c14a302f5816f5eea59d22d736f1c506135c9a6459d19fd40b9dbf2b0fd,e632fbc7ebba27e9ce7fab28ca9d324d2647ca37518a6302e370bc0571efff13,103942
102,cd83cd0fc39e55e5cf46bdf767701d3525bf44272dd20474c7a3361b3209d132,fa4e0c77a29e5c7bdbb4d0d40df14eb4cf7232ca73d3c122a70a154831f254af,101846
103,b2c7948c46204d9dcc9bc19de0ede2e0b29dd39ee3cb3ee07e3244325ea17686,d4c357b2bc3d7273302566c3eedc115830178af2895033ff7d8bfa13601eea2c,155678
104,806b3fafdaeaa5b4a22f29f8a7b4db2e599b0200da10a848e0a7ed0cb1e1a29c,89545ac1b34e75c1e89f83eba214d9a58ffe92805f7e7f3f2337b2396ad26faa,254884
105,fdca1287ead02d55efc24363469e7fcdfafe3b0863b9d7bdb2e63c3b817dd9ee,9281cb437f95f4755054a360b3192754820bf2f9ba13d4d5a2a13636f28caf70,69884
106,e819a44da845bac3667f730ef77bebc796a90bae6f7c59817d0af1360c8541c5,2773f86581a5c549066b8d80bd7fcc86bc65033bab40108249e52ee9baf1da5e,79018
107,322b3e9e86b4734aa925853be53c5dda27a1f584b6e0aac9d8ec30b8b1b681ad,75c9b57a3cd6665574f7ebd602971d0ba505399c6dd49c66921c62dc8f5c75b3,80095
108,395b0fb025467ba40d8281c870d20fde51254dc9b1440f5ae40046ba7b54f1fa,acdfe03ec2a21713c89572f50ed8f84924edd16a5c1151c5c26ed80e19ea26ee,110946
109,d7c62e3d00f8cd4c693675233313912da472267b5495700e480f3a1bfd5c85df,1c2e5f78bb3c8f73465e30524f865d22e0cbcb1eb912b2ecd6f199f5e0dc2854,62192
110,b539b46f59ab6a549b85254d29f69a9c3da14eda4960026def644ee76f6ef11f,2a7f613cf9c63e85a4da0c98c5aaaa47b6128dc2348f820d7669fe7ca735de72,91068
111,b08229a7ca221cb3bf57f2e02a558e5b00e5538f9b19ec94058165af6ab0df1a,60327ba22bac2fd7de47d57a8340d3ef5f250fca6c6d3eb611ab96e3a3626974,59158
