formula	cnf_sha256	proof_bytes	proof_sha256	core_clauses	core_lemmas	total_lemmas	resolution_steps
branch52-d23-center99	3571a124938bd6c413447e5bca56c5c8b23f3d7239c1ab2a5f79570412b1f401	10168640	7a499c2d4cb0d4a93d9cf9d854c5933573a1b600c7e1605824983f13887543a3	2922	30310	96298	1323309
branch52-d23-center101	ecdee97709bbb1b4eddaf59b7136668dbe79567c4c22d59de5747ddf3197ad83	9027151	a220dd49ea6dbbd38f23112a85e60763370b5b7040fe0eea73af7fc78844d1c4	2599	24696	89636	1092318
branch52-d23-center111	6b3c9f850d8a0f7ef1abe6eb0bd47898d89ccbbd7bd194259d60d0cfb5f386b8	10883530	dc50dc7536e9fb502f9436973ebc063e258d8a4108f781e378b801b83843174b	2871	28270	106958	1207505
branch52-d23-center113	47b838f302a0797625dd0f2101562519e3ef8ece7019dfe07bc8beee6b721e28	33857693	97b12ddb96a760d414282f5fc768ee653ce6f36f326b0bd14c423ba7ec55d3f3	3356	139654	301321	5596726
branch52-d23-center119	7ab2fa93a89fedb26436fddaa08118622fa4b48159416f73333f20ea2924ff8f	9957535	9c4a61855e84c75230de09cfb93aed26363c4250dd6dcbb25484ed78e9ecfda1	2700	25450	100161	1049866
branch52-d23-center125	54fb731871c64212b01b0f25876848c1ca2c914bbca81f9d8bd60998e5a4b9ab	8065960	9c8515d93b147d22ebfc371295351f550924691887c6c8dde78b514ec13cc496	2597	18800	80497	830838
branch52-d23-center126	2929a848a907f8dc7cf72f99ac84b9cc41a166841461b05d8c31100005d9829b	11814113	8f463f5551431ba1da95f0ae27cdf01db11c4e2e8045e89126a752754032a45e	2934	41386	120595	1729359
branch52-d23-center127	74ddaebf8e988bdb7c0ca882b24140cbd950b5e5cf38f7175a5cfd3e49448e4e	8610385	d57384ab7acb42b423130ce86fe6768989a1cf19e20e4be8294a6a740e8b4c00	2525	20585	86259	957666
branch57-d23-center15	af33c170019f28e76b9a3e62a899c58a801bf808f746e409716e760e392baae3	11026722	6350ea4775722dfacb0c73654f3bf6603e8e5d18008436b3b6dc0f83c9a45372	2673	30388	106433	1349255
branch57-d23-center28	dd7dc380b8cc6b29fdb25a12b0325e8b2cba5c80292a1d18dd40f99e85ab2592	54109343	026efed3c177712a523d472a6beb287f7f6b9c0874a647b7a74f46069b79a356	3579	243863	463967	10335037
branch57-d23-center39	ed269f606910c936f9a53a82bc927896880e6b9513166ab284781d47fd0e1e41	8961473	5d737b5b5f2682b1fb59361e5f9a8b2a17eed7acb2cdd37a886b2a9bc92ff67d	2670	23011	87981	1096804
branch57-d23-center53	d7d452351462f04e4ffa2ee8829a5232feba770e83785ffd9c26651d20a582e5	9876622	5fe2d018f72f7f6230bc1fd8b88c8d982025ca1cdd8bc07e19ae4d0cc0f36bfd	2763	26082	103050	1167954
branch57-d23-center63	a848742e47a5c795c5ed0e329a06f4cb62d83b6943223f2e63d88a4b63af73dd	11227966	eec5dfdccd2a52e62f1d5e51dfee578e9e596665526004504a3c418bab497911	2991	35760	118678	1611153
branch57-d23-center101	d6cf74c6a839c9a658901332814a6e47907ce321f74a34fbbe08710f5f5646ba	10133197	a54ee986f55d111ca4aa2ce40170b3cf02be098b48b935eb805dd4233f87acab	2652	24064	104694	1005238
branch57-d23-center111	7e23735f1cddb85ed02c9087800e76c50185e5eb6eaa80c84565040b8018d20f	14410851	83955d603efbd7f20843155cc4a402fd765e96e760de66cd639821509320a794	2897	49841	145808	2137287
branch57-d23-center113	11ce62d95a271c4dbb794fd8328273b11d56842cb0700c965eedeb9d18708836	38569026	48ce80e49522ad163f16a4994a34c615b786739992f95d21e8bd1cfee4dc3b1c	3331	180386	359591	7427118
branch57-d23-center119	0fd5f7eee57f9c9c40a4005f1bdc7b0504890daa8cc739ccffd137df8d3ea705	9999728	4a51db1c7ad15e1f09a407d2dcde5c1e1035ff5d3b8db37e6d9efdec343399c1	2672	23895	110021	896010
branch57-d23-center125	8c4fe8f503eb9ab24de20bb6838c6cdda0a794f09f03268787f5bb85de676f9a	7552587	10fc8d126ac9684cdb91703f516c65fbd3354f391b7443ea4d667b6a0a16b0a8	2642	19457	84358	800516
branch57-d23-center126	bd8ec134034c863cfac9fcb9ef724086c527011d62eb28d7854794fd94877d9c	13202760	792f32c30e25b41250ed407f633e20f706b4cb8067092d90d77b63ca0e8f0084	3049	46997	139962	1999682
branch57-d23-center127	9df58069516acf3fc01967c3633da9ce98bfa15f2c7d8134c68e29dc7cdae329	8404947	96abcf5a11c73f696e9aec4c862a95a8c911c0a263045bd3a43db2b3d12d0396	2422	19236	82653	841671
