parent	edge_1	edge_2	edge_3	target_kind	target_index
15	4,5	6,7	31,39	base	1
15	6,7	30,31	30,38	base	22
15	6,7	30,31	31,39	base	22
15	6,7	30,38	31,39	base	3
16	0,1	36,38	37,39	base	127
16	0,1	36,38	38,39	base	130
16	0,1	37,39	38,39	base	130
16	0,1	4,5	36,38	base	187
16	0,1	4,5	37,39	base	187
16	0,1	4,5	38,39	base	167
16	0,1	4,5	6,7	base	94
16	0,1	6,7	36,38	base	85
16	0,1	6,7	37,39	base	85
16	0,1	6,7	38,39	base	79
16	36,38	37,39	38,39	base	13
16	4,5	36,38	37,39	base	18
16	4,5	36,38	38,39	base	24
16	4,5	37,39	38,39	base	24
16	4,5	6,7	36,38	base	2
16	4,5	6,7	37,39	base	2
16	4,5	6,7	38,39	base	9
16	6,7	36,38	37,39	base	4
16	6,7	36,38	38,39	base	21
16	6,7	37,39	38,39	base	21
17	0,1	14,15	14,24	base	187
17	0,1	14,15	15,25	base	187
17	0,1	14,15	22,23	base	127
17	0,1	14,24	15,25	base	167
17	0,1	22,23	14,24	base	130
17	0,1	22,23	15,25	base	130
17	0,1	6,7	14,15	base	95
17	0,1	6,7	14,24	base	132
17	0,1	6,7	15,25	base	132
17	0,1	6,7	22,23	base	77
17	14,15	14,24	15,25	base	20
17	14,15	22,23	14,24	base	0
17	14,15	22,23	15,25	base	0
17	22,23	14,24	15,25	base	15
17	6,7	14,15	14,24	base	2
17	6,7	14,15	15,25	base	2
17	6,7	14,15	22,23	base	4
17	6,7	14,24	15,25	base	9
17	6,7	22,23	14,24	base	21
17	6,7	22,23	15,25	base	21
18	0,1	20,21	22,28	base	131
18	0,1	20,21	23,29	base	131
18	0,1	20,21	28,29	base	126
18	0,1	22,28	23,29	base	168
18	0,1	22,28	28,29	base	118
18	0,1	23,29	28,29	base	118
18	0,1	6,7	20,21	base	78
18	0,1	6,7	22,28	base	89
18	0,1	6,7	23,29	base	89
18	0,1	6,7	28,29	base	92
18	20,21	22,28	23,29	base	16
18	20,21	22,28	28,29	base	12
18	20,21	23,29	28,29	base	12
18	22,28	23,29	28,29	base	19
18	6,7	20,21	22,28	base	22
