orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
1129,372,0,0,6,372,0,0,0,6,0
1130,138,0,0,1,138,0,0,0,1,0
1131,380,0,0,13,380,0,0,0,13,0
1132,171,0,0,5,171,0,0,0,5,0
1133,497,0,0,15,497,0,0,0,15,0
1134,273,0,0,5,273,0,0,0,5,0
1135,420,0,0,10,420,0,0,0,10,0
1136,139,0,0,3,139,0,0,0,3,0
1137,368,0,0,9,368,0,0,0,9,0
1138,294,0,0,6,294,0,0,0,6,0
1139,670,0,0,13,670,0,0,0,13,0
1140,119,0,0,2,119,0,0,0,2,0
1141,227,0,0,4,227,0,0,0,4,0
1142,345,0,0,12,345,0,0,0,12,0
1143,497,0,0,10,497,0,0,0,10,0
1144,181,0,0,7,181,0,0,0,7,0
1145,128,0,0,2,128,0,0,0,2,0
1146,126,0,0,5,126,0,0,0,5,0
1147,186,0,0,6,186,0,0,0,6,0
1148,313,0,0,4,313,0,0,0,4,0
1149,430,0,0,14,430,0,0,0,14,0
1150,182,0,0,3,182,0,0,0,3,0
1151,195,0,0,2,195,0,0,0,2,0
1152,127,0,0,1,127,0,0,0,1,0
1153,196,0,0,4,196,0,0,0,4,0
1154,317,0,0,12,317,0,0,0,12,0
1155,194,0,0,2,194,0,0,0,2,0
1156,155,0,0,5,155,0,0,0,5,0
1157,764,0,0,17,764,0,0,0,17,0
1158,90,0,0,0,90,0,0,0,0,0
1159,282,0,0,10,282,0,0,0,10,0
1160,246,0,0,7,246,0,0,0,7,0
1161,465,0,0,11,465,0,0,0,11,0
1162,178,0,0,6,178,0,0,0,6,0
1163,192,0,0,3,192,0,0,0,3,0
1164,123,0,0,3,123,0,0,0,3,0
1165,142,0,0,6,142,0,0,0,6,0
1166,221,0,0,6,221,0,0,0,6,0
1167,59,0,0,3,59,0,0,0,3,0
1168,525,0,0,3,525,0,0,0,3,0
1169,152,0,0,2,152,0,0,0,2,0
1170,168,0,0,2,168,0,0,0,2,0
1171,161,0,0,5,161,0,0,0,5,0
1172,192,0,0,5,192,0,0,0,5,0
1173,176,0,0,7,176,0,0,0,7,0
1174,108,0,0,1,108,0,0,0,1,0
1175,52,0,0,1,52,0,0,0,1,0
1176,218,0,0,3,218,0,0,0,3,0
1177,362,0,0,7,362,0,0,0,7,0
1178,228,0,0,7,228,0,0,0,7,0
1179,319,0,0,2,319,0,0,0,2,0
1180,228,0,0,7,228,0,0,0,7,0
1181,143,0,0,1,143,0,0,0,1,0
1182,122,0,0,3,122,0,0,0,3,0
1183,66,0,0,1,66,0,0,0,1,0
1184,79,0,0,1,79,0,0,0,1,0
1185,346,0,0,1,346,0,0,0,1,0
1186,219,0,0,11,219,0,0,0,11,0
1187,60,0,0,1,60,0,0,0,1,0
1188,85,0,0,2,85,0,0,0,2,0
1189,246,0,0,3,246,0,0,0,3,0
1190,93,0,0,1,93,0,0,0,1,0
1191,174,0,0,2,174,0,0,0,2,0
1192,210,0,0,9,210,0,0,0,9,0
1193,34,0,0,1,34,0,0,0,1,0
1194,64,0,0,0,64,0,0,0,0,0
1195,108,0,0,2,108,0,0,0,2,0
1196,119,0,0,0,119,0,0,0,0,0
1197,103,0,0,3,103,0,0,0,3,0
1198,229,0,0,4,229,0,0,0,4,0
1199,167,0,0,10,167,0,0,0,10,0
1200,99,0,0,0,99,0,0,0,0,0
1201,10,0,0,0,10,0,0,0,0,0
1202,298,0,0,7,298,0,0,0,7,0
1203,175,0,0,2,175,0,0,0,2,0
1204,168,0,0,2,168,0,0,0,2,0
1205,82,0,0,2,82,0,0,0,2,0
1206,53,0,0,2,53,0,0,0,2,0
1207,175,0,0,5,175,0,0,0,5,0
1208,82,0,0,0,82,0,0,0,0,0
1209,106,0,0,5,106,0,0,0,5,0
1210,188,0,0,5,188,0,0,0,5,0
1211,196,0,0,3,196,0,0,0,3,0
1212,62,0,0,0,62,0,0,0,0,0
1213,92,0,0,1,92,0,0,0,1,0
1214,126,0,0,6,126,0,0,0,6,0
1215,92,0,0,3,92,0,0,0,3,0
1216,185,0,0,1,185,0,0,0,1,0
1217,187,0,0,1,187,0,0,0,1,0
1218,124,0,0,2,124,0,0,0,2,0
1219,210,0,0,7,210,0,0,0,7,0
1220,117,0,0,2,117,0,0,0,2,0
1221,35,0,0,1,35,0,0,0,1,0
1222,194,0,0,2,194,0,0,0,2,0
1223,172,0,0,1,172,0,0,0,1,0
1224,53,0,0,0,53,0,0,0,0,0
1225,54,0,0,1,54,0,0,0,1,0
1226,101,0,0,1,101,0,0,0,1,0
1227,143,0,0,2,143,0,0,0,2,0
1228,16,0,0,0,16,0,0,0,0,0
1229,203,0,0,3,203,0,0,0,3,0
1230,64,0,0,1,64,0,0,0,1,0
1231,124,0,0,3,124,0,0,0,3,0
1232,180,0,0,6,180,0,0,0,6,0
1233,42,0,0,1,42,0,0,0,1,0
1234,45,0,0,0,45,0,0,0,0,0
1235,34,0,0,0,34,0,0,0,0,0
1236,115,0,0,7,115,0,0,0,7,0
1237,51,0,0,4,51,0,0,0,4,0
1238,7,0,0,0,7,0,0,0,0,0
1239,122,0,0,2,122,0,0,0,2,0
1240,135,0,0,4,135,0,0,0,4,0
1241,84,0,0,2,84,0,0,0,2,0
1242,129,0,0,6,129,0,0,0,6,0
1243,43,0,0,5,43,0,0,0,5,0
1244,70,0,0,0,70,0,0,0,0,0
1245,127,0,0,7,127,0,0,0,7,0
1246,78,0,0,0,78,0,0,0,0,0
1247,76,0,0,0,76,0,0,0,0,0
1248,43,0,0,0,43,0,0,0,0,0
1249,58,0,0,0,58,0,0,0,0,0
1250,51,0,0,0,51,0,0,0,0,0
1251,130,0,0,0,130,0,0,0,0,0
1252,193,0,0,3,193,0,0,0,3,0
1253,48,0,0,1,48,0,0,0,1,0
1254,33,0,0,1,33,0,0,0,1,0
1255,35,0,0,1,35,0,0,0,1,0
1256,48,0,0,0,48,0,0,0,0,0
1257,31,0,0,0,31,0,0,0,0,0
1258,79,0,0,3,79,0,0,0,3,0
1259,20,0,0,0,20,0,0,0,0,0
1260,59,0,0,1,59,0,0,0,1,0
1261,31,0,0,0,31,0,0,0,0,0
1262,20,0,0,0,20,0,0,0,0,0
1263,63,0,0,0,63,0,0,0,0,0
1264,54,0,0,4,54,0,0,0,4,0
1265,18,0,0,0,18,0,0,0,0,0
1266,21,0,0,0,21,0,0,0,0,0
1267,11,0,0,0,11,0,0,0,0,0
1268,70,0,0,1,70,0,0,0,1,0
1269,31,0,0,2,31,0,0,0,2,0
1270,26,0,0,0,26,0,0,0,0,0
1271,78,0,0,1,78,0,0,0,1,0
1272,28,0,0,1,28,0,0,0,1,0
1273,37,0,0,0,37,0,0,0,0,0
1274,41,0,0,0,41,0,0,0,0,0
1275,29,0,0,1,29,0,0,0,1,0
1276,202,0,0,4,202,0,0,0,4,0
1277,76,0,0,2,76,0,0,0,2,0
1278,23,0,0,1,23,0,0,0,1,0
1279,25,0,0,1,25,0,0,0,1,0
1280,79,0,0,0,79,0,0,0,0,0
1281,39,0,0,0,39,0,0,0,0,0
1282,46,0,0,1,46,0,0,0,1,0
1283,5,0,0,0,5,0,0,0,0,0
1284,15,0,0,0,15,0,0,0,0,0
1285,22,0,0,0,22,0,0,0,0,0
1286,58,0,0,2,58,0,0,0,2,0
1287,4,0,0,0,4,0,0,0,0,0
1288,10,0,0,0,10,0,0,0,0,0
1289,18,0,0,0,18,0,0,0,0,0
1290,44,0,0,2,44,0,0,0,2,0
1291,10,0,0,0,10,0,0,0,0,0
1292,36,0,0,1,36,0,0,0,1,0
1293,45,0,0,0,45,0,0,0,0,0
1294,40,0,0,0,40,0,0,0,0,0
1295,18,0,0,1,18,0,0,0,1,0
1296,12,0,0,0,12,0,0,0,0,0
1297,5,0,0,0,5,0,0,0,0,0
1298,75,0,0,0,75,0,0,0,0,0
1299,4,0,0,0,4,0,0,0,0,0
1300,33,0,0,1,33,0,0,0,1,0
1301,7,0,0,0,7,0,0,0,0,0
1302,9,0,0,0,9,0,0,0,0,0
1303,10,0,0,0,10,0,0,0,0,0
1304,36,0,0,0,36,0,0,0,0,0
1305,59,0,0,1,59,0,0,0,1,0
1306,38,0,0,0,38,0,0,0,0,0
1307,17,0,0,0,17,0,0,0,0,0
1308,40,0,0,0,40,0,0,0,0,0
1309,42,0,0,1,42,0,0,0,1,0
1310,18,0,0,0,18,0,0,0,0,0
1311,43,0,0,0,43,0,0,0,0,0
1312,33,0,0,2,33,0,0,0,2,0
1313,51,0,0,0,51,0,0,0,0,0
1314,18,0,0,2,18,0,0,0,2,0
1315,30,0,0,0,30,0,0,0,0,0
1316,47,0,0,3,47,0,0,0,3,0
1317,31,0,0,1,31,0,0,0,1,0
1318,14,0,0,0,14,0,0,0,0,0
1319,54,0,0,1,54,0,0,0,1,0
1320,26,0,0,2,26,0,0,0,2,0
1321,6,0,0,1,6,0,0,0,1,0
1322,42,0,0,0,42,0,0,0,0,0
