index	task	whole_task_status	residual_status	clauses	cnf_sha256	residual_edgeword
63	bo1-q9-r5-c000063	UNKNOWN	SAT	26492	737655fbe7f1baf493ad91c6e00264e799dd861e5dc040b7647c2aa67559c70b	1f54b08034e40e26f97633c22a8a62ca2759b08a5620d61ac8e7c26ad313ca30
64	bo1-q9-r5-c000064	UNKNOWN	SAT	26788	ac0f21bd54750f3783208530a57a4da2fb38be9d138d90e3ec65b42f4ddeab6a	0f52b0cc414c983cc43560f36a02f912a909cd83a3a073dc34e5601f2d392388
65	bo1-q9-r5-c000065	UNKNOWN	SAT	26372	5b60b7f7ddcf33f47461106d14a19b775df0e8ed94d966f6546fd77f567c6495	1f52b06e3808b42620791ba1a30b246b2ac89b0823a0eba72973313d95301470
66	bo1-q9-r5-c000066	UNKNOWN	SAT	26924	66d75c882089d441d2d384fbe80d360815c6823c6302d78f78b4d439737feb0a	1db4a0cab86860200ab955703e806eda4a1036cad5806267a72b621f8d2f8cc0
67	bo1-q9-r5-c000067	UNKNOWN	SAT	27476	8f687ec77e808eb58bef50849453f19b9eb78057c05565d17c5678be7e9fa688	1ab2a068915c3c3488280f618a8c5a86f311a5c30de2aa2b407cb49d3c11dc88
68	bo1-q9-r5-c000068	UNKNOWN	SAT	26388	4071c0ffa22ccab5a7181331235afa866b152280f771615ea88823735a4596ff	0ff68098184c600cd4d317c3058e6478f7039e0129e0cf9b2d94a26ed1282cb8
69	bo1-q9-r5-c000069	UNKNOWN	SAT	25804	dad2ee39c2dcf86be1ab96f8adb9b3f7b49f8a011397b478ddd1175a8e450fbb	0ff6a04c6c008a07131a17f2070d1e245751f94e466037e6ad38319ae83395a0
70	bo1-q9-r5-c000070	UNKNOWN	SAT	26668	427e90e186cd4a385dd7d471b47a094deca309c6d9a5823de9250b8bd7702e44	06f4b08c88e00213b40e2ab0f201b9f1c656660d2ea283fb16bc273528164b38
71	bo1-q9-r5-c000071	UNKNOWN	SAT	26236	2112028d265e692025424821db0fc40dc59c956daaa929d09b462dc7d07d1aeb	16f4b0d18834262bcb0d0481d380ddc7518864c81ec159b60fac6116bb2b1918
72	bo1-q9-r5-c000072	UNKNOWN	SAT	25788	5969ad63ac25790fe2ad39c9e1cb22523216511bf02a1cb72eddace9d7e26320	0ff4b06324280a345d3902f23985d8e1ab01f48e0960ef1a1a59721659220e60
73	bo1-q9-r5-c000073	UNKNOWN	SAT	26892	10a0ffada283ec7cf8016dafec7ba9a234b306e3475c38e60271a448329956f1	16d2b0e90c2c2e2cd38142d1690fc8293bc51901e3a269b322af30764708add0
74	bo1-q9-r5-c000074	UNKNOWN	SAT	26684	eecedeeda03ac0670873341707e1b7e36548355eb46905b7e5eb8ac013f88778	19d2b09290d09e246b1a1e80570a2549dc8b130659e039e5e6a3a01ebc0caad0
75	bo1-q9-r5-c000075	UNKNOWN	SAT	26684	6e51ebc228d2bef72b2eb2c8c99c474b653228146890909a1594b36e40a9cefa	0af69076a91c321aa06568830b8870c61bdc87c0b741a9b64d4d8027ab0a4ae8
76	bo1-q9-r5-c000076	UNKNOWN	SAT	26252	acb664f190e787310d720a20b04aa62a1779ad38d6cc0c603ef70a5014f5809b	1af690783424a63491641092638576c1ab5176834cc19b88a42fb2a9b428a7e0
77	bo1-q9-r5-c000077	UNKNOWN	SAT	26788	a16eaf1b9b1544d3db85a8b55aee308dda4e0e6b71615e64673c285c4543dc76	1ab2b02735246010ef215590f180fca6be02b18cd161e56540f4e27526009f98
78	bo1-q9-r5-c000078	UNKNOWN	SAT	26220	a5db44b2d74a0d25abb0af2f79b25ffc623f48049a52f8c923923228735dfdb8	0af6b0229508980f630643d1578a2f83a909ce801fe1bc22cde1414d3c140e78
79	bo1-q9-r5-c000079	UNKNOWN	SAT	25804	2d0ebbaf5556225e96001d3f247e9008667f57e0383c9af4cea13d4151a36ae5	1af6b04e35400824b9ca3b51130d1642ef04c548cce0e68f17ba2247da208af8
80	bo1-q9-r5-c000080	UNKNOWN	SAT	25772	012d68cc0fda5156ef08e32ace317f1b30e6876759860a4a81145832179c9475	0ef6b088244c60333af91e4037081f826f94e54ce2619d1100f3d1d65834e4a0
81	bo1-q9-r5-c000081	UNKNOWN	SAT	25340	71dd01627638d3841721a21200839e5bc7f454b97faa7dc9b9ed057d37f074d9	0ff6b0a27c684222928911f01509aaa99b84f64cc22247f8943d3428fc1695c0
82	bo1-q9-r5-c000082	UNKNOWN	SAT	28076	e9e94d10b29e13b6b4f40458a4dcf65d0d23fc49ac21763b5672ba94b093c0c1	19e180202c1ce21b660e5cc17c813b832ed5b94451a21bb2dd2d93978617d148
83	bo1-q9-r5-c000083	UNKNOWN	SAT	26820	36ae9cd231c11538a4928e548a8fe2bb779d8ac9f973177d58f3dfe8c457c683	1de1a0aaac088c31b8f315604506b826638cb88d26e0b29cae9365d2782474a0
84	bo1-q9-r5-c000084	UNKNOWN	SAT	26356	d1455beecf16a06b2e9e264ca8e1a537027953274bea65b9d6e0ac87ef59d1a7	1775a04e2ce8c030d23f4d91cc8057055acb118b0b80e92d88b3d5751a192c78
85	bo1-q9-r5-c000085	UNKNOWN	SAT	26772	50383672058895d42b8c341b6db998d4cf323329233fefd2edc8f235486b973e	0b71b08d30c42229faad3c201b0c32726d893f46ea82d09d0f8150cfb83932e0
86	bo1-q9-r5-c000086	UNKNOWN	SAT	25684	17f80db75a5216647c0303f2538d2c39b68cf0db3ffbb0406bdeed78cfe52ece	1bf1b040711c8226493c10f13080ccbcaccb3b87302118f9159cd48f3907ff88
87	bo1-q9-r5-c000087	UNKNOWN	SAT	28076	22f861d53089fa2ae25b5747dfecd8663c4b97dd673e71140af16415ce2a7856	1e6088a6b438800c968b05d19a834afab2887f01f2a1b5745c18b527941b9938
88	bo1-q9-r5-c000088	UNKNOWN	SAT	26924	285c8bba2dc04281e067bf8ba1c346e766b3d3046f70932d9e4ea0e9da3e086d	1de488a2a8740c1118cc5751688313f1a951f30c3ac1a7c10bab44971319a6e0
89	bo1-q9-r5-c000089	UNKNOWN	SAT	26236	b3d89490c569097b9677106ea672243e4f4ef7b3a0a6cc5c8fb3ded064cd95e4	1774a81fc520740b61db6210a900aac42cd18f4745610fc1cd91d50e6d13c1e0
90	bo1-q9-r5-c000090	UNKNOWN	SAT	26564	d809950c7272b26500b2590234d23cff232e6b1d16e4b1ba3253715f0937e528	0b72a83419909e18285e1f634a0b15d8f90365c05da391d9bdd84371c13264f0
91	bo1-q9-r5-c000091	UNKNOWN	SAT	25668	478babc8f52d4b0519656fe145b3da98821cac4a7ddaedfbe270abfa2f8c0bfc	19f6a82528b03e30f0aa2452c308e68cc99a60c1bf0087db03e3f39ce8226338
92	bo1-q9-r5-c000092	UNKNOWN	SAT	26236	4539320129ed9336bf372154fc7167a7cb9592a278f042066c612515e0722c65	177588595d480810dcd22310c281dc4ec69053ce146234d99c35e2d3f807ff88
93	bo1-q9-r5-c000093	UNKNOWN	SAT	26788	ff8209db5ff572ef94e41b621e9fb007bedf39244b4bc394628ab4c52c65d6b6	1e1ab06744301a3721051b903f0064e82b5a9c468f42bde52b74d08aed1a0af0
94	bo1-q9-r5-c000094	UNKNOWN	SAT	25668	4d830f0a257b58979e584d3e451d12078888af36f4c2e5d6e3068c66fd57dd47	1cdeb05d2c08640972c609323c09a54586c51dcd12e1d92619cb244ee512ee60
95	bo1-q9-r5-c000095	UNKNOWN	SAT	26356	7590205df3b032100a651701339249ee30196c4235cb47061ab7de35d6ca1094	1f39a0c24094960918cd6060be062bd6d1834e41d9615d6442f7254fc103c378
96	bo1-q9-r5-c000096	UNKNOWN	SAT	25804	5e35aac709a9200bd0884f15d0fbbfce70b850d05c9921f75979137aebcfa2e1	1f3da0bb18c810098e0d09a02f816d671481e70c296186f6aa333513f4123658
97	bo1-q9-r5-c000097	UNKNOWN	SAT	25788	8810a364a6b504359105e1898fdbfd50d0db7dde7235b8aa5e7c70b267abb0e8	1f59b05e50809420bc581a614a80ebf0bd8e4e861ea06b2b17b8164e942c17c8
98	bo1-q9-r5-c000098	UNKNOWN	SAT	25236	20aa79397dce04203a2af2c452591c9d6f1cb39955e10d2ebe70d7059465ae02	1f5bb04660588416904d0ea288861fa0de425e88be8324f31ec54135332471e8
99	bo1-q9-r5-c000099	UNKNOWN	SAT	27252	6851a541400341056fbcd36195b011c7fc7f9044aeb8cf8f14029d7b1423a638	1c2ca82e60e4c42d72ed0150158449d1764d34c1fc415b0f41b78243ad2b11f8
100	bo1-q9-r5-c000100	UNKNOWN	SAT	25772	d04f1dc243a7beaffebab600789a447bf22d0ef7fa24ec02c922c7d1c7187f2e	1ceea8c208903814e58614f039081bed75435b0265e055ae4751a0ada11db190
101	bo1-q9-r5-c000101	UNKNOWN	SAT	25548	1b84b028377d51c902962745f8d5ab3ba81c655c8b299bbbd81e15b26ac11189	166db845a0103604bd2640c16d00d78548926b444fe22c9ef2a2738f641a6770
102	bo1-q9-r5-c000102	UNKNOWN	SAT	24652	5ac30d0f8ca4d88de6fdcdfbc2e4d9b3cd11f423474c4297fcf44ed232ab97d6	0b7fb80584c83830cf0c0d82370cd3c67d02a98711e09abd24f9635233241e98
103	bo1-q9-r5-c000103	UNKNOWN	SAT	26252	35ebcd00ed4549f25e9cbfbd5e1365dd89628ca9a8ccc9051d162eb7adcf79cf	1eb62480b94812276a1c17812d89948ecb94f58752a328f41cf1a0f679025de0
104	bo1-q9-r5-c000104	UNKNOWN	SAT	26220	6459f3d8fbb495991ae987d300489d0715a3b974c5f5ebea7daf012b17a76d89	0df624043d644032a14f1a527c891fa47541a88e51418dd72e7126d92f02d798
105	bo1-q9-r5-c000105	UNKNOWN	SAT	28060	2aa3c281f6e2c7a52265bb5efbfcbc46d9d2ba3acf84845c087e8a945577c791	166504797c485601ede12862890399a9d4d1ea4a31e34d1186a7535762341dc0
106	bo1-q9-r5-c000106	UNKNOWN	SAT	28644	b278a186e8d010920a51a1a6ea7f82ee1906a4f356de05d3c2f42a77e6f506c1	1961043354ac860eaa0d4590b7043eaf07d229c4d0e2b1e1fa9891366535aa90
107	bo1-q9-r5-c000107	UNKNOWN	SAT	27508	383dd372b3731bc2084a1ebf990b768f3db033e696097aa0fc5f80348a98780a	1f610464dd640012c2e31cf22c8087cab4c1e6cb43227aa1156950bcf9300c68
108	bo1-q9-r5-c000108	UNKNOWN	SAT	26940	1e7e6a4863ba58866622642c4d3da9fbb1666b87e500d26f359d0685b84cb80d	1f6504700418aa1371c64a123900db7838d27c4646c14a3ed0ec63b74c0fefa0
109	bo1-q9-r5-c000109	UNKNOWN	SAT	26924	89bbe7ee874e98bde4896d2f2479e299f50c77e31b6126ec6cc3275bf3c1b04d	1d65242ba0d88c059d9a02c17c09c9e45c82b5c6794027e6d1d8607334160d38
110	bo1-q9-r5-c000110	UNKNOWN	SAT	26820	5361910da6be8700de07a64c84336c68c34dda12ab8956de25202f21ad0bb0aa	1de5049a89508c1851c643e02f8433899246dc4d2be0d4d2acd6a131fc20b670
111	bo1-q9-r5-c000111	UNKNOWN	SAT	27236	6ca1425adc6ff22f84f89b1e0eff6214b26428a80ef1a814d292230e620bf9be	05e524675438a231c0a42672f9053ec565c9f54a1fa140f99f6c472522025a78
112	bo1-q9-r5-c000112	UNKNOWN	SAT	26356	4f05483a3d8a3a4565479e259c1042e1982383bcdc3f064aae2cd923ee2647b2	1de5246c0d403431f0fd194354819d081f456688e4c26b0e00a7f3472d070d58
113	bo1-q9-r5-c000113	UNKNOWN	SAT	27340	1f8148e2550f85e6deb3c08a5524c5673c6849863ffc673b53d6ec767a2a1051	06e51402a11cba37a25736d08783955e5856a10c7243240fd0edb07cf2053b50
114	bo1-q9-r5-c000114	UNKNOWN	SAT	27132	7a67cf9b26cd2f35d39ad3f635e21c5026594f1e031bfbb2b7d00de9ef8da920	09e514ccd0541e20f8757883110094c8734e944b8f019b3c403fe4967b0bf9a0
115	bo1-q9-r5-c000115	UNKNOWN	SAT	26236	a33a6a85efac57106ad381267b98bedd61b002eff9575dfa1edb4ee144047503	0fe51447207826287b556741530392415ad1b5441fa27d24c999e3283c04f958
116	bo1-q9-r5-c000116	UNKNOWN	SAT	26788	7af0198af88fcf025b8684ce6936b8bab907c4478efef698ed281c4a7824de9e	0b7704276130c20ee4d93721cf00e9d44ec13c450ac21f918aaca62c5d1b88d0
117	bo1-q9-r5-c000117	UNKNOWN	SAT	26788	1637fcf968195dc798fe035c802beabaaad0619b25d93a879594e148f79aee9a	1b3324e419700e22fb914190d1022cd98dcd634b08e1e694ab51a625d9007378
