orbit,packings,unsat,unknown,sat,calls,queries,options,leaves,max_calls,parent_rows
1524,396,396,0,0,347228,347225,346832,3,3120,2320715
1525,522,522,0,0,472755,472751,472233,4,3341,2367340
1526,268,268,0,0,396471,396468,396203,3,4248,2092186
1527,475,475,0,0,537348,537344,536873,4,3414,2390829
1528,198,198,0,0,272030,272029,271832,1,3526,2108156
1529,156,156,0,0,200881,200881,200725,0,3865,1877988
1530,521,521,0,0,510666,510662,510145,4,3047,2403544
1531,336,336,0,0,366880,366877,366544,3,3125,2325033
1532,273,273,0,0,309516,309514,309243,2,3060,2102929
1533,226,226,0,0,167660,167659,167434,1,2136,2196533
1534,139,139,0,0,159846,159843,159707,3,3337,1831943
1535,169,169,0,0,197359,197359,197190,0,2982,2060453
1536,505,505,0,0,489583,489582,489078,1,3091,2359744
1537,241,241,0,0,345916,345914,345675,2,3756,2047221
1538,218,218,0,0,322857,322855,322639,2,3745,2209717
1539,529,529,0,0,571841,571836,571312,5,3173,2468651
1540,135,135,0,0,185163,185162,185028,1,2848,1866821
1541,131,131,0,0,225230,225227,225099,3,4105,1924866
1542,379,379,0,0,332628,332628,332249,0,2763,2233398
1543,272,272,0,0,326860,326857,326588,3,3238,2074258
1544,311,311,0,0,347057,347056,346746,1,3400,2251530
1545,564,564,0,0,587631,587624,587067,7,3863,2441363
1546,529,529,0,0,551072,551067,550543,5,3518,2385804
1547,152,152,0,0,213141,213139,212989,2,3676,1958310
1548,136,136,0,0,176170,176169,176034,1,3243,1896995
1549,696,696,0,0,676492,676488,675796,4,3877,2547438
1550,687,687,0,0,672078,672074,671391,4,4157,2603772
1551,261,261,0,0,355405,355401,355144,4,4244,2183013
1552,258,258,0,0,292741,292737,292483,4,3457,2064048
1553,512,512,0,0,525954,525952,525442,2,3450,2299215
1554,506,506,0,0,437368,437366,436862,2,2919,2452686
1555,95,95,0,0,144593,144592,144498,1,3343,1747188
1556,531,531,0,0,544523,544521,543992,2,3634,2379802
1557,332,332,0,0,303539,303537,303207,2,2491,2275689
1558,185,185,0,0,229198,229196,229013,2,3437,2091165
1559,334,334,0,0,279718,279715,279384,3,2522,2245743
1560,212,212,0,0,236582,236579,236370,3,3431,1898712
1561,190,190,0,0,144680,144678,144490,2,2172,2044257
1562,225,225,0,0,207078,207076,206853,2,2656,2180654
1563,85,85,0,0,130663,130659,130578,4,2885,1907968
1564,308,308,0,0,352375,352372,352067,3,3332,2131679
1565,372,372,0,0,297539,297538,297167,1,2552,2248908
1566,180,180,0,0,247748,247746,247568,2,3575,2064822
1567,260,260,0,0,258530,258529,258270,1,2852,2037577
1568,208,208,0,0,289579,289578,289371,1,3785,2075969
1569,141,141,0,0,211597,211596,211456,1,4149,1810531
