G8_CORNERS degree=5 profile_size=17
TARGET 05505500 profile=940,1900,2881,5925,5997,7023,12592,24489,24541,25058,25202,28800,29146,31990,33179,36352,39096
TARGET 05505505 profile=180,1802,5973,6045,6995,8641,17728,18549,19180,24960,24964,24966,28834,28842,32051,36456,38881
TARGET 05505550 profile=721,6035,7632,14404,17953,19024,19264,20325,20509,25202,26087,26440,29736,30120,33183,36352,39600
TARGET 05505555 profile=1812,7632,8793,11848,14553,18576,18585,19030,20458,24552,24966,25202,26472,29736,30240,32352,35325
TARGET 05550000 profile=196,940,1321,2884,5987,6783,8641,14768,17850,19915,19960,23034,26436,27277,34170,38856,40200
TARGET 05550005 profile=158,936,944,5919,8805,8868,14579,19269,19960,20130,23048,23830,24378,25200,34194,35166,38880
TARGET 05550050 profile=192,1842,5987,5997,11848,12274,17737,18640,25204,28960,30417,33865,34194,35315,36310,36474,38778
TARGET 05550055 profile=26,484,937,5913,11854,17848,17850,18345,20453,25237,26081,33882,34186,34440,36456,38171,38682
TARGET 05550500 profile=738,936,5987,6807,8641,12201,17224,17754,17994,24964,25205,26436,28842,34194,34657,36369,38221
TARGET 05550505 profile=3,18,6923,7681,11854,17715,18549,19965,20450,24208,26401,32370,35160,35280,36450,38232,38904
TARGET 05550550 profile=1320,1900,5986,5987,7688,11985,12064,14400,18550,20486,22794,23682,25236,28801,29538,36474,38736
TARGET 05550555 profile=1882,1896,5913,6039,7632,8805,11848,14761,19914,23793,24558,25237,26401,29136,29400,36304,38221
TARGET 05555000 profile=4,1843,5927,5987,6804,8808,12912,17848,17953,19960,24491,25176,25362,30746,32139,35160,40224
TARGET 05555005 profile=158,884,5921,6814,8826,11868,17835,19264,19960,24240,25200,25363,32140,35160,35161,36186,36369
TARGET 05555050 profile=1,6804,6835,8872,11848,11985,14569,17994,20467,25201,27096,29737,31984,33183,33840,35315,40200
TARGET 05555055 profile=906,944,1327,2880,5961,6808,6995,7752,17850,17874,23616,24550,26436,27280,31984,34176,35326
TARGET 05555500 profile=2881,5985,7688,12598,12840,13561,17971,18201,19624,20463,24964,30241,30395,33840,36310,38880,39106
TARGET 05555505 profile=723,11851,12153,12201,17730,18201,23823,24456,24964,25200,25236,26436,30241,32304,35320,36424,38640
TARGET 05555550 profile=2,721,5927,6993,17754,19624,20509,22794,26400,27096,27273,27277,30120,32139,33155,33841,35313
TARGET 05555555 profile=6780,6783,12153,12284,14586,17850,18578,20325,24336,24491,25200,25272,26241,26446,30393,34440,35280
TARGET 50000000 profile=3,907,1883,7189,7555,9012,11086,14768,14772,19924,22888,26807,32051,33883,36675,40178,40207
TARGET 50000005 profile=742,1326,2002,3006,7534,8818,8826,12109,14407,18646,19411,23048,26991,33183,34663,35060,39106
TARGET 50000050 profile=192,2885,7147,9008,11987,12164,12274,14578,20060,22783,30127,33198,33606,34177,34194,35407,38221
TARGET 50000055 profile=732,746,1813,7238,8809,11036,12549,18546,19396,19669,27280,30003,30763,32104,34447,35060,38238
TARGET 50000500 profile=3003,3043,9001,11036,14568,14768,19891,19962,20116,23021,26436,27287,28826,30367,32130,35337,38169
TARGET 50000505 profile=181,736,8826,11012,11085,12109,19340,19449,20458,20528,23002,28843,29146,29407,32051,38238,39114
TARGET 50000550 profile=181,1813,3004,7232,10999,11987,12546,12549,22795,26807,29137,33183,36676,38235,39602,39626,40100
TARGET 50000555 profile=744,1882,2953,5972,7004,7504,12164,14768,18490,23313,24491,29407,29754,30127,32049,33183,38238
TARGET 50005000 profile=487,7041,9000,12848,12852,14628,19181,19672,20028,20562,23021,25325,26819,30419,33842,36371,39702
TARGET 50005005 profile=487,747,2002,6040,11081,12591,19677,20060,23064,24541,26241,29754,32280,33183,33202,33740,35785
TARGET 50005050 profile=204,3007,8646,8808,9008,12164,12595,19155,22777,23021,25100,26807,27276,29530,33666,35437,39626
TARGET 50005055 profile=192,1900,7030,7528,14628,18802,20487,24558,26079,26817,27312,30366,30681,32104,32139,35784,36672
TARGET 50005500 profile=748,3007,6045,11871,18715,19965,20458,20463,26440,28826,30367,32107,32140,35325,35785,36349,36676
TARGET 50005505 profile=272,733,1882,7531,12203,12578,12840,18347,19329,24558,26436,26440,28834,30367,33738,33740,36424
TARGET 50005550 profile=7510,8826,14564,18642,18645,20060,20314,20458,20521,20554,24558,29079,29130,29137,30360,30367,35322
TARGET 50005555 profile=24,1882,6921,7027,7504,9012,11987,12848,19059,20562,23618,25322,30127,32049,32107,35786,36675
TARGET 50050000 profile=3005,7555,7681,12183,12578,14586,18203,19069,19915,25098,25327,29115,30745,33883,35339,35407,36371
TARGET 50050005 profile=196,6033,7238,7681,12183,14578,14768,19266,19340,19627,24380,25326,30562,34152,35138,35786,38236
TARGET 50050050 profile=205,994,6635,8808,11079,12546,14768,18640,19901,20487,26805,30745,30763,35339,36676,38858,39703
TARGET 50050055 profile=1842,6808,7527,11042,11080,19298,20532,23841,26087,27279,30400,30405,32356,34447,35406,38171,38221
TARGET 50050500 profile=3004,3007,6923,7004,12184,12848,14577,19873,20545,22901,30406,30417,30746,35337,36450,36459,39538
TARGET 50050505 profile=1813,7069,7500,7504,12170,14406,14568,14760,14832,19962,23795,23831,23838,26817,28834,34657,34662
TARGET 50050550 profile=181,3004,3005,7514,11075,12549,19027,19891,23841,27280,30121,30745,32104,36369,36456,36726,38221
TARGET 50050555 profile=744,906,6784,8804,11012,12274,14568,19901,20570,22768,22891,26401,29154,29401,30763,35786,36459
TARGET 50055000 profile=748,749,6047,7558,10966,18345,19268,19340,24250,24541,24555,27096,30744,30754,32051,36672,38236
TARGET 50055005 profile=1004,3000,7528,7681,7692,8868,14586,18802,19418,20060,20463,24491,24552,26793,31990,32154,39122
TARGET 50055050 profile=278,1842,2881,3007,7041,10050,14554,20487,22795,23021,23793,26795,29736,32104,32140,35407,36636
TARGET 50055055 profile=1842,6923,7692,8646,10106,12546,12696,22901,23021,23793,25326,26793,32139,34440,34662,36349,36371
TARGET 50055500 profile=724,725,6921,7555,12595,14772,18200,20314,23011,24380,26819,29136,30419,30562,35779,36369,36450
TARGET 50055505 profile=1326,6921,7531,7632,7681,10965,12284,12852,17861,19266,19513,20463,23618,26446,30419,34662,35786
TARGET 50055550 profile=180,745,1842,6046,7510,10967,12274,17981,20463,20554,25100,26241,29137,29407,29730,32341,36602
TARGET 50055555 profile=1824,3007,6811,7504,12201,12568,12852,14400,20192,20467,23841,26439,29146,29407,30393,34586,36349
TARGET 50500000 profile=940,2116,6047,8794,9001,14564,14772,19397,20117,20131,23682,27096,27276,28825,30558,30745,35315
TARGET 50500005 profile=158,722,949,3005,5973,8809,14768,17920,19069,19181,19397,23052,27286,34186,34662,34663,36310
TARGET 50500050 profile=554,721,1813,3005,5997,11026,18345,19024,19269,19901,20467,23682,33202,34176,35404,36672,40100
TARGET 50500055 profile=196,272,3005,11012,19269,19270,19396,19627,23647,26446,26793,29730,30393,32049,33202,35401,35404
TARGET 50500500 profile=936,3005,8808,11036,14628,19027,19095,19882,20018,20460,25058,26352,26807,32280,35778,38169,38905
TARGET 50500505 profile=936,944,1882,6797,6921,8804,11012,14768,18347,19396,20544,24555,26472,29137,33818,34584,39486
TARGET 50500550 profile=738,745,1882,7189,7780,11036,11987,17728,18645,20458,27275,29154,30120,30393,33198,35322,38236
TARGET 50500555 profile=2953,3043,7069,10953,18549,18578,19095,20544,22056,26081,28824,30393,32355,35400,36459,36636,38169
TARGET 50505000 profile=193,3002,10966,11871,12241,14569,17995,23020,26472,27286,30744,31987,33201,35325,35596,36352,40206
TARGET 50505005 profile=200,3002,5521,6814,7680,10961,12112,12852,18347,18544,18802,24558,25100,32051,35166,35596,36676
TARGET 50505050 profile=192,204,2881,3001,8640,11086,12848,18347,19171,19669,20117,20562,25178,29756,31984,34186,39624
TARGET 50505055 profile=480,1813,6994,7514,11002,17728,18347,19264,23646,24380,24558,29545,30393,30400,33864,36169,36676
TARGET 50505500 profile=200,2116,9014,10965,11085,12840,12848,17755,18549,20324,26799,28800,30395,35778,36349,39702,40100
TARGET 50505505 profile=193,1004,1812,3002,5962,10965,12840,17728,19397,19965,23530,26472,29406,32316,32861,35785,36460
TARGET 50505550 profile=2916,6835,7023,8826,10955,12840,18698,20117,20314,20458,20562,28824,29746,30126,30393,32024,35761
TARGET 50505555 profile=181,720,3002,6040,7232,11826,17731,19027,19095,19181,24558,27286,29136,29736,30384,36636,39114
TARGET 50550000 profile=948,1812,3001,3004,8804,11026,14404,14785,19627,19965,22890,23526,25178,30562,32154,36307,38858
TARGET 50550005 profile=937,2953,3000,6808,7077,7681,8644,12848,14554,14772,17875,18549,19410,23823,34177,35784,38780
TARGET 50550050 profile=1842,1900,3001,7004,7189,7680,11826,14674,14761,17746,19915,23838,29520,30360,34177,34186,38780
TARGET 50550055 profile=158,746,1842,2880,6794,6808,12154,18640,19069,24338,26435,30186,30405,32355,34186,35401,38238
TARGET 50550500 profile=152,725,2116,5985,7632,11026,14760,14768,17746,19901,25058,26805,29146,30406,30763,32861,35770
TARGET 50550505 profile=0,6780,7522,14568,14586,18203,18550,19813,19965,23529,24380,25320,30364,30405,34662,35784,38238
TARGET 50550550 profile=18,205,3043,6794,7510,11026,14400,14772,17746,17893,18549,23792,27280,29406,30126,32049,38780
TARGET 50550555 profile=720,722,1882,8868,10953,18578,19069,19813,20467,23838,23841,26801,27273,29730,32280,35316,38682
TARGET 50555000 profile=3001,6838,11858,11878,14404,14554,18578,20528,24491,24551,26436,26795,30395,30406,33864,36459,36460
TARGET 50555005 profile=723,6995,7238,9001,11871,14401,17860,23823,23841,25320,26793,30186,31987,34662,35596,35786,36310
TARGET 50555050 profile=3007,8812,10955,10966,12696,17737,17851,17981,20554,23793,26805,30562,30720,34176,35326,36371,36600
TARGET 50555055 profile=874,3096,6807,6811,7041,7238,11848,12154,17875,20532,26824,30127,30400,32049,33740,35322,35784
TARGET 50555500 profile=944,948,6835,7232,8826,8940,12153,12284,12840,17981,20018,23586,24555,26073,30126,30744,39702
TARGET 50555505 profile=720,948,2880,6921,8794,10965,11002,17962,20463,22915,23530,23847,32280,34662,35784,38221,39106
TARGET 50555550 profile=194,874,1882,7688,7692,11086,12170,17731,17755,20562,23738,26075,26795,32280,35596,39106,39624
TARGET 50555555 profile=180,906,1812,5913,7632,12852,17755,17775,17861,23823,26793,26817,29746,32304,34584,35376,38238
TARGET 55000000 profile=16,486,2116,2887,7189,8647,12598,14578,14586,18550,20130,23074,26247,34186,38221,39697,40098
TARGET 55000005 profile=181,725,1901,6040,9008,9012,12109,12571,14772,19210,23002,26081,32355,35136,35161,36371,38899
TARGET 55000050 profile=22,907,5996,6039,7189,14586,18753,20058,20450,20554,22888,29539,29746,30121,33192,34194,36371
TARGET 55000055 profile=2885,2917,5972,8808,9008,14761,19170,19266,19397,22900,26447,27276,29522,30417,33153,35287,36450
TARGET 55000500 profile=18,28,1843,5972,7503,12284,14569,18642,19069,20117,26440,29289,33192,35779,36424,39481,40098
TARGET 55000505 profile=936,3003,6923,7004,7232,8818,12067,14768,19338,22765,29401,30247,33183,38232,38640,39097,39114
