G8_CORNERS degree=4 profile_size=14
TARGET 00400400 profile=152,949,6780,12164,18347,19072,20138,24966,25058,25325,29122,30244,36636,38644
TARGET 00400404 profile=949,7004,7632,11003,14568,18550,19414,20018,20450,23082,23232,34560,35166,38908
TARGET 00400440 profile=731,8817,14404,18347,19069,19171,20467,23065,23520,25324,30128,32316,36304,39096
TARGET 00400444 profile=184,6784,8793,12109,12696,18642,19966,20454,23530,25363,27276,30364,32280,35138
TARGET 00404000 profile=1669,5961,7632,11137,17995,19965,23376,25178,25325,30395,31987,33866,35326,36352
TARGET 00404004 profile=1004,1321,1813,7030,9194,11868,14569,19194,19195,26793,32280,33698,33864,39106
TARGET 00404040 profile=725,7020,11001,12203,12955,18698,19168,20467,23065,23682,30744,34186,35326,35376
TARGET 00404044 profile=723,7010,7024,8808,12696,14404,18549,18600,19264,24966,26472,30395,34446,38859
TARGET 00404400 profile=6832,6921,7238,10965,12848,19030,20117,20324,25363,28800,33610,36738,39096,39487
TARGET 00404404 profile=193,5962,7639,11073,12203,19195,20463,24966,25058,26400,30562,32032,35320,38905
TARGET 00404440 profile=1,190,6838,8826,11001,12852,17957,18347,22795,27241,28834,33153,33610,39096
TARGET 00404444 profile=3000,6780,8808,17731,18347,19624,22200,25322,29530,30393,31137,32355,33818,38905
TARGET 00440000 profile=278,738,3001,11435,12201,12834,17746,19965,24249,32032,33865,35326,36371,40178
TARGET 00440004 profile=723,1321,6814,11013,14569,18213,19993,22901,24306,24963,27280,28801,30405,33874
TARGET 00440040 profile=739,5997,6790,9816,12284,14802,17848,19269,22815,23643,25362,29538,33865,34446
TARGET 00440044 profile=196,937,6783,7043,11826,17851,23865,24338,25324,26801,30562,34186,35287,38682
TARGET 00440400 profile=3,480,949,11026,14553,17971,18549,19891,23823,25321,26446,36703,38643,38738
TARGET 00440404 profile=948,1813,9060,11854,12243,14832,19624,19891,23618,26401,26793,32316,35166,35313
TARGET 00440440 profile=1,1843,7238,8805,12154,12183,17715,18232,23643,29154,29544,30126,30367,38868
TARGET 00440444 profile=7632,9671,10959,11826,14568,14772,17731,18576,23823,25323,26401,30406,34446,38169
TARGET 00444000 profile=739,5927,6794,11868,14628,17851,17971,20483,24491,25362,26440,33864,39103,40206
TARGET 00444004 profile=937,6807,8641,8795,11854,17715,20483,22915,24966,25324,26824,29746,34662,35326
TARGET 00444040 profile=745,874,6838,7077,10967,17737,19024,23074,24250,26830,30400,34176,36371,39696
TARGET 00444044 profile=720,723,6804,11001,11848,19627,23035,23793,26400,27097,29530,34186,35208,38221
TARGET 00444400 profile=1326,3000,6832,7688,10085,12183,12912,17995,18549,24489,28830,29754,31990,40200
TARGET 00444404 profile=176,723,1882,6784,8826,12591,12731,19030,19624,23064,25058,27273,35166,38898
