G8_CORNERS degree=6 profile_size=20
TARGET 06606006 profile=204,8641,8795,12155,14569,14628,17874,17874,17874,19095,19195,23376,25202,25202,25202,26352,32355,38890,39106,39602
TARGET 06606060 profile=22,940,7020,7238,8646,11830,12064,12841,14404,17737,17994,17994,18646,25100,26440,27286,29530,29746,33840,33840
TARGET 06606066 profile=13,192,6807,6808,7041,8640,11824,17835,18347,19269,20521,24960,24960,25363,32051,32139,34440,34440,36672,38899
TARGET 06606600 profile=200,5925,12165,12284,12840,18549,19966,20458,24541,25056,25205,25236,26099,30241,30241,31990,33696,36352,39096,39486
TARGET 06606606 profile=6814,9001,9008,12070,12070,12153,18549,20192,20509,22755,25002,25236,26433,29136,30241,32139,35280,38881,38881,38881
TARGET 06606660 profile=1,1,1,7238,8826,11868,11987,19170,19672,19965,22794,23376,25417,26241,28824,29736,32136,33183,39480,40176
TARGET 06606666 profile=200,5972,7632,8808,11871,17715,18549,19030,22770,23616,23616,25201,25202,25202,27286,31984,35320,35404,35596,36672
TARGET 06660000 profile=5,5,5,2116,7043,7150,8805,11878,11878,19627,19882,24250,25237,27242,27280,30406,33696,34186,38221,38736
TARGET 06660006 profile=3,3,3,3,1842,2116,3004,8805,11854,17848,17850,19410,19882,26446,29146,32370,34194,36430,36474,39090
TARGET 06660060 profile=19,19,19,19,8793,11985,14555,17755,17850,18645,19266,20450,23682,25362,29530,33192,34170,34186,36459,38856
TARGET 06660066 profile=738,5973,7752,8805,11985,14401,17850,17850,17850,17850,20487,25200,26401,26446,27312,30562,33882,35287,36636,38235
TARGET 06660600 profile=936,5925,5925,6780,6838,12190,14401,20016,20487,23520,25205,26435,29520,30405,30562,32154,38169,38221,39090,39106
TARGET 06660606 profile=723,944,5913,7005,7681,18203,18345,19396,19416,23520,23529,23530,26436,32032,32280,36369,38169,38880,38880,38880
TARGET 06660660 profile=1,1,744,1812,1843,1900,5985,8793,14832,17715,18549,19270,19624,24306,26085,29730,36600,38856,38856,38856
TARGET 06660666 profile=2,1321,2883,6923,7005,11824,11824,12184,18640,19882,20463,24336,24336,25273,26436,26446,30562,35313,35407,36450
TARGET 06666000 profile=5921,7688,8641,11037,12154,12841,17835,17994,17994,19960,24964,25201,25201,25201,30121,32051,32139,34176,36371,38890
TARGET 06666006 profile=5,2116,6807,7238,7632,8641,11854,11854,11854,11854,12112,19960,23842,24491,25274,26440,34440,36459,38890,38904
TARGET 06666060 profile=158,1813,7238,7752,8793,11878,11878,11878,11878,17850,20467,23643,25416,26795,27286,29730,30246,35326,36600,40200
TARGET 06666066 profile=158,192,5921,5921,5921,5921,7752,11848,17746,20467,20487,23795,27275,29400,29522,29538,30562,34170,35596,38858
TARGET 06666600 profile=948,5985,6838,12848,17754,17874,20509,25002,25207,25236,26075,27241,27280,30241,30241,30402,31990,34170,36304,36369
TARGET 06666606 profile=180,948,1320,6783,7688,11854,12153,14568,17730,17860,18201,23064,24963,25002,25200,30241,32110,35160,35160,39106
TARGET 06666660 profile=5,2002,7752,8818,10955,11872,11872,11872,17754,18203,20467,23643,23682,25416,26352,27286,30240,34440,35313,35326
TARGET 06666666 profile=1842,2916,5919,5919,6783,11826,12201,18544,19630,20487,23232,23618,24541,24960,25418,26436,28800,34560,34560,34560
TARGET 60000000 profile=487,742,1900,7552,12164,12595,14569,18347,19966,20060,26400,27312,32355,32370,33198,33198,33198,35339,35786,36430
TARGET 60000006 profile=205,940,2882,7552,8805,8808,11080,18203,19072,19266,27276,30419,33155,33183,34663,34663,36430,38238,38238,38238
TARGET 60000060 profile=2002,8646,8817,12155,12274,18802,20058,20545,20545,20545,22888,26807,26807,34194,34447,35322,36672,36675,38221,39626
TARGET 60000066 profile=278,3003,3003,3003,9008,11079,14578,19069,19269,19397,19672,20198,23646,29522,29730,29746,30417,32107,32355,39626
TARGET 60000600 profile=2116,3005,3005,7552,7552,9008,11012,12591,14406,14760,18490,20060,20554,28800,32104,32316,32356,38221,39114,40100
TARGET 60000606 profile=736,748,8809,12203,18578,19340,19396,20544,20544,20544,22768,26446,27286,30402,32107,32356,35320,36369,36424,39097
TARGET 60000660 profile=745,1813,2116,7510,8817,14628,14760,18578,19069,20116,20554,20562,23838,26807,26807,29146,30127,33153,35337,36602
TARGET 60000666 profile=181,732,1326,3043,7004,9008,11080,11987,12170,19396,20544,22768,22786,29407,29407,29407,29746,32355,33198,36369
TARGET 60006000 profile=733,1812,1843,7555,7555,7555,7555,12164,12588,14569,19095,27096,27241,30120,32051,32140,33155,33866,39097,40178
TARGET 60006006 profile=204,1004,3043,3097,7027,7027,8809,9008,11075,14569,19418,22888,24541,26817,32107,32140,33155,35138,35161,38904
TARGET 60006060 profile=192,940,1843,1900,7010,7238,12546,12595,19168,24491,26819,26819,26819,29754,32139,33198,33698,36602,39626,39702
TARGET 60006066 profile=732,732,1812,3006,6045,7531,7531,14628,19024,19269,19397,20467,20554,29546,29736,30763,32107,33666,34170,36672
TARGET 60006600 profile=2916,3007,7552,7552,11002,11036,12274,12848,14404,19962,20458,22933,28800,29146,32136,33155,33201,36349,39487,39487
TARGET 60006606 profile=487,1326,1882,9001,12153,12284,20192,22900,23011,24541,26799,26799,26799,26799,32282,33183,33740,34586,35770,39097
TARGET 60006660 profile=745,745,745,745,1900,7555,11987,18549,19669,20016,20117,23682,24558,26439,26440,27241,32136,32140,33183,33202
TARGET 60006666 profile=907,994,3097,7504,7504,7504,11002,11002,11858,12274,19340,26440,29137,29146,30366,33183,33201,33738,35320,38643
TARGET 60060000 profile=937,2917,7531,8804,9000,12284,14569,14586,14768,20016,20138,20138,22815,24246,26400,26819,27242,38171,38780,38780
TARGET 60060006 profile=278,747,1842,7232,8644,8868,12155,14772,17861,18802,19965,22914,23795,26805,26817,34194,35060,35167,35407,38236
TARGET 60060060 profile=205,906,3007,7514,7527,7528,12164,12187,12274,12696,18345,18698,20450,33865,34186,35378,36602,38780,38780,38780
TARGET 60060066 profile=746,746,7069,7531,12170,12274,14586,14768,18640,18802,19266,19627,20192,23232,23838,29520,32356,34186,34447,34447
TARGET 60060600 profile=948,1326,2917,5973,7144,7688,11085,12170,12274,19962,22768,23526,23838,24489,26985,32355,36369,39703,39703,39703
TARGET 60060606 profile=272,6814,6923,7004,7688,12170,12544,20509,23526,23529,26801,30405,30406,32316,32355,35786,35786,35786,35786,36424
TARGET 60060660 profile=745,3042,7232,7503,11012,14586,14768,14772,18698,18698,18698,19270,20467,23838,23838,27279,28800,36456,36602,38236
TARGET 60060666 profile=744,744,744,1882,7503,7692,11985,12274,14586,19069,19298,19397,26435,26793,29407,30763,38169,38221,38682,38778
TARGET 60066000 profile=749,749,8826,11027,12852,14407,17962,18640,19269,19624,20509,23020,24250,24558,27280,30746,30746,30746,31987,35326
TARGET 60066006 profile=278,747,6811,11878,12284,14569,18201,19181,22875,23795,24458,25237,26817,26817,30562,32136,35779,35784,36460,36602
TARGET 60066060 profile=906,994,6835,6835,8817,12841,14569,19024,20450,20467,23823,26819,26819,27279,30744,33201,34446,35339,39626,40200
