G8_CORNERS degree=3 profile_size=11
TARGET 00303003 profile=9072,10960,12841,18029,19168,19965,24966,26288,30395,34584,35160
TARGET 00303030 profile=742,8808,11087,12165,17755,17835,27241,28707,29538,30552,33740
TARGET 00303033 profile=193,5963,10959,19168,23646,25059,25819,26799,30400,30562,38291
TARGET 00303300 profile=884,6832,10684,12165,18544,20324,23738,25237,26440,31267,40207
TARGET 00303303 profile=13,724,17715,18279,18546,19624,26436,32154,33740,36097,38646
TARGET 00303330 profile=5233,11075,11812,18347,20131,24531,26472,30126,30240,33666,35784
TARGET 00303333 profile=9001,11073,17751,18537,19195,20192,25417,28834,29538,32140,35281
TARGET 00330000 profile=312,3004,6838,8400,12232,14586,17875,19072,25416,38231,39106
TARGET 00330003 profile=196,7238,10960,14703,19965,24306,24366,25362,33091,33865,38882
TARGET 00330030 profile=480,6790,7194,14768,17195,17835,24306,25325,29796,30400,38778
TARGET 00330033 profile=5919,9996,12154,17851,19266,23817,25273,25320,33882,38289,38646
TARGET 00330300 profile=481,7144,7692,12184,20031,20458,27240,30360,32394,37882,38906
TARGET 00330303 profile=723,1327,1813,7144,17731,19887,24964,26073,29146,30403,32370
TARGET 00330330 profile=2002,7144,8793,11806,12274,17025,23065,28842,34441,35313,38738
TARGET 00330333 profile=720,1900,8800,12112,14586,17714,23529,24458,26243,29544,36369
TARGET 00333000 profile=204,723,10967,14768,15404,17754,19269,25178,26436,36474,40206
TARGET 00333003 profile=196,722,9001,11868,17878,18273,19627,23530,27096,35166,40225
TARGET 00333030 profile=3001,4636,6999,10967,11830,17851,23823,24246,27241,36098,36474
TARGET 00333033 profile=5,6781,7004,19171,23823,26352,27098,31985,34176,35401,38906
TARGET 00333300 profile=724,6804,8826,14521,16908,18645,20018,24960,25058,28569,30745
TARGET 00333303 profile=1882,8795,10960,16192,17962,20192,23370,30406,32116,38904,38906
TARGET 00333330 profile=1611,5220,5925,14578,17737,17755,24306,25058,25362,33864,36636
TARGET 00333333 profile=6780,7752,8640,11868,12696,18448,18578,23831,29545,31188,35784
TARGET 03000000 profile=7005,8809,12203,20130,20487,23041,25430,26097,35385,39602,40207
TARGET 03000003 profile=5973,6041,12284,18207,19210,20487,33865,35043,36603,38640,38899
TARGET 03000030 profile=16885,18203,19266,19669,23041,23065,25207,34194,35882,36602,36672
TARGET 03000033 profile=5973,7528,8868,12180,18645,20487,29521,29594,30458,33201,33842
TARGET 03000300 profile=22,29,7192,14832,18576,19965,20463,24690,27286,28812,32365
TARGET 03000303 profile=1326,7503,12067,12112,16432,20509,25273,27234,29737,30247,39075
TARGET 03000330 profile=2885,12546,17874,18347,19071,23041,28829,29754,30246,35337,36636
TARGET 03000333 profile=28,1813,5961,7500,19069,22777,26684,27286,29407,34752,35136
TARGET 03003000 profile=1642,2887,7023,11878,12588,33600,33866,35596,36430,36672,39106
TARGET 03003003 profile=29,180,2562,8868,9072,12070,19416,19979,24456,29715,32110
TARGET 03003030 profile=5,536,12598,16401,20130,20481,23646,27275,28802,29737,36636
TARGET 03003033 profile=28,11723,19290,22815,24336,25203,25236,27276,33568,36602,36636
TARGET 03003300 profile=25,28,14628,19194,23011,26352,26987,32136,33630,37924,38890
